번호	강사번호	교재번호	강의명	수강일	금액
AC2-01	A003	AC201,AC202,AC203,AC204	정보 전달을 위한 작문	15	98000
AC2-02	A001	AC201,AC203	작문의 원리	365	360000
AC2-03	A003	AC204	고2를 위한 화법과 작문	20	56000
AC2-04	A002	AC206	설득을 위한 화법	60	30000
AC2-05	A003	AC201,AC204,AC205,AC206	화법의 원리	25	41000
AC3-01	A002	AC301,AC302,AC304	화법과 작문의 본질과 태도	90	23000
AC3-02	A002	AC302,AC303	설득을 위한 작문	30	95000
AC3-03	A001	AC305,AC306	화법, 작문의 빈출 문제 유형	365	75000
AC3-04	A003	AC302,AC304	자기표현과 사회적 상호 작용을 위한 화법	30	60000
AC3-05	A003	AC301,AC306	자기표현과 사회적 상호 작용을 위한 작문	90	30000
AD1-01	A003	AD101,AD102,AD104	음운 교과서 개념 학습	60	90000
AD1-02	A001	AD103	문장 교과서 개념 학습	365	56000
AD1-03	A003	AD104,AD105	문장 적용 학습	12	15000
AD1-04	A001	AD102,AD106	2023 시작이 반이다! 언어(문법) 개념	730	50000
AD1-05	A003	AD105,AD108	담화/국어사 적용 학습	60	90000
AD2-01	A003	AD201,AD205,AD206	단어 적용 학습	30	60000
AD2-02	A001	AD202	단어 교과서 개념 학습	365	40000
AD2-03	A002	AD204,AD205,AD207	교과서 개념 학습	30	45000
AD2-04	A002	AD205,AD208	2023 아는 것이 힘이다 - 상상국어 N제 언어	150	60000
AD2-05	A001	AD203,AD204,AD205	2023 언매노트 - 달려라 언매(이론편)	730	80000
AD3-01	A002	AD301,AD303	음운 적용 학습	60	45000
AD3-02	A001	AD302,AD303,AD304	2023 언매 올인원	365	60000
AD3-03	A003	AD307	2023 언매노트 - 달려라 언매(문제풀이편)	19	80000
AD3-04	A001	AD302,AD304,AD305	2023 스캔 언어와 매체	1095	90000
AD3-05	A003	AD305,AD306,AD307	2022 엄쌤의 언매노트 - 달려라 언매	30	60000
BA1-01	B002	BA101,BA102,BA103,BA104	수학의 시작, 시발점 - 수학<상>	90	35000
BA1-02	B003	BA101,BA102,BA103,BA104	1미리 오답 없는 실전 리허설	22	25000
BA1-03	B001	BA105	N분 개념특강 - 다항식	365	78000
BA1-04	B001	BA102,BA103,BA107	[고1] 3월 학력평가 대비 특강	365	90000
BA1-05	B001	BA103,BA104,BA105	N분 개념특강 - 방정식	730	56000
BA2-01	B002	BA201,BA202	지수/로그 함수	60	75000
BA2-02	B003	BA203	N분 개념특강 - 수열	20	48000
BA2-03	B003	BA204	삼각함수	10	60000
BA2-04	B003	BA202,BA205	교과서 9종 서술형 완벽대비 특강	15	54000
BA2-05	B001	BA206	2023 무조건 되는 불꽃개념(공통)	365	35000
BA3-01	B001	BA301,BA302	2023 양승진의 실전코드	1095	95000
BA3-02	B003	BA303,BA304	삼각함수 도형 완전 정복	25	74000
BA3-03	B003	BA301,BA302,BA303,BA304	2023 실제로 도움 되는 불꽃 포텐 N제 시즌1	15	45000
BA3-04	B002	BA302,BA305	2023 김기현의 CONNECTION	60	98000
BA3-05	B003	BA304,BA305,BA306	기출 100선 <수학I>	20	56000
BB1-01	B003	BB101	매력있는 개념완성	25	25000
BB1-02	B001	BB101,BB102	ONE SHOT 이차함수 특강	365	36000
BB1-03	B003	BB102,BB103,BB104	ONE SHOT 개념원리	30	85000
BB1-04	B001	BB105	최종점검 모의고사 (다항식 ~ 이차함수)	365	95000
BB1-05	B001	BB102,BB105,BB104	수풀림 블루라벨	365	56000
BB2-01	B001	BB201,BB202,BB203	N분 개념특강 - 미분법	730	54000
BB2-02	B003	BB202,BB203,BB204,BB205	[수학II] 2023 무조건 되는 불꽃개념	30	90000
BB2-03	B001	BB206,BB207	N분 개념특강 - 적분법	365	100000
BB2-04	B001	BB208	[수학II] ONE SHOT 개념원리	1095	560000
BB2-05	B001	BB201,BB204,BB205	[10일완성] 시작하는 PRE 기출 100제	365	60000
BB3-01	B002	BB301,BB302	2023 현우진의 뉴런 -  수학II	60	30000
BB3-02	B002	BB302,BB304,BB305,BB307	[수학II] 2023 개념에센스	90	60000
BB3-03	B002	BB304,BB307,BB308	2023 양승진의 실전코드 [수학II]	30	56000
BB3-04	B001	BB306	2023 기출의 내일 <수학II>	365	78000
BB3-05	B002	BB305,BB306	2023 한 방에 끝내는 EBS 수능특강 변형	60	95000
BC1-01	B003	BC101	[미적분] 시작하는 불꽃 개념	18	75000
BC1-02	B002	BC102	[미적분] ONE SHOT 개념원리	30	89000
BC1-03	B002	BC101	[미적분] 2023 개념에센스	60	78000
BC1-04	B002	BC101,BC102,BC103,BC104	등비수열의 극한(개념)	30	65000
BC1-05	B003	BC104,BC105	2023 장연진의 개념테제 <미적분>	15	45000
BC2-01	B001	BC201,BC202,BC204,BC205	[미적분] 개념에 빛을 달다! 확실한 선행	365	23000
BC2-02	B001	BC202,BC204,BC205	수열의 극한값과 대소 관계	730	86000
BC2-03	B001	BC201,BC202,BC204,BC206	[미적분] 꼼꼼한 내신 직전대비, SKILL-UP	365	48000
BC2-04	B002	BC202,BC204,BC205	수열의 극한 실전 마무리	60	45000
BC2-05	B001	BC204,BC207	급수의 수렴과 발산	365	35000
BC3-01	B002	BC301	합성함수의 미분법	90	68000
BC3-02	B003	BC302,BC305,BC305	[미적분] 김기현의 기출생각집	20	36000
BC3-03	B001	BC305,BC308	[미적분] 김기현의 CONNECTION	365	89000
BC3-04	B002	BC301,BC305,BC306	여러 가지 미분법 실전 마무리	60	15000
BC3-05	B003	BC306,BC308	[미적분] 김기현의 IDEA	12	75000
CA1-01	C001	CA101	[2022 자이스토리] 영어 독해 기본 PART1	1095	95000
CA1-02	C003	CA101,CA102,CA103	고1 요즘 독해 겨울 특강	15	65000
CA1-03	C003	CA104,CA105	독해 1등급 [수능특강 BEST 32]	30	35000
CA1-04	C001	CA105,CA107,CA108	1등급 실력 완성	365	15000
CA1-05	C002	CA108	독해 1등급 [평가원 CODE 32]	60	78000
CA2-01	C003	CA201,CA202,CA203,CA204	오답 제거의 원리	14	95000
CA2-02	C002	CA204,CA205,CA206,CA207	문장 삽입, 요약문 완성 완벽 정복	7	56000
CA2-03	C003	CA207,CA208	어법, 무관한 문장에 대하여	3	15000
CA2-04	C001	CA205,CA206	문제 접근의 원리	20	78000
CA2-05	C003	CA205	노베이스를 위한 오답 제거의 원리	25	89000
CA3-01	C002	CA301,CA302,CA303	틀리지 말아야 하는 유형편	60	56000
CA3-02	C001	CA302,CA305	빈칸/순서/삽입 한 번에	365	100000
CA3-03	C002	CA306,CA307	기본부터 차근차근 8지문 구조+유형별 독해	30	560000
CA3-04	C002	CA307,CA308	V 유형독해 완전 정복	90	78000
CA3-05	C001	CA308	독해만 잘해도 수능영어 1등급	365	56000
CB1-01	C003	CB101,CB102	과거분사, 과거동사, 수동태의 모든것	15	35000
CB1-02	C003	CB105	빈칸 추론, 함축 의미 추론하기	18	65000
CB1-03	C003	CB104,CB106,CB107,CB108	동명사, 분사구문의 차이	10	45000
CB1-04	C001	CB107,CB108	목적격 보어R과 P.P	365	15000
CB1-05	C002	CB103,CB104,CB105	what, that, whose가 쓰일 때	365	950000
CB2-01	C001	CB201,CB202	영어 1등급 START	730	56000
CB2-02	C002	CB203,CB205,CB206	내신에 꼭 나오는 문법	365	45000
CB2-03	C003	CB204	THEME로 완성하는 수능 문법	25	23000
CB2-04	C002	CB202,CB204,CB205,CB206	고2 1등급 실력 완성3	60	75000
CB2-05	C003	CB208	믿어봐! 문법 접근법을 알려줄게	10	95000
CB3-01	C002	CB301,CB302,CB303,CB304	6시간 수능 문법 마침표	30	66000
CB3-02	C002	CB304,CB305,CB306	영포자 독학의 첫걸음	90	48000
CB3-03	C003	CB305	수능+내신 문법의 시작	12	75000
CB3-04	C003	CB305,CB307,CB308	어법킹_이것만 알면 돼!	15	25000
CB3-05	C002	CB304,CB305,CB306	수능+내신 어법의 완결	17	36000
CC1-01	C001	CC101	어휘로 때려잡는 리스닝	30	69000
CC1-02	C002	CC102	김용지의 영어 듣기	60	45000
CC1-03	C003	CC101,CC102	구문으로 때려잡는 리스닝	30	15000
CC1-04	C002	CC101,CC102,CC105	[2020학년도 고1 6월 학력평가 해설] 영어	90	230000
CC1-05	C001	CC101,CC104,CC105	실전모의고사 완벽정복	365	45000
CC2-01	C003	CC201,CC202	어휘 키워드로 때려잡는 리스닝 유형편	20	89000
CC2-02	C003	CC203	고2 어휘로 때려잡는 리스닝	15	73000
CC2-03	C003	CC204,CC205,CC206	2023 NEW 어.때.영 [빈출편]	10	92000
CC2-04	C003	CC201,CC202,CC203	모의고사로 때려잡는 리스닝	12	16000
CC2-05	C002	CC202,CC204	고2 구문으로 때려잡는 리스닝	90	49000
CC3-01	C002	CC301,CC302,CC303,CC304	10분으로 때려잡는 영어듣기	60	86000
CC3-02	C002	CC304,CC305,CC306,CC307	LISTENING POWER 리스닝 파워 고교영어듣기	150	91000
CC3-03	C001	CC306	고3을 위한 기출의 미래	365	36000
CC3-04	C001	CC302,CC307,CC308	김태우의 영어듣기연습 B형	730	190000
CC3-05	C002	CC301,CC306,CC307	[예비 고3 지금 내 등급은?] 영어듣기	30	18000
DA1-01	D003	DA101	2023 이다지도 완벽한 한국사 개념완성	15	73000
DA1-02	D002	DA102	2023 달콤 한국사 스피드 압축 특강	60	17000
DA1-03	D002	DA105	이다지도 확실한 한국사 내신 완성	90	92000
DA1-04	D002	DA101,DA102,DA105	완벽한 자신감! 완자 내신 한국사	30	34000
DA1-05	D001	DA106,DA107	2023 달콤 개념완성 레시피	365	75000
DA2-01	D003	DA201,DA202,DA205,DA206	2023 아름다운 15시간 개념완성	30	94000
DA2-02	D001	DA205,DA206,DA207	한국사 어떻게 무엇을 왜 배우는가?	365	67000
DA2-03	D001	DA203,DA207,DA208	박세훈의 10강으로 끝내는 한국사	730	38000
DA2-04	D003	DA207,DA208	박세훈의 한국사 1등급 5분컷 가이드	15	820000
DA2-05	D002	DA204,DA205,DA208	지표와 연표로 흐름을 읽는 한국사	60	91000
DA3-01	D001	DA301,DA303	고3 한국사 완벽정복	365	680000
DA3-02	D002	DA302	한국사 이해하기	60	750000
DA3-03	D003	DA304,DA305,DA306	한국사 빠르고 재미있게 완벽하게 하자!	30	620000
DA3-04	D003	DA303,DA306	한국사 내신 직전 대비 특강	12	930000
DA3-05	D003	DA301,DA302,DA303,DA304	길진봉의 한국사 내비게이션	15	54000
DB1-01	D002	DB101,DB102,DB103	인류의 기원과 문명의 발생	90	65000
DB1-02	D001	DB102,DB103	고1 세계사 완벽 정리	365	750000
DB1-03	D002	DB104,DB105	동아시아 세계의 발전 및 변동 1	60	22000
DB1-04	D003	DB106	동아시아 세계의 발전 및 변동 2	25	63000
DB1-05	D002	DB101,DB103,DB104,DB105	내신 직전에 보는 고1 세계사	60	91000
DB2-01	D002	DB201,DB202,DB205	서아시아의 여러 제국과 이슬람 세계의 형성	90	35000
DB2-02	D002	DB205,DB206	고대 지중해 세계 들여다보기	30	67000
DB2-03	D002	DB207	유럽 세계의 형성과 동요	60	71000
DB2-04	D003	DB205	유럽 세계의 변화 1	15	92000
DB2-05	D001	DB206	유럽 세계의 변화 2	365	725000
DB3-01	D002	DB301,DB302	시민 혁명과 산업 혁명	30	45000
DB3-02	D003	DB303	고3 세계사 완벽정복	10	64000
DB3-03	D003	DB302,DB305	10강으로 정리하는 세계사	20	756000
DB3-04	D002	DB305,DB307	6시간 세계사 완벽 마침표	60	54000
DB3-05	D001	DB308	제국주의와 민족 운동	730	836000
EA1-01	E003	EA101,EA102	인류의 출현과 문명의 발생에 대해	15	22000
EA1-02	E001	EA103,EA105,EA106	생활과 윤리 쉽게 다가가기	365	34000
EA1-03	E003	EA103	고1 생활과 윤리 완전정복	12	75000
EA1-04	E002	EA108	고1 생활과 윤리 어렵지 않아!	60	95000
EA1-05	E002	EA103,EA108	동아시아 세계의 형성에 대하여	90	75000
EA2-01	E003	EA201	죽음의 윤리에 대하여	15	76000
EA2-02	E002	EA204	직업과 청렴의 윤리	60	16000
EA2-03	E001	EA203,EA204,EA205	윤리학의 종류와 윤리적 성찰	90	45000
EA2-04	E002	EA204,EA205,EA306,EA307	강라현의 바른 내신 완성	120	83000
EA2-05	E003	EA205,EA207,EA208	생활과 윤리가 뭐지	30	28000
EA3-01	E002	EA301	현대 윤리 문제에 대한 접근	60	91000
EA3-02	E003	EA301,EA302,EA303,EA304	생활과 윤리 개념완성	15	75000
EA3-03	E002	EA303,EA305,EA306,EA307	현대 생활과 실천 윤리	60	85000
EA3-04	E002	EA306	사회 정의와 윤리	30	46000
EA3-05	E003	EA307,EA308	생활과 윤리 쉽게 정복하기	15	35000
EB1-01	E001	EB101,EB102,EB103,EB104	자연현상과 사회문화현상	365	75000
EB1-02	E002	EB102,EB105,EB106	사회문화현상을 보는 관점	90	15000
EB1-03	E003	EB104,EB105,EB107	사회과학 연구방법	15	95000
EB1-04	E001	EB108	자료수집방법	730	72000
EB1-05	E003	EB104,EB108	인간의 사회화	15	35000
EB2-01	E003	EB204,EB205,EB206,EB207	사회, 문화현상의 이해	10	18000
EB2-02	E001	EB206,EB207	사회문화 힘들게 하지 말자!	365	920000
EB2-03	E001	EB203,EB205,EB206,EB207	사회, 문화현상의 연구 방법	1095	65000
EB2-04	E003	EB205,EB206,EB207,EB208	사회집단과 사회조직에 대하여	15	75000
EB2-05	E003	EB201,EB202,EB207	5시간만에 사회문화 완벽 이해	10	38000
EB3-01	E001	EB301,EB302,EB303,EB304	사회 복지와 사회제도	365	49000
EB3-02	E002	EB304,EB305	현대 사회의 변화와 전 지구적 수준의 문제	60	75000
EB3-03	E003	EB302,EB304,EB305	사회 변동과 사회운동	20	62000
EB3-04	E001	EB302,EB303	사회 불평등 현상의 이해	365	15000
EB3-05	E001	EB305,EB306,EB307	단원별 기출 플러스 종합	730	692000
EC1-01	E002	EC101,EC102,EC103	유교사상의 연원	60	18000
EC1-02	E003	EC103	맹자의 본성론	20	98000
EC1-03	E001	EC105,EC106,EC108	도교윤리의 전개에 대하여	365	75000
EC1-04	E002	EC102,EC104,EC107,EC108	노자의 정치사상	60	395000
EC1-05	E001	EC104	디오게네스의 금욕주의에 대하여	730	56000
EC2-01	E003	EC201,EC202,EC203,EC204	행복 추구와 신앙	15	12000
EC2-02	E002	EC206	고2 윤리와 사상 개념완성	30	37000
EC2-03	E002	EC207,EC208	민주주의와 자본주의의 의의	90	65000
EC2-04	E002	EC204,EC205,EC206,EC207	6시간안에 개념완성하기	60	95000
EC2-05	E001	EC207	윤리와 사상 핵심개념 총정리	365	910000
EC3-01	E002	EC301,EC302,EC303,EC304	꼼꼼하게 수특 윤사 체크하기	30	75000
EC3-02	E001	EC302,EC304	유교와 인의 윤리	1095	62000
EC3-03	E003	EC305,EC306,EC307,EC308	한국 유교와 도덕적 심성	20	84000
EC3-04	E002	EC307,EC308	불교와 자비 및 화합의 윤리	60	700000
EC3-05	E001	EC301,EC304,EC305	도가와 무위자연의 윤리	365	94000
FA1-01	F002	FA101,FA102,FA103,FA104	고지자기는 무엇일까	60	64000
FA1-02	F001	FA105	함수광물의 종류에 대하여	730	92000
FA1-03	F001	FA108	용존 기체란?	365	74000
FA1-04	F003	FA103,FA104,FA105,FA107	방사선 동위 원소는 무엇일까	20	65000
FA1-05	F003	FA105,FA108	빅뱅은 언제 생긴걸까?	15	89000
FA2-01	F003	FA202,FA205	5분 3D 지구과학	28	123000
FA2-02	F001	FA201,FA202,FA204,FA206	고2 지구과학 완전정복	365	35000
FA2-03	F002	FA203,FA205	별의 탄생과 진화에 대하여	60	45000
FA2-04	F001	FA204,FA205,FA208	지구의 자전과 공전이 생기는 원리	730	95000
FA2-05	F003	FA206,FA208	엘니뇨와 라니냐는 무엇일까	20	64000
FA3-01	F002	FA301	G요원과 함깨 하는 방구석 지구과학 여행 설명서	60	78000
FA3-02	F002	FA302,FA303	지권은 어떻게 변했을까?	120	35000
FA3-03	F001	FA305	과거의 생물과 기후는 어땠을까?	365	37000
FA3-04	F001	FA307,FA308	대륙의 이동에 대하여	730	95000
FA3-05	F002	FA303,FA305	대륙 이동설의 진실은?	60	64000
FB1-01	F001	FB101,FB102,FB103	2023 기초 입문 특강	1095	51000
FB1-02	F001	FB105	고1을 위한 내신 완성 400제	730	75000
FB1-03	F002	FB108	[생명과학] 학교 내신을 위한	60	98000
FB1-04	F001	FB101,FB102,FB105,FB108	수능입문 기초탄탄	365	65000
FB1-05	F003	FB103,FB105,FB107,FB108	[생명과학] 어려운 기출까지 풀어내는	20	35000
FB2-01	F002	FB202	2023 5분 기출 트레이닝	15	75000
FB2-02	F003	FB201,FB202,FB203	2023 스피드 개념 완성반	30	48000
FB2-03	F001	FB201,FB202,FB203,FB204	고2를 위한 내신 완성 400제	21	68000
FB2-04	F002	FB205,FB206,FB207	2023 섬세한 개념완성반	60	787000
FB2-05	F002	FB207,FB208	[생명과학] 벼락치기 특강	90	68000
FB3-01	F001	FB301,FB305,FB306,FB307	2023 백호 봉투 모의고사	365	45000
FB3-02	F003	FB305,FB306,FB307	2023 수능대비 철두철미 모의고사 시즌1	30	91000
FB3-03	F003	FB304	[생명과학] 2023 로직 N제	20	75000
FB3-04	F001	FB302,FB305,FB307	2023 킬러7 고난도 230제	365	67000
FB3-05	F001	FB308	2023 속전속결 스피드 개념완성	730	98000
FC1-01	F002	FC101,FC102	[화학] 베테랑의 똑똑한 화학 입문 특강	60	415000
FC1-02	F001	FC103,FC108	5일만에 끝내는 라이브 특강	365	48000
FC1-03	F003	FC105,FC106,FC108	[화학] 내신 만점의 정답, 정훈구	20	35000
FC1-04	F001	FC107,FC108	화학 반응식의 의미와 한계 반응물에 대하여	1095	78000
FC1-05	F002	FC101	용액의 농도를 알아보자	30	45000
FC2-01	F002	FC201,FC202,FC203	[화학] 베테랑의 개념완성	60	65000
FC2-02	F003	FC207	고2 [화학] 똑똑한 화학 입문 특강	25	76000
FC2-03	F003	FC205,FC207	[화학] 2023 THE 깊은 화학	15	37000
FC2-04	F003	FC204,FC206,FC208	[화학] 정우정 개념 서브노트	10	190000
FC2-05	F002	FC203,FC206	[화학] 2023 물질의 양 스텝 밟기	90	1800000
FC3-01	F002	FC301,FC302,FC303,FC304	고3 화학 다지기에는 3시간이면 충분해	60	150000
FC3-02	F002	FC305,FC306,FC307,FC308	2023 오늘의 화학	120	78000
FC3-03	F003	FC308	2023 일사천리 킬러특강	15	150000
FC3-04	F001	FC307,FC308	[화학] 2023 수능대비	365	365000
FC3-05	F001	FC305,FC307,FC308	[화학] 2023 우리만의 킬러 특강	730	6000000
GA1-01	G003	GA101,GA102,GA103,GA104	산업 구조와 공업의 발달	20	150000
GA1-02	G003	GA104,GA105	고1 공업 완벽 정리	15	76000
GA1-03	G001	GA106,GA107,GA108	고1 공업 어렵지 않아요!	365	952000
GA1-04	G002	GA104	4시간 공업 완벽 이해하기	20	15000
GA1-05	G003	GA103,GA104,GA107,GA108	제품의 제조 과정은 어떻게 할까요	10	610000
GA2-01	G002	GA201,GA202,GA203,GA204	고2 공업 모의고사 풀어보기	60	76000
GA2-02	G001	GA205	경공업의 개요 이해하기	365	35000
GA2-03	G002	GA208	첨단 공업과 미래 사회에 대하여	60	15000
GA2-04	G003	CA206,GA207	제품 개발 및 생산 관리학	20	90000
GA2-05	G001	GA201,GA203,GA205	경영 지원 활동에 대하여	1095	46000
GA3-01	G001	GA301	생산 혁신 활동을 해보자	365	87000
GA3-02	G002	GA302,GA303,GA305	제조 현장 및 품질 관리	30	94000
GA3-03	G003	GA306	구매? 자재 관리는 뭘까	14	61000
GA3-04	G002	GA306,GA307	공장 자동화와 로봇의 활용	90	354000
GA3-05	G003	GA303,GA304,GA307	기술 경영과 창업은 어떻게 돌아갈까	15	15000
GB1-01	G003	GB101,GB102	고1부터 상업정보 완벽 정리하기	20	94000
GB1-02	G003	GB105,GB106,GB108	상업정보 실전모의고사 풀기	10	76000
GB1-03	G001	GB102,GB106	상업정보 누구보다 빠르게 이해하기	365	35000
GB1-04	G002	GB103,GB106,GB107,GB108	상업정보 5시간만에 이해하기	60	15000
GB1-05	G003	GB102,GB104,GB107	머리가 지끈지끈 상업정보	20	98000
GB2-01	G001	GB201,GB205,GB207	어서와요 상업정보에	730	64000
GB2-02	G002	GB205,GB208	상업 경제 완전정복하기	60	15000
GB2-03	G003	GB205,GB206,GB208	고2 상업경제 실전모의고사 풀어보기	20	78000
GB2-04	G002	GB203,GB204,GB206,GB208	상업경제 실전응용편	90	64000
GB2-05	G001	GB203,GB205,GB206,GB208	정보화와 산업	365	89000
GB3-01	G003	GB301	한눈에 정리하는 상업경제 로드맵	20	63000
GB3-02	G002	GB302,GB303,GB304	정보사회에서 상업의 변화	60	15000
GB3-03	G003	GB305,GB306,GB308	정보화에 따른 공간변화	14	80000
GB3-04	G002	GB304,GB308	정보 통신의 기능, 종류	90	15000
GB3-05	G003	GB301,GB305,GB308	고3 상업경제 10분 정리	15	65000
GC1-01	G003	GC101,GC102	우리나라 농업 기계 기술의 발달 과정	21	900000
GC1-02	G001	GC102,GC105,GC106,GC108	과학 기술과 농업의 관계	365	150000
GC1-03	G003	GC108	정밀 농업 기술	20	45000
GC1-04	G001	GC107	농업 기계 기술의 발달 과정	365	78000
GC1-05	G001	GC101,GC103,GC106	과학과 농업 기술	1095	1600000
GC2-01	G003	GC201,GC202	농산물 생산 기술의 발달 과정	20	64000
GC2-02	G003	GC205,GC207,GC208	농업과 환경의 관계	24	65000
GC2-03	G001	GC205,GC206,GC208	농촌 및 농업 구조의 변화	365	78000
GC2-04	G001	GC206,GC207	[2023 수능완성] 농업기초기술	730	98000
GC2-05	G003	GC207,GC208	농산물 유통 기술의 발달 과정은 무엇일까	14	1600000
GC3-01	G003	GC301,GC303,GC306	농업의 문제점과 극복 방안	7	45000
GC3-02	G002	GC303,GC307	친환경 농업 기술	30	78000
GC3-03	G002	GC301,GC305,GC308	농업기초기술 완벽 정리	60	64000
GC3-04	G002	GC301,GC307,GC308	식품 가공 기술1	30	45000
GC3-05	G003	GC301,GC305,GC307	유기 농업 자재에 관하여	365	15000
HA1-01	H001	HA101,HA102,HA104,HA105	왕초보 중국어 발음	1095	91000
HA1-02	H002	HA106	왕초보 중국어 마스터	365	75000
HA1-03	H001	HA107,HA107,HA108	기초 중국어 마스터	730	65000
HA1-04	H003	HA104,HA105,HA106	중국어 어휘 폭풍성장	21	37000
HA1-05	H003	HA103,HA108	중국어 어법 폭풍성장	14	94000
HA2-01	H001	HA201,HA202	중국어 문장 뼈대 잡기	365	65000
HA2-02	H003	HA206	중국어 one POINT one KILL	7	78000
HA2-03	H002	HA208	중국어 유형별 문제풀이	60	95000
HA2-04	H001	HA207,HA208	4일만에 끝내는 수능 중국어 100제	365	6450000
HA2-05	H001	HA202,HA205	기초 중국어 끝내기	730	15000
HA3-01	H002	HA301,HA302,HA303,HA304	중국어의 문장 성분 알아보기	60	654000
HA3-02	H002	HA307	한눈에 보는 중국어 발음 구성	30	78000
HA3-03	H003	HA303	중국어 문장의 구조	21	45000
HA3-04	H001	HA303,HA307	문화 영역 풀이와 유형 분석 해보기	365	15000
HA3-05	H002	HA302,HA308	중국어의 발음	30	92000
HB1-01	H002	HB101	일본어 Step 1 개념탄탄	60	150000
HB1-02	H002	HB103	일본어 수능/내신/어휘도 요것만 봐라!	30	35000
HB1-03	H003	HB107,HB108	만땅 니홍고_내신 일본어	20	64000
HB1-04	H001	HB103,HB104,HB105,HB107	고1 일본어 완전정복	365	1500000
HB1-05	H002	HB102,HB108	히라가나와 가타카나를 배워보자	30	780000
HB2-01	H003	HB202	일본어의 인사말 읽어보기	14	19000
HB2-02	H003	HB201,HB202	용법에 자주 출제되는 동사 알아보기	7	46000
HB2-03	H001	HB205,HB206,HB207,HB208	패턴으로 배우는 일본어 회화	365	28000
HB2-04	H002	HB204,HB205,HB206,HB208	그림으로 배우는 일본어 한자와 작문	30	7800000
HB2-05	H001	HB201,HB205,HB206,HB207	일본어 기본어휘표 알아보기	365	39000
HB3-01	H001	HB301,HB302	일본어의 활용에 대하여	730	199000
HB3-02	H001	HB303,HB305,HB307	일본어의 수 단위	730	637000
HB3-03	H002	HB301,HB306	2주만에 끝내는 일본어 필수 문법	30	37000
HB3-04	H001	HB305,HB306	OX 약점노트 - 킬러유형	365	150000
HB3-05	H003	HB301,HB307	20시간만에 완성하는 비즈니스 일본어 회화	21	98000
HC1-01	H001	HC101,HC102	2023 NEW 차근차근 알아가는 프랑스어 기초문법	730	56000
HC1-02	H003	HC108	프랑스어 초보자를 위한 프랑스어 작품 추천	21	780000
HC1-03	H003	HC105,HC106,HC108	프랑스어 알파벳 알아가기	5	370000
HC1-04	H001	HC106	차근차근 알아가는 프랑스어 기초문법	365	67000
HC1-05	H002	HC103,HC105	프랑스어 동사의 종류	60	91000
HC2-01	H001	HC201	근접미래, 근접과거, 반과거의 대하여	1095	645000
HC2-02	H002	HC205	부사와 접속사에 관한 모든것	30	780000
HC2-03	H002	HC201,HC203,HC205,HC307	2023 수능 프랑스어 대비 문제 50선	90	34000
