번호	학생번호	강의번호	수강시작일	수강종료일	신청일	결제일	결제금액	상태
23	11	BC3-05	2022-06-16	2022-06-28	2022-06-16	2022-06-16	75000	수강완료
24	20	AB3-02	2022-08-26	2022-09-10	2022-08-26	2022-08-26	63000	수강중
25	24	AD1-01	2022-08-14	2022-10-13	2022-08-14	2022-08-14	90000	수강중
26	1	BB2-04	2022-07-16	2025-07-15	2022-07-16	2022-07-19	560000	수강중
27	2	AC1-02	2022-08-22	2024-08-21	2022-08-22	2022-08-22	56000	수강중
28	26	AD3-03	2022-08-23	2022-09-11	2022-08-23	2022-08-25	80000	수강중
29	4	BB3-03	2022-08-15	2022-09-14	2022-08-15	2022-08-15	56000	수강중
30	1	AC1-02	2022-08-25	2024-08-24	2022-08-25	2022-08-25	56000	수강중
31	30	BC3-03	2022-07-05	2023-07-05	2022-07-05	2022-07-05	89000	수강중
32	27	BC2-04	2022-08-15	2022-10-14	2022-08-15	2022-08-15	45000	수강중
33	1	BC2-02	2022-07-22	2024-07-21	2022-07-22	2022-07-22	86000	수강중
34	21	BC1-04	2022-07-31	2022-08-30	2022-07-31	2022-07-31	65000	수강중
35	3	CA2-03	2022-08-29	2022-09-01	2022-08-29	2022-08-29	15000	수강중
36	13	CA2-05	2022-08-27	2022-09-21	2022-08-27	2022-08-27	89000	수강중
37	3	CA2-05	2022-08-27	2022-09-21	2022-08-27			신청
38	9	CA1-04	2021-04-23	2022-04-23	2021-04-23	2021-04-23	15000	수강완료
39	5	CA1-02	2022-08-26	2022-09-10	2022-08-26			신청
40	25	CA3-01	2022-06-15	2022-08-14	2022-06-15	2022-06-15	56000	수강완료
41	12	CA3-02	2022-07-11	2023-07-11	2022-07-11	2022-07-11	100000	수강중
42	13	CB1-03	2022-08-29	2022-09-08	2022-08-29	2022-08-29	45000	수강중
43	16	CB1-04	2021-05-07	2022-05-07	2021-05-07	2021-05-07	15000	수강완료
44	1	CB2-03	2022-08-27	2022-09-21	2022-08-27			신청
45	20	CC1-05	2021-08-20	2022-08-20	2021-08-20	2021-08-20	45000	수강완료
46	28	CC3-03	2022-07-01	2023-07-01	2022-07-01	2022-07-01	36000	수강중
47	25	CC3-02	2022-07-02	2022-11-29	2022-07-02	2022-07-02	91000	수강중
48	25	DA2-02	2022-07-23	2023-07-23	2022-07-23			신청
49	13	DA3-04	2022-08-28	2022-09-09	2022-08-28	2022-08-28	930000	수강중
50	6	DA1-04	2022-08-05	2022-09-04	2022-08-05	2022-08-05	34000	수강중
51	19	DA1-02	2022-07-18	2022-09-16	2022-07-18	2022-07-18	17000	수강중
52	1	DA1-03	2022-08-13	2022-11-11	2022-08-13	2022-08-13	92000	수강중
53	7	DA3-05	2022-08-30	2022-09-14	2022-08-30	2022-08-30	54000	수강중
54	13	DA2-02	2022-07-07	2023-07-07	2022-07-07	2022-07-07	67000	수강중
55	22	DA3-03	2022-08-18	2022-09-17	2022-08-18	2022-08-18	620000	수강중
56	9	DB3-05	2022-07-12	2024-07-11	2022-07-12			신청
57	10	DB2-01	2022-08-14	2022-11-12	2022-08-14			신청
58	18	EA2-02	2022-08-17	2022-10-16	2022-08-17	2022-08-17	16000	수강중
59	30	EA2-03	2022-08-17	2022-11-15	2022-08-17	2022-08-17	45000	수강중
60	2	EB3-04	2022-08-21	2023-08-21	2022-08-21	2022-08-21	15000	수강중
61	24	EB2-02	2022-08-30	2023-08-30	2022-08-30	2022-08-30	920000	수강중
62	3	EB2-03	2022-07-31	2025-07-30	2022-07-31	2022-07-31	65000	수강중
63	26	EB2-02	2022-07-05	2023-07-05	2022-07-05	2022-07-05	920000	수강중
64	13	EC1-04	2022-08-13	2022-10-12	2022-08-13	2022-08-13	395000	수강중
65	30	EC3-05	2022-07-12	2023-07-12	2022-07-12	2022-07-12	94000	수강중
66	19	EC3-04	2022-08-15	2022-10-14	2022-08-15	2022-08-15	700000	수강중
67	1	EC2-01	2022-08-16	2022-08-31	2022-08-16	2022-08-16	12000	수강중
68	7	EC2-01	2022-08-16	2022-08-31	2022-08-16	2022-08-16	12000	수강중
69	1	EC3-03	2022-08-15	2022-09-04	2022-08-15	2022-08-15	84000	수강중
70	4	EC3-05	2022-07-28	2023-07-28	2022-07-28			신청
71	20	EC1-02	2022-08-29	2022-09-18	2022-08-29	2022-08-29	98000	수강중
72	21	EC1-01	2022-07-16	2022-09-14	2022-07-16			신청
73	1	FA1-05	2022-08-29	2022-09-13	2022-08-29			신청
74	1	FA1-04	2022-08-24	2022-09-13	2022-08-24	2022-08-24	65000	수강중
75	25	FA1-04	2022-08-21	2022-09-10	2022-08-21	2022-08-21	65000	수강중
76	6	FA2-01	2022-07-09	2022-08-06	2022-07-09	2022-07-09	123000	수강완료
77	10	FA1-03	2022-07-09	2023-07-09	2022-07-09	2022-07-09	74000	수강중
78	2	FA3-02	2022-08-28	2022-12-26	2022-08-28			신청
79	20	FB3-05	2022-08-28	2024-08-27	2022-08-28			신청
80	24	FB3-05	2022-07-06	2024-07-05	2022-07-06	2022-07-06	98000	수강중
81	2	FB2-04	2022-07-26	2022-09-24	2022-07-26			신청
82	1	FB1-01	2022-08-03	2025-08-02	2022-08-03	2022-08-03	51000	수강중
83	7	FB3-04	2022-06-25	2023-06-25	2022-06-25	2022-06-25	67000	수강중
84	4	FB1-05	2022-08-24	2022-09-13	2022-08-24	2022-08-24	35000	수강중
85	30	FB2-02	2022-08-29	2022-09-28	2022-08-29	2022-08-29	48000	수강중
86	18	FC2-03	2022-01-31	2022-02-15	2022-01-31	2022-01-31	37000	수강완료
87	27	FC1-01	2022-05-16	2022-07-15	2022-05-16	2022-05-16	415000	수강완료
88	20	FC1-01	2022-08-15	2022-10-14	2022-08-15	2022-08-15	415000	수강중
89	7	GA1-04	2022-08-19	2022-09-08	2022-08-19	2022-08-19	15000	수강중
90	29	GA2-01	2022-04-16	2022-06-15	2022-04-16	2022-04-16	76000	수강완료
91	18	GB3-01	2022-08-30	2022-09-19	2022-08-30	2022-08-30	63000	수강중
92	2	GC3-01	2022-07-16	2022-07-23	2022-07-16	2022-07-16	45000	수강완료
93	27	HA2-03	2022-06-06	2022-08-05	2022-06-06	2022-06-06	95000	수강완료
94	1	HA3-02	2022-08-29	2022-09-28	2022-08-29			신청
95	2	HA3-03	2022-08-06	2022-08-27	2022-08-06	2022-08-06	45000	수강완료
96	2	HA3-05	2022-08-14	2022-09-13	2022-08-14	2022-08-14	92000	수강중
97	21	HB1-04	2022-07-29	2023-07-29	2022-07-29	2022-07-29	1500000	수강중
98	13	HB1-01	2022-08-05	2022-10-04	2022-08-05	2022-08-05	150000	수강중
99	18	HB1-02	2022-08-22	2022-09-21	2022-08-22	2022-08-22	35000	수강중
100	26	HC3-01	2022-08-28	2022-09-11	2022-08-28	2022-08-28	73000	수강중
