번호	교재코드	교재명	판매가
139	BC104	미적분에 빠진 하루 : 골디락스 접근법을 활용한 새로운 미적분 교과서	14400
140	BC105	다시 미분 적분	16200
141	BC106	EBS 수능특강 고등 수학영역 미적분	5200
142	BC107	EBS 수능특강 Q 미니모의고사 고등 수학영역 미적분	3300
143	BC108	메가스터디 N제 고등 수학영역 미적분 362제	16000
144	BC201	자이스토리 고2 미적분 2 1019제(2019)	14400
145	BC202	자이스토리 고2 미적분 2 764제(2015)	13500
146	BC203	자이스토리 고2 미적분(2020)	15120
147	BC204	메가스터디 고2 미적분 2 410제(2016)	12000
148	BC205	아샘 Hi Math 미적분-고2(2019)	15300
149	BC206	신사고 SSEN 쎈 고등 미적분	15000
150	BC207	마플시너지 고등 미적분 내신대비 문제짐	25000
151	BC208	EBC 수능 스타트 고등 수학영역 미적분	7000
152	BC301	리얼 오리지널 수능기출 선택과목 22회 모의고사-고3 미적분(2021)	7920
153	BC302	기출의 고백 M 고3 미적분(2021)	13500
154	BC303	자이스토리 고3 미적분(2020)-강남구청 인터넷 수능방송 강의교재	16650
155	BC304	2023 수능대비 자이스토리 고3 미적분(2022)	18000
156	BC305	자이스토리 고3 미적분(2021)	17100
157	BC306	한완수 고등 미적분(상) 교과.실전개념	31000
158	BC307	531 프로젝트 빠르게 고등  수학 미적분 S	9000
159	BC308	개념 쎈 고등 미적분	16000
160	CA101	매일 3단계로 푸는 영어독해 전국연합 학력평가 기출-고1(매3영)(2022)	14400
161	CA102	매일 3단계로 푸는 영어독해 교육청 기출 고1	14000
162	CA103	EBS 올림포스 고등 전국연합학력평가 기출문제집-고1 영어독해(2021)	11700
163	CA104	기출의 고백 고1 영어독해(2019)	12600
164	CA105	대입수능 영어독해 3단계 16유형분석-고1	8000
165	CA106	EBS 수능특강 고등 영어영역 영어독해연습	8700
166	CA107	EBS 수능특강 LIGHT 영어 독해	9500
167	CA108	E 모든 변형문제 고등 영어독해연습 수능특강	17000
168	CA201	매일 3단계로 푸는 영어독해 전국연합 학력평가 기출-고2(2019)(매3영)	14400
169	CA202	매일 3단계로 푸는 영어독해 전국연합 학력평가 기출-고2(2022)(매3영)	14400
170	CA203	매일 지문3개씩 푸는 영어독해 교육청기출 고2(2015수능대비)	14000
171	CA204	EBS 올림포스 고등 전국연합학력평가 기출문제집-고2 영어독해(2021)	11700
172	CA205	리얼 오리지널 전국연합 학력평가 기출 모의고사 5개년 20회-고2 영어 독해(2022)	12600
173	CA206	EBS 단기특강 고등 영어독해 유형편	6500
174	CA207	종로교재 고등 영어 유형 독해	20000
175	CA208	종로교재 고등 영어 구문 독해	20000
176	CA301	마더텅 수능기출 20분 고난도 미니 모의고사 12회-고3 영어독해(2021)	8910
177	CA302	씨뮬 핵심 유형 하프 모의고사-고3 영어독해(2015)-최신 1년간 모든 기출	13000
178	CA303	대입수능 영어독해 3단계 16유형분석-고3	8000
179	CA304	다빈출코드 수능기출문제집 영어영역 고3 독해(2019)	14400
180	CA305	4개년 유형별 수능기출 고3 영어 독해 600제(2015)	10000
181	CA306	EBS 단기특강 고등 영어독해 어법편	6500
182	CA307	FULL 수록 고등 영어 독해 수능기출문제집	18500
183	CA308	컨셉 고등 영어독해 약점유형 모의고사 20회	11500
184	CB101	완벽한 동사 암기법(영어 공부! 99% 혼자 할 수 있다 1)	9900
185	CB102	나 혼자만 알고 싶은 영어책-매운맛 Vol 1	17010
186	CB103	이근철랭킹영어1문법동사편	13000
187	CB104	절대 헷갈리지 않는 영문법(영어 공부! 99% 혼자 할 수 있다 2)	11700
188	CB105	영어문법 Check(영어실력 쑥쑥 올려주는)	13000
189	CB106	쎄듀 고등 본영어 문법편	16000
190	CB107	쎄듀 고등 본영어 문법적용편	13000
191	CB108	내신전략 고등 영어 문법	15000
192	CB201	영어를 포기하면 행복해진다!	12000
193	CB202	심우철 합격영어 2-문법(2020)	14400
194	CB203	진짜녀석들 REAL ENGLISH 2-기초영어	13500
195	CB204	PASS 통합영어 어휘.표현.생활영어(2019)	27000
196	CB205	나 혼자만 알고 싶은 영어책-매운맛 Vol 2	17010
197	CB206	스카이 고등학교 영어문법	7700
198	CB207	단권화 영어영역 문법 단권화	11500
199	CB208	다트 고등 문법편	8500
200	CB301	영어로 문장을 만들 수 있다-어순 문법 집중	12600
201	CB302	영어 평가 문항 개발의 실제(한국영어 교과교육학회 총서 4)	19000
202	CB303	학습영문법 SCHOOL ENGLISH GRAMMAR (제2판)	32300
203	CB304	문법의 마무리	26000
204	CB305	이현아 콤팩트 영어 기출문제풀이 1.0	22500
205	CB306	단호박 외국여(영어)문법특강	9000
206	CB307	시작부터 확 다른 영어문법	7000
207	CB308	대한민국에서 가장 쉬운 문법책	17000
208	CC101	이유있는 초이스 영어듣기 말하기 9년간 모의고사 고1 영어(2017)	8820
209	CC102	예비 고1 유형별 영어듣기(2016)	13000
210	CC103	예비 고1 중학 영어듣기 총정리 30일 완성(2018)	11700
211	CC104	리얼 오리지널 전국연합 학력평가 24회 모의고사-고1 영어듣기(2021)	9900
212	CC105	미래로 고1 기출문제집-영어듣기(2014)	12000
213	CC106	EBS 수능특강 고등 영어영역 영어듣기	8900
214	CC107	수능만만 고등 영어듣기 20회 기본	12600
215	CC108	수능만만 고등 기본 영어듣기 모의고사 35+5회	16200
216	CC201	이유있는 초이스 고2-영어듣기 말하기 최근6개년 기출모음집	8800
217	CC202	시험과 똑같은 5배속 고교영어듣기 25회모의고사 고2(2012)	15000
218	CC203	리얼 오리지널 전국연합 학력평가 24회 모의고사-고2 영어 듣기(2021)	9900
219	CC204	이유있는 초이스 고2 -영어 듣기 말하기 7년간 전국연합 모의고사(2015)	8800
220	CC205	100% 실전대비 MP3 고교영어듣기 24회 모의고사 2학년(2021)	11610
221	CC206	종로교재 고등 영어듣기 	18000
222	CC207	EBS 수능특강 고등 영어영역 영어듣기	8900
223	CC208	고등영어듣기끝	25000
224	CC301	리얼 오리지널 수능기출 학력평가 35회 모의고사-고3 영어 듣기(2021)	11700
225	CC302	이유있는 초이스 고3-영어 듣기 말하기 8년간 모의고사(2016)	9800
226	CC303	이유있는 초이스 영어 듣기.말하기 10년간 모의고사 고3 영어(2018)	9720
227	CC304	듣보잡 듣기를 보면서 잡는다 ORIGINAL-3주 만에 끝내는 영어 듣기 독학서(2022)(2023 수능대비)	25920
228	CC305	필수 기본 영어회화	13500
229	CC306	EBSi강의교재 김태우의 고교영어듣기 분석특강 2	8200
230	CC307	EBS 수능특강 영어영역 영어듣기	8900
231	CC308	EBS 수능특강 유사 변형 영어영역 영어듣기 123제	13000
232	DA101	씨뮬 최신 1년간 기출 모의고사-한국사 고1(2016)	11000
233	DA102	EBS 필수 한국사-고1(2016)	9000
234	DA103	메가스터디 고1 한국사 910제(2016)	14000
235	DA104	1학년 2학기 중간고사 & 9월 모의고사-고1 한국사.고등사회.고등과학 480제(2017)	16200
236	DA105	리얼리티 한국사 6개년 모의고사 고1-24회(2020)	11700
237	DA106	EBS 수능특강 고등 한국사영역 한국사	7000
238	DA107	메가스터디 N제 한국사 고1 1200제	16000
239	DA108	EBS 수능특강 Q 미니모의고사 고등 한국사영역 한국사	3300
240	DA201	씨뮬 최신 1년간 기출모의고사-한국사 고2(2016)	11000
241	DA202	씨뮬 최신 1년간 기출 모의고사-고2 한국사(2015)	11000
242	DA203	자이스토리 내신 한국사(고1, 고2) 544제(2019)	14400
243	DA204	단비 한국사능력검정시험 기출문제 분석-고급(1,2급)	25200
244	DA205	2시간에 끝내는 트와이스 한국사	12600
245	DA206	고등 한국사 7일 끝 중간고사 기말고사	14000
246	DA207	EBS 수능특강 사용설명서 고등 한국사영역 한국사	9000
247	DA208	우공비Q 등급업N제 고등 학국사 483제	13500
248	DA301	씨뮬 9TH 수능기출 전국연합 3년간 모의고사 한국사 고3 (2021)	11700
249	DA302	씨뮬 10th 수능기출 전국연합학력평가 3년간 모의고사 한국사 고3(2022)(2023수능대비)	11700
250	DA303	씨뮬 최신 1년간 기출 모의고사-한국사 고3(2016)	12000
251	DA304	PASSING 교육청 평가원 수능기출 2개년 모음집 고3 한국사(2015)	7500
252	DA305	리얼 오리지널 수능기출 모의고사 3개년-고3 한국사(2020)	4500
253	DA306	고등 사탐영역 한국사 기초	15000
254	DA307	메가스터디 N제 고등 한국사 400제	14000
255	DA308	메가스터디 고등 한국사 910제	14000
256	DB101	옷장 속의 세계사(창비청소년문고 10)	11520
257	DB102	역사 속의 세계사1	13500
258	DB103	백건아 Signal 기출문제집-세계사(2023 대비)	17100
259	DB104	슬기로운 세계사 1-사료분석(2023 대비)	18900
260	DB105	백건아 Final 모의고사-세계사(2022)	21600
261	DB106	EBS 수능완성 사회탐구영역 세계사	5800
262	DB107	EBS 수능특강 사회탐구영역 세계사	5700
263	DB108	EBS N제 사회탐구영역 세계사 300제	6500
264	DB201	리얼리티 전국연합 5개년 모의고사 고2 세계사(2020)	9000
265	DB202	리얼리티 전국연합 4개년 모의고사 고2 세계사(2019)	7200
266	DB203	세계사 사건 파일 2 - 인쇄술의 혁명부터 9.11테러까지(돌콩 사회똑똑)	9000
267	DB204	백건아 Junior N제-세계사(2022)	17100
268	DB205	드림하이 모의고사 세계사영역 4회(2020)	16200
269	DB206	세계사를 보다3	18500
270	DB207	세계사를 보다1	18500
271	DB208	세계사를 보다2	18500
272	DB301	삼육구십 모의고사기출문제집 고3 세계사(2012)	7500
273	DB302	지피지기 백전백승 모의고사 기출모음집 고3 세계사(2013 수능대비 최신판)	8000
274	DB303	리얼리티 전국연합 4개년 모의고사 고3 세계사(2019)	7200
275	DB304	PASSING 교육청 평가원 수능기출 2개년 모음집 고3 세계사(2015)	6750
276	DB305	5개년 모의고사 모음집-고3 사회탐구(세계사)(2012 수능대비)(이런 문제 꼭 나온다)	5000
277	DB306	EBS 수능특강 고등 사회탐구영역 세계사	6000
278	DB307	EBS 수능완성 고등 사회탐구영역 세계사	5500
279	DB308	EBS 수능특강 고등 사탐 세계사	5700
280	EA101	EBS 개념완성 사회탐구영역 생활과 윤리(2018 고1적용)	11700
281	EA102	생활과 윤리-하룻밤에 끝내는 완벽한 수능	13500
282	EA103	현자의 돌 생활과 윤리 모의고사 시즌1(2021수능대비)	10800
283	EA104	우공비Q 등급업N제 생활과 윤리(2021)	12150
284	EA105	현자의 돌 생활과 윤리 킬러 쿼터 모의고사(2021 수능대비)	13500
285	EA106	현자의 돌 6.9평 통합 분석서 고등 생활과 윤리	17000
286	EA107	고등 생활과 윤리 7일 끝 중간고사 기말고사	14000
287	EA108	고등 사탐영역 생활과 윤리 기초	15000
288	EA201	메가스터디 N제-고2 사회탐구영역 생활과 윤리 600제(2018)	12740
289	EA202	메가스터디 N제-고2 사회탐구영역 생활과 윤리 600제(2017)	12600
290	EA203	현자의 돌 생활과 윤리 수능 실전 개념 완성(2021)(2022 수능대비)	18000
291	EA204	현자의 돌 생활과 윤리 주제별 기출문제집(2022)(2023 수능대비)	16200
292	EA205	수능전략 사회탐구영역 생활과 윤리(2022)	13500
293	EA206	고등 생활과 윤리 파이널 실전적중 모의고사	9000
294	EA207	현자의 돌 고등 생활과 윤리 환경윤리 이론 총정리	15000
295	EA208	몽몽 모의평가 생활과 윤리	15500
296	EA301	리얼리티 전국연합 4개년 모의고사 고3 생활과 윤리(2019)	7200
297	EA302	탑 시크리트 최종모의고사-고3 생활과 윤리(봉투)(2016 수능대비)	5000
298	EA303	씨뮬 9TH 수능기출 전국연합 3년간 모의고사 생활과 윤리 고3 (2021)	10800
299	EA304	리얼 오리지널 수능기출 5개년 35회 모의고사-고3 생활과 윤리(2021)	9000
300	EA305	리얼 오리지널 수능기출 50회 모의고사-고3 생활과 윤리(2018수능시험대비)	9900
301	EA306	EBS 수능특강 Q 미니모의고사 고등 사회탐구영역 생활과 윤리	3300
302	EA307	EBS 수능특강 고등 사회탐구여역 생활과 윤리	6200
303	EA308	현자의 돌 고등 생활과 윤리 기출문제집	27000
304	EB101	EBS 개념완성 사회탐구영역 사회문화(2018 고1적용)	12150
305	EB102	개념풀 사회.문화(2019)	16200
306	EB103	핵심큐 사회 문화(2019)	9900
307	EB104	우공비Q 등급업N제 사회문화(2021)	12150
308	EB105	1등급 만들기-사회.문화 690제(2019)	11700
309	EB106	EBS 수능특강 고등 사회탐구영역 사회문화	6000
310	EB107	EBS 수능완성 고등 사회 문화	6700
311	EB108	EBS 수능완성 고등 사회탐구영역 사회 문화	6400
312	EB201	연도별 7개년 수능모의고사-고2 사회문화(2012대비)	8000
313	EB202	리얼리티 전국연합 5개년 모의고사 고2 사회문화(2020)	9000
314	EB203	리얼리티 전국연합 4개년 모의고사 고2 사회문화(2019)	7200
315	EB204	기출비 수능 모의평가(학력진단)사회문화 고2(2013수능대비)	4900
316	EB205	노스트라다무스 수능기출 플러스 사회문화 고2용(2016)	5500
317	EB206	30일컷 사탐기출 고등 사회문화	12600
318	EB207	고등 사회. 문화 7일 끝 중간고사 기말고사	14000
319	EB208	올쏘 내신강자 고등 사회 문화	10800
320	EB301	올필 3개년 모의고사 사회문화-고3 사회문화(2012 수능 대비 최신 개정판)	8000
321	EB302	씨뮬 9TH 수능기출 전국연합 3년간 모의고사 사회문화 고3 (2021)	10800
322	EB303	씨뮬 10th 수능기출 전국연합학력평가 3년간 모의고사 사회문화 고3(2022)(2023수능대비)	10800
323	EB304	앤디션 모의고사 기출문제집-고3 사회문화(2016 대비)	5500
324	EB305	리얼 오리지널 수능기출 전국연합 학력평가 모의고사-고3 사회문화(2022)(2023 대비)	10800
325	EB306	EBS 수능특강 사용설명서 고등 사회탐구영역 사회.문화	8500
326	EB307	단권화 사회탐구영역 사회문화 단권화	1300
327	EB308	종로 인터넷 강의 교재 사회 탐구 영역 사회문화	11000
328	EC101	누드교과서-윤리와 사상(2014년 고1용)	15300
329	EC102	현자의 돌 생활과 윤리 수능 실전 개념 완성(2021)(2022 수능대비)	18000
330	EC103	현자의 돌 생활과 윤리 킬러 쿼터 모의고사(2021 수능대비)	13500
331	EC104	생활과 윤리-하룻밤에 끝내는 완벽한 수능	13500
332	EC105	미네르바 N제-윤리와 사상(2021)	15930
333	EC106	EBS 수능특강 고등 사회탐구영역 윤리와 사상	6000
334	EC107	EBS 수능 고등 사회탐구 윤리와 사상	6200
335	EC108	고등 셀파 윤리와 사상	16500
336	EC201	리얼리티 전국연합 4개년 모의고사 고2 윤리와 사상(2019)	7200
337	EC202	리얼리티 전국연합 5개년 모의고사 고2 윤리와 사상(2020)	9000
338	EC203	LUKAS모의고사고시즌(2)-윤리와사상	10980
339	EC204	한국인을 위한 윤리와 논리	10800
340	EC205	윤리학	12000
341	EC206	EBS 수능완성 사회탐구영역 윤리와 사상	7500
342	EC207	EBS N제 사회탐구영역 윤리와 사상 300제	4800
343	EC208	EBS 수능기출플러스 사회탐구영역 윤리와 사상	4500
344	EC301	씨뮬 9TH 수능기출 전국연합 3년간 모의고사 윤리와 사상 고3 (2021)	10800
345	EC302	지피지기 백전백승 모의고사기출모음집 고3 생활과 윤리, 윤리와 사상(2014 수능대비최신판)	8000
346	EC303	PASSING 교육청 평가원 수능기출 2개년 모음집 고3 윤리와 사상(2015)	6750
347	EC304	애드미티 평가원.수능기출 240제-고3 윤리와 사상(2016 수능시험 완벽대비)	8500
348	EC305	D-100 신수능기출 100% 수록-고3 윤리와 사상(완전학습 신수능 기출문제집 시리즈 108)	6500
349	EC306	하이라이트 핵심 윤리와 사상	14000
350	EC307	고등 윤리와 모든 것	11000
351	EC308	윤리	9000
352	FA101	EBS 개념완성 과학탐구영역 지구과학 1(2018 고1적용)	14400
353	FA102	내신끝고1과학-지구과학(2010)	7500
354	FA103	2012 지구 차원 대전환과 천상의 메시지들	18000
355	FA104	과학자처럼 사고하기	20700
356	FA105	EBS 내신6감 고1 지구과학(2010년)	5000
357	FA106	EBS 수능특강 고등 과학탐구영역 지구과학1	6600
358	FA107	EBS 수능특강 Q 미니모의고사 고등 과학탐구영역 지구과학1	3300
359	FA108	EBS 수능완성 고등 과학탐구영역 지구과학1	5400
360	FA201	연도별 7개년 수능모의고사-고2 지구과학 I(2012대비)	8000
361	FA202	리얼리티 전국연합 4개년 모의고사 고2 지구과학 1(2019)	7200
362	FA203	연도별 최신기출 7개년 모의고사-고2 지구과학 I(2011)	7000
363	FA204	리얼리티 전국연합 5개년 모의고사 고2 지구과학 1(2020)	9000
364	FA205	EBSi 강의노트 기본개념 고1,2를 위한 박남정의 친절한 지구과학 1	8000
365	FA206	하이탑 고등학교 지구과학2	27000
366	FA207	한 번만 읽으면 확 잡히는 고등 지구과학	13000
367	FA208	고등 과학탐구영역 지구과학1 시즌	17000
368	FA301	씨뮬 수능기출 전국연합 3년간 모의고사-고3 지구과학 1(8TH)(2021수능대비)	11700
369	FA302	입시플라이 수능기출 모의고사 3개년 문제집-고3 과학탐구영역 지구과학 I(2014 대비)	4800
370	FA303	씨뮬 9TH 수능기출 전국연합 3년간 모의고사 지구과학1 고3(2021)	10800
371	FA304	골드 스터디 월별모의고사족보-고3 지구과학 I(2014 대비)	7000
372	FA305	리얼리티 전국연합 4개년 모의고사 고3 지구과학 2(2019)	6300
373	FA306	고등 지구과학1	29800
374	FA307	고등 지구과학1 N제	19800
375	FA308	단권화 고등 과학탐구영역 지구과학1	13000
376	FB101	EBSi 강의노트 기본개념 고1,2를 위한 여한종의 두드림 생명과학 1	7800
377	FB102	EBS 강의노트 기본개념 과탐 - 박소현의 고1,2를 위한 개념의 정석 생명과학1 (2016)	7500
378	FB103	유인원과 유전체 정보	20000
379	FB104	21세기생명과학	14000
380	FB105	예제로 배우는 생명과학	17100
381	FB106	EBS 수능특강 고등 과학탐구영역 생명과학2	6600
382	FB107	EBS 수능특강 고등 과학탐구영역 생명과학1	6600
383	FB108	하이탐 고등학교 생명과학2	27000
384	FB201	리얼리티 전국연합 4개년 모의고사 고2 생명과학 1(2019)	7200
385	FB202	메가스터디 고2 생명과학1 600제(2016)	14000
386	FB203	리얼리티 전국연합 5개년 모의고사 고2 생명과학 1(2020)	9000
387	FB204	노스트라다무스 수능기출 플러스 생명과학1 고2용(2016)	5500
388	FB205	수능해커과학-생명과학1 고2용(2016기출모의고사 모음집)	6000
