번호	문제	보기1	보기2	보기3	보기4	답
A-13	로스팅 8단계 분류 중 프렌치 로스트(French roast)에 해당되는 SCAA 단계별 명칭은?	Dark roast	Moderately dark roast	Medium roast	Very dark roast	1
A-14	다음 중 커피의 음용이 체내 흡수에 영향을 미치는 영양소는?	Fe(철분)	Na(나트륨)	Ca(칼슘)	K(칼륨)	1
A-15	다음 중 커피의 건류 반응(Dry distillation)에 의하여 생성된 향기가 아닌 것은?	Chocolaty	Spicy	Carbony	Turpeny	1
A-16	커피 커핑(Cupping) 평가용어에 대한 내용 중 다른 하나는?	Soury	Acidy	Winey	Caramelly	4
A-17	커피를 약한 화력에 너무 오래 로스팅해서, 캐러멜화가 충분히 진행되지 않아 나타나는 향미의 결함은?	Baked	Green	Tipped	Woody	1
A-18	커피의 가용성분 중 실제로 커피에 추출된 비율을 무엇이라 하는가?	추정 수율	수용 비율	추출 수율	가용 수율	3
A-19	커피를 추출하는 방식 중 달임 방식(Decoction)에 해당하는 것은?	에스프레소머신	페이퍼드립	프렌치 프레스	이브릭	4
A-20	에스프레소와 물을 비교한 물리화학적 특성 중 틀린 것은?	굴절률이 증가한다.	표면 장력이 증가한다.	전기전도도가 높아진다.	pH가 낮아진다.	2
A-21	다음 커피의 역사적 사건들을 오래 된 순서로 바르게 나열한 것을 고르시오.	나-가-라-다	나-라-가-다	나-가-다-라	나-다-가-라	1
A-22	외부로의 반출이 엄격히 통제되고 있던 상황에서 커피 묘목을 반출하여 인도네시아에서 커피를 재배함으로써 대규모 커피경작의 역사를 연 나라는?	포르투갈	프랑스	네덜란드	영국	3
A-23	커피 체리 속에는 일반적으로 두 개의 생두가 자라게 되어 마주보는 면은 구조상 평평한 형태를 보이는데 이런 일반적인 생두를 무엇이라고 부르나?	이븐 빈(Even bean)	커플 빈(Couple bean)	라운드 빈(Round bean)	플랫 빈(Flat bean)	4
A-24	다음 중 다른 세 나라와 커피를 분류하는 방법이 다른 국가는?	브라질	인도네시아	에티오피아	케냐	4
A-25	다음 습식법(Wet processing)에 대한 설명 중 옳은 것은?	건식법에 비해 커피의 품질이 떨어진다.	주로 로부스타 종에 많이 사용된다.	단맛이 좋으며 바디가 비교적 강한 커피를 얻을 수 있다.	세균에 의한 발효로 산이 생성되어 pH가 3.8-4.0으로 내려간다.	4
A-26	SCAA 기준에 따른 결점두(Defect bean)의 발생 원인이 잘못 연결된 것은?	Withered Bean: 발육 기간 동안 수분 공급 부족	Black Bean: 늦은 수확, 흙과의 장시간 접촉	Shell: 불완전한 탈곡과정	Floater: 부적절한 보관이나 건조	3
A-27	커피 가공 방법은 크게 건식법, 펄프드 내추럴, 습식법으로 나뉜다. 2000년 이후 이 세 가지 가공 방법에 공통적으로 적용되는 공정은 무엇인가?	이물질 제거, 선별과정	펄핑과정	발효과정	점액질 제거과정	1
A-28	향미가 뛰어난 커피를 생산하기 위한 방법으로 올바른 것은?	생두의 수분을 완전히 건조하기 위해 장기간 햇볕에 건조시킨다.	완전히 익은 붉은색의 체리를 선별 수확한다.	유기농법으로 가공한다.	수확 후 커피체리 껍질을 반드시 제거한 다음 건조시켜야 한다.	2
A-29	우유에 함유된 성분으로서, 칼슘 흡수를 촉진하는 물질은 무엇인가?	불포화지방산	유당	포화지방산	무기질	2
A-30	밀크 스티밍(Steaming) 과정에서 우유의 단백질 외에 거품의 안정성에 중요한 역할을 하는 성분은?	칼슘	유당	인	지방	4
A-31	다음 커피 메뉴(1잔 기준) 중 칼로리가 가장 높은 것은?	화이트초콜릿 모카	카페라떼	카푸치노	아메리카노	1
A-32	일부 로스팅 머신에 부착된 댐퍼(Damper)의 기능으로 볼 수 없는 것은?	드럼 내부의 공기 흐름을 조절하는 기능	드럼 내부의 열량을 조절하는 기능	은피를 배출하는 기능	흡열과 발열 반응을 조절하는 기능	4
A-33	커피 로스팅의 기본적인 세 단계에 속하지 않는 것은?	건조(Dry)	열분해(Pyrolysis)	냉각(Cooling)	포장(Packing)	4
A-34	다음 중 커피 색상의 변화에 영향을 미치지 않는 것은?	클로로겐산	카페인	멜라노이딘	캐러멜	2
A-35	커피를 로스팅 할 때 일어나는 성분의 양적 변화가 가장 적은 것은?	Caffeine	Free sugar	Chlorogenic acid	Trigonelline	1
A-36	커피 추출액 중 가장 많이 함유되어 있는 무기질 성분은?	P(인)	K(칼륨)	Na(나트륨)	Ca(칼슘)	2
A-37	다음 커피 향미 성분 중 로스팅 과정 중에 생성되는 향이 아닌 것은?	Nutty	Caramelly	Fruity	Chocolaty	3
A-38	로스팅에 의한 원두의 물리적 변화 중 로스팅이 진행됨에 따라 값이 증가하지 않는 것은?	휘발성 성분	가용성 성분	부피	밀도	4
A-39	커피를 추출하기 위해 분쇄하는 이유로 가장 적절한 것은?	물에 접촉되는 커피 표면적의 증가	짧은 시간에 효율적인 서비스	커피 성분의 최대한 추출	원가 절감	1
A-40	연수기는 주기적으로 청소를 해야 하는데, 이 때 사용하는 것은?	소금	우유	식초	뜨거운 물	1
B-1	머랭 제조에 대한 설명으로 옳은 것은?	기름기나 노른자가 없어야 튼튼한 거품이 나온다.	일반적으로 흰자 100에 대하여 설탕 50의 비율로 만든다.	저속으로 거품을 올린다.	설탕을 믹싱 초기에 첨가하여야 부피가 커진다.	1
B-2	파운드 케이크를 패닝할 때 밑면의 껍질 형성을 방지하기 위한 팬으로 가장 적합한 것은?	일반팬	이중팬	은박팬	종이팬	2
B-3	초콜릿 제품을 생산하는데 필요한 도구는?	디핑 포크 (Dipping forks)	오븐 (oven)	파이 롤러 (pie roller)	워터 스프레이 (water spray)	1
B-4	어느 제과점의 이번 달 생산예상 총액이 1000만원인 경우, 목표 노동 생산성은 5000원/시/인, 생산 가동 일수가 20일, 1일 작업시간 10시간인 경우 소요인원은?	4명	6명	8명	10명	4
B-5	냉각으로 인한 빵 속의 수분 함량으로 적당한 것은?	약 5%	약 15%	약 25%	약 38%	4
B-6	노타임 반죽법에 사용되는 산화, 환원제의 종류가 아닌 것은?	ADA(azodicarbonamide)	L-시스테인	소르브산	요오드칼슘	4
B-7	어린 반죽(발효가 덜 된 반죽) 으로 제조를 할 경우 중간발효시간은 어떻게 조절되는가?	길어진다.	짧아진다.	같다.	판단할 수 없다.	1
B-8	다음 중 식빵에서 설탕이 과다할 경우 대응책으로 가장 적합한 것은?	소금 양을 늘린다.	이스트 양을 늘린다.	반죽온도를 낮춘다.	발효시간을 줄인다.	2
B-9	다음 중 빵의 냉각방법으로 가장 적합한 것은?	바람이 없는 실내에서 냉각	강한 송풍을 이용한 급냉	냉동실에서 냉각	수분분사 방식	1
B-10	식빵 제조 시 수돗물 온도 20℃, 사용할 물 온도 10℃, 사용물 양 4kg 일 때 사용할 얼음 양은?	100g	200g	300g	400g	4
B-11	밀가루 중에 손상전분이 제빵 시에 미치는 영향으로 옳은 것은?	반죽 시 흡수가 늦고 흡수량이 많다.	반죽 시 흡수가 빠르고 흡수량이 적다.	발효가 빠르게 진행된다.	제빵과 아무 관계가 없다.	3
B-12	다음 중 밀가루에 함유되어 있지 않은 색소는?	카로틴	멜라닌	크산토필	플라본	2
B-13	일반적으로 신선한 우유의 ph는?	4.0 ~ 4.5	3.0 ~ 4.0	5.5 ~ 6.0	6.5 ~ 6.7	4
B-14	제빵에 있어 일반적으로 껍질을 부드럽게 하는 재료는?	소금	밀가루	마가린	이스트푸드	3
B-15	비터 초콜릿 (Bitter Chocolate) 32% 중에서 코코아가 약 얼마 정도 함유되어 있는가?	8%	16%	20%	24%	3
B-16	경구감염병과 거리가 먼 것은?	유행성 간염	콜레라	세균성이질	일본뇌염	4
B-17	세균이 분비한 독소에 의해 감염을 일으키는 것은?	감염형 세균성 식중독	독소형 세균성 식중독	화학성 식중독	진균독 식중독	2
B-18	경구감염병에 관한 설명 중 틀린 것은?	미량의 균으로 감염이 가능하다.	식품은 증식매체이다.	감염환이 성립된다.	잠복기가 길다.	2
B-19	주기적으로 열이 반복되어 나타나므로 파상열이라고 불리는 인수공통감염병은?	Q열	결핵	브루셀라병	돈단독	3
B-20	보툴리누스 식중독에서 나타날 수 있는 주요 증상 및 증후가 아닌 것은?	구토 및 설사	호흡곤란	출혈	사망	3
B-21	성형한 파이 반죽에 포크 등을 이용하여 구멍을 내주는 가장 주된 이유는?	제품을 부드럽게 하기 위해	제품의 수축을 막기 위해	제품의 원활한 팽창을 위해	제품에 기포나 수포가 생기는 것을 막기 위해	4
B-22	다음 중 반죽형 케이크의 반죽 제조법에 해당하는 것은?	공립법	별립법	머랭법	블렌딩법	4
B-23	고율배합의 제품을 굽는 방법으로 알맞은 것은?	저온 단시간	고온 단시간	저온 장시간	고온 장시간	3
B-24	다음 중 비용적이 가장 큰 케이크는?	스펀지케이크	파운드 케이크	화이트레이어케이크	초콜릿케이크	1
B-25	냉동반죽의 장점이 아닌 것은?	노동력 절약	작업 효율의 극대화	설비와 공간의 절약	이스트푸드의 절감	4
B-26	빵 속에 줄무늬가 생기는 원인으로 옳은 것은?	덧가루 사용이 과다한 경우	반죽개량제의 사용이 과다한 경우	밀가루를 체로 치지 않은 경우	너무 되거나 진 반죽인 경우	1
B-27	반죽이 팬 또는 용기에 가득 차는 성질과 관련된 것은?	흐름성	가소성	탄성	점탄성	1
B-28	다음 재료 중 식빵 제조 시 반죽 온도에 가장 큰 영향을 주는 것은?	설탕	밀가루	소금	반죽개량제	2
B-29	제빵용으로 주로 사용되는 도구는?	모양깍지	돌림판(회전판)	짤주머니	스크래퍼	4
B-30	빵 제품의 껍질색이 연한 원인 설명으로 거리가 먼 것은?	1차 발효 과다	낮은 오븐 온도	덧가루 사용 과다	고율배합	4
B-31	밀가루 중에 가장 많이 함유된 물질은?	단백질	지방	전분	회분	3
B-32	다음 중 효소와 온도에 대한 설명으로 틀린 것은?	효소는 일종의 단백질이기 때문에 열에 의해 변성된다.	최적온도 수준이 지나도 반응 속도는 증가한다.	적정온도 범위에서 온도가 낮아질수록 반응속도는 낮아진다.	적정 온도 범위 내에서 온도 10℃ 상승에 따라 효소 활성은 약 2배로 증가한다.	2
B-33	패리노그래프 커브의 윗부분이 200B.U.에 닿는 시간을 무엇이 라고 하는가?	반죽시간(peak time)	도달시간(arrival time)	반죽형성시간(dough development time)	이탈시간(departure time)	2
B-34	제빵에 사용하는 물로 가장 적합한 형태는?	아경수	알칼리수	증류수	염수	1
B-35	다음 중 당 알코올(sugar alcohol)이 아닌 것은?	자일리톨	솔비톨	갈락티톨	글리세롤	4
B-36	다음 중 허가된 천연유화제는?	구연산	고시폴	레시틴	세사몰	3
B-37	다음 중 살모넬라균의 주요 감염원은?	채소류	육류	곡류	과일류	2
B-38	산양, 양, 돼지, 소에게 감염되면 유산을 일으키고, 인체 감염 시 고열이 주기적으로 일어나는 인수공통감염병은?	광우병	공수병	파상열	신증후군출혈열	3
B-39	주로 냉동된 육류 등 저온에서도 생존력이 강하고 수막염이나 임신부의 자궁 내 패혈증 등을 일으키는 식중독균은?	대장균	살모넬라균	리스테리아균	포도상구균	3
B-40	다음 중 감염형 식중독을 일으키는 것은?	보툴리누스균	살모넬라균	포도상구균	고초균	2
C-1	제빵 시 완성된 빵의 부피가 비정성적으로 크다면 그 원인으로 가장 적합한 것은?	소금을 많이 사용하였다.	알칼리성 물을 사용하였다.	오븐온도가 낮았다.	믹싱이 고율배합이다.	3
C-2	옐로에이어 케이크의 적당한 굽기 온도는?	140℃	150℃	160℃	180℃	4
C-3	무스크림을 만들 떄 가장 많이 이용되는 머랭의 종류는?	이탈리안 머랭	스위스 머랭	온제 머랭	냉제 머랭	1
C-4	제조 공정 시 표면 건조를 하지 않는 제품은?	슈	마카롱	밤과자	핑거쿠키	1
C-5	튀김용 기름의 온도가 가장 적합한 것은?	140 ~ 150℃	160 ~ 170℃	180 ~ 190℃	200 ~ 210℃	3
C-6	굽기의 실패 원인 중 빵의 부피가 작고 껍질색이 짙으며, 껍질이 부스러지고 옆면이 약해지기 쉬운 결과가 생기는 원인은?	높은 오븐열	불충분한 오븐열	너무 많은 증기	불충분한 열의 분배	1
C-7	식빵에서 설탕을 정량보다 많이 사용하였을 때 나타나는 현상은?	껍질이 엷고 부드러워진다.	발효가 느리고 팬의 흐름성이 많다.	껍질색이 연하며 둥근 모서리를 보인다.	향미가 적으며 속 색이 회색 또는 황갈색을 보인다.	2
C-8	단위당 판매가격이 70원, 단위당 변동비가 50원, 고정비가 5000원이라고 하면 손익분기점은 얼마인가?	150원	200원	250원	300원	3
C-9	다음 중 연속식 제빵법의 특징이 아닌 것은?	발효손실 감소	설비감소, 설비공간, 설비면적 감소	노동력 감소	일시적 기계구입 비용의 경감	4
C-10	다음 중 빵 반죽의 발효에 속하는 것은?	낙산발효	부패발효	알코올발효	초산발효	3
C-11	베이킹파우더의 산-반응물질(acid-reacting material)이 아닌 것은?	주석산과 주석산염	인산과 인산염	알루미늄 물질	중탄성과 중탄산염	4
C-12	우유 중 제품의 껍질색을 개선시켜 주는 성분은?	유당	칼슘	유지방	광물질	1
C-13	물의 기능이 아닌 것은?	유화 작용을 한다.	반죽 농도를 조절한다.	소금 등의 재료를 분산시킨다.	효소의 활성을 제공한다.	1
C-14	잎을 건조시켜 만든 향신료는?	계피	넷메그	메이스	오레가노	4
C-15	마가린의 산화방지제로 주로 많이 이용되는 것은?	BHA	PG	EP	EDGA	1
C-16	식품첨가물의 안전성 시험과 가장 거리가 먼 것은?	아급성 독성 시험법	만성 독성 시험법	맹독성 시험법	급성 독성 시험법	3
C-17	사람에게 영향을 미치는 결핵균의 병원체를 보유하고 있는 동물은?	쥐	소	말	돼지	2
C-18	정염 비브리오균에 감염되었을 때 나타나는 주요 증상은?	급성위장염 질환	피부농포	신경마비 증상	간경변 증상	1
C-19	환경 중의 가스를 조절함으로써 채소와 과일의 변질을 억제하는 방법은?	변형공기포장	무균포장	상업적 살균	통조림	1
C-20	쥐나 곤충류에 의해서 발생될 수 있는 식중독은?	살모넬라 식중독	클로스트리디움 볼툴리늄 식중독	포도상구균 식중독	장염 비브리오 식중독	1
C-21	도넛 제조 시 수분이 적을 때 나타나는 결점이 아닌 것은?	팽창이 부족하다.	혹이 튀어 나온다.	형태가 일정하지 않다.	표면이 갈라진다.	2
C-22	파운드케이크의 팬닝은 틀 높이의 몇 % 정도까지 반죽을 채우는 것이 가장 적당한가?	50%	70%	90%	100%	2
C-23	쿠키의 제조 방법에 따른 분류 중 계란흰자와 설탕으로 만든 머랭 쿠키는?	짜서 성형하는 쿠키	밀어 펴서 성형하는 쿠키	프랑스식 쿠키	마카롱 쿠키	4
C-24	다음 재료들을 동일한 크기의 그릇에 측정하여 중량이 가장 높은 것은?	우유	분유	쇼트닝	분당	1
C-25	열원으로 찜(수증기)을 이용했을 때의 주 열전달 방식은?	대류	전도	초음파	복사	1
C-26	다음 발효 중 일어나는 생화학적 생성 물질이 아닌 것은?	덱스트린	맥아당	포도당	이성화당	4
C-27	스펀지/도법에서 스펀지 밀가루 사용량을 증가시킬 때 나타나는 결과가 아닌 것은?	도 제조시 반죽시간이 길어짐	완제품의 부피가 커짐	도 발효시간이 짧아짐	반죽의 신장성이 좋아짐	1
C-28	단과자빵의 껍질에 흰 반점이 생긴 경우 그 원인에 해당되지 않는 것은?	반죽온도가 높았다.	발효하는 동안 반죽이 식었다.	숙성이 덜 된 반죽을 그대로 정형하였다.	2차 발효 후 찬 공기를 오래 쐬었다.	1
C-29	다음 중 중간발효에 대한 설명으로 옳은 것은?	상대습도 85%전후로 시행한다.	중간발효 중 습도가 높으면 껍질이 형성되어 빵 속에 단단한 소용돌이가 생성된다.	중간발효 온도는 27~29℃가 적당하다.	중간발효가 잘되면 글루텐이 잘 발달된다.	3
C-30	반죽제조 단계 중 렛다운(Let Down) 상태까지 믹싱하는 제품으로 적당한 것은?	옥수수식빵, 밤식빵	크림빵, 앙금빵	바게트, 프랑스빵	잉글리시 머핀, 햄버거빵	4
C-31	유지의 기능 중 크림성의 기능은?	제품을 부드럽게 한다.	산패를 방지한다.	밀어 펴지는 성질을 부여한다.	공기를 포집하여 부피를 좋게 한다.	4
C-32	일반적으로 시유의 수분 함량은?	58%정도	65%정도	88%정도	98%정도	3
C-33	우유를 ph4.6으로 유지하였을 때, 응고되는 단백질은?	카세인(casein)	a-락트알부민(lactalbumin)	락토글로불린(lactoglobulin)	혈청알부민(serum albumin)	1
C-34	물의 경도를 높여주는 작용을 하는 재료는?	이스트푸드	이스트	설탕	밀가루	1
C-35	밀가루의 호화가 시작되는 온도를 측정하기에 가장 적합한 것은?	레오그래프	아밀로그래프	믹사트론	패리노그래프	2
C-36	원인균이 내열성포자를 형성하기 때문에 병든 가축의 사체를 처리할 경우 반드시 소각처리 하여야 하는 인수공통감염병은?	돈단독	결핵	파상열	탄저병	4
C-37	해수세균의 일종으로 식염농도 3%에서 잘 생육하며 어패류를 생식할 경우 중독될 수 있는 균은?	보툴리누스균	장염 비브리오균	웰치균	살모넬라균	2
C-38	다음 중 사용이 허가되지 않은 유해감미료는?	사카린(Saccharin)	아스파탐(Aspartame)	소프비톨(Sorbitol)	둘신(Dulcin)	4
C-39	미나마타병은 어떤 중금속에 오염된 어패류의 섭취 시 발생되는가?	수은	카드뮴	납	아연	1
C-40	세균의 대표적인 3가지 형태분류에 포함되지 않는 것은?	구균(coccus)	나선균(spirillum)	간균(bacillus)	페니실린균(penicillium)	4
