m_no,m_title,m_synopsis,g_no,m_time,m_open,m_director
16,그것,아이들이 사라지는 마을 ‘그것’이 나타났다\n살인과 실종사건이 이상하게 많이 생기는 데리라는 마을 비 오는 어느 날 종이배를 들고 나간 동생이 사라졌다. 형 빌은 ‘루저 클럽’ 친구들과 함께 동생을 찾아 나서고 27년마다 가장 무서워하는 것의 모습을 한 채 아이들을 잡아먹는다는 ‘그것’이 빨간 풍선을 든 삐에로의 모습으로 그들 앞에 나타나는데… 빌과 친구들은 공포를 이겨내고 ‘그것’에 맞서 동생과 사라진 아이들을 찾을 수 있을까?,3.8,134,3,안드레스 무시에티
17,그것: 두 번째 이야기,‘그것’과 함께 ‘그들’도 돌아왔다!\n27년마다 아이들이 사라지는 마을 데리 또 다시 ‘그것’이 나타났다.\n27년 전 가장 무서워하는 것의 모습으로 나타나 아이들을 잡아먹는 그것 페니와이즈에 맞섰던 ‘루저 클럽’ 친구들은 어른이 되어도 더 커져만 가는 그것의 공포를 끝내기 위해 피할 수 없는 마지막 대결에 나선다.,7,169,3,안드레스 무시에티
18,그랜 토리노,줄거리그랜 토리노를 훔치려던 소년\n이제 그 소년을 지켜주고 싶다...\n자동차 공장에서 은퇴한 월트 코왈스키(클린트 이스트우드)의 일상은 집을 수리하고 맥주를 마시고 매달 이발하러 가는 것이 전부다. 전쟁의 상처에 괴로워하고 M-1 소총을 손에서 놓지 못하는 남편이 참회하길 바란다는 월트 아내의 유언을 이뤄주려고 자코비치 신부가 하루가 멀게 그를 찾아오지만 월트에게 그는 그저 ‘가방 끈 긴 27살 숫총각’일 뿐. 그는 참회할 것이 아무 것도 없다며 버틴다. 그가 자신의 속내를 털어놓을 만큼 믿는 존재는 곁에 있는 애견 데이지뿐이다.\n\n이웃이라 여기던 이들은 모두 이사 가거나 죽고 지금은 몽족(Hmong) 이민자들이 살고 있다. 월트는 그들을 혐오하고 늘어진 지붕 깎지 않은 잔디 등 눈에 보이는 모든 것을 못마땅해 한다. 동네 몽족 라틴 흑인계 갱단은 툭하면 세력 다툼을 하고 장성한 자식들은 낯설고 여전히 철이 없다. 낙이 없는 월트는 죽는 날만을 기다리고 있다.\n\n어느 날 이웃집 소년 타오가 갱단의 협박으로 월트의 72년산 ‘그랜 토리노’를 훔치려 하고 차를 훔치지 못하게 하고 갱단의 싸움을 무마시킨 월트는 본의 아니게 타오의 엄마와 누나 수의 영웅이 된다. 잘못을 보상해야 한다며 월트의 일을 돕게 된 타오. 엮이고 싶지 않았던 월트는 시간이 가면서 뜻하지 않았던 우정까지 나누게 된다.\n\n타오 가족의 친절 속에서 월트는 그들을 이해하며 자기 자신과 마주하게 된다. 가혹한 과거에서 떠나온 그들과 자신이 닮아 있다는 것을 깨닫고 차고 속에 모셔두기만 했던 자신의 자동차 그랜 토리노처럼 전쟁 이후 닫아둔 자신의 진심을 드러내기 시작하는데…,3.4.7,116,2,크린트 이스트우드
19,그랜드 부다페스트 호텔,세계 최고 부호 마담 D.의 피살사건!\n범인은 전설적인 호텔 지배인이자 그녀의 연인 구스타브?!\n\n1927년 세계대전이 한창이던 어느 날 세계 최고 부호 ‘마담 D.(틸다 스윈튼)’가 ‘그랜드 부다페스트 호텔’에 다녀간 지 얼마 지나지 않아 의문의 살인을 당한다. 그녀는 유언을 통해 가문 대대로 내려오던 명화 ‘사과를 든 소년’을 전설적인 호텔 지배인이자 연인 ‘구스타브(랄프 파인즈)’ 앞으로 남긴다.\n마담 D.의 유산을 노리고 있던 그의 아들 ‘드미트리(애드리언 브로디)’는 구스타브를 졸지에 유력한 용의자로 지목하게 되고 구스타브는 충실한 호텔 로비보이 ‘제로(토리 레볼로리)’와 함께 누명을 벗기기 위한 기상천외한 모험을 시작한다.\n한편 드미트리는 그녀의 유품과 함께 ‘그랜드 부다페스트 호텔’까지 차지하기 위해 무자비한 킬러 ‘조플링(윌렘 대포)’를 고용하기에 이르는데…\n\n기상천외하고 미스터리한 사건의 세계!\n전세계가 경험할 황홀한 모험에 초대합니다!,10.12,99,3,웨스 앤더슨
20,캡틴 마블,위기에 빠진 어벤져스의 희망!\n\n1995년 공군 파일럿 시절의 기억을 잃고\n크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다.\n쉴드 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은\n지구로 향하는 더 큰 위협을 감지하고\n힘을 합쳐 전쟁을 끝내야 하는데…,1.9.12,123,2,애너 보든
21,그린 북,언제 어디서든 바른 생활! 완벽한 천재 뮤지션 ‘돈 셜리’\n원칙보다 반칙! 다혈질 운전사 ‘토니’\n취향도 성격도 완벽히 다른 두 남자의 특별한 우정이 시작된다!\n\n1962년 미국 입담과 주먹만 믿고 살아가던 토니 발레롱가(비고 모텐슨)는 교양과 우아함 그 자체인 천재 피아니스트 돈 셜리(마허샬라 알리) 박사의 운전기사 면접을 보게 된다.\n백악관에도 초청되는 등 미국 전역에서 콘서트 요청을 받으며 명성을 떨치고 있는 돈 셜리는 위험하기로 소문난 미국 남부 투어 공연을 떠나기로 결심하고 투어 기간 동안 자신의 보디가드 겸 운전기사로 토니를 고용한다.\n거친 인생을 살아온 토니 발레롱가와 교양과 기품을 지키며 살아온 돈 셜리 박사. 생각 행동 말투 취향까지 달라도 너무 다른 두 사람은 그들을 위한 여행안내서 ‘그린북’에 의존해 특별한 남부 투어를 시작하는데…,3,130,2,피터 패럴리
22,극장판 귀멸의 칼날: 무한열차 편,혈귀로 변한 여동생 ‘네즈코’를 되돌리기 위해 귀살대가 된 ‘탄지로’!\n\n어둠 속을 달리는 무한열차에서 승객들이 흔적 없이 사라진다는 소식에\n‘젠이츠’ ‘이노스케’와 함께 임무 수행을 위해 무한열차에 탑승한다.\n그리고 그곳에서 만난 귀살대 최강 검사 염주 ‘렌고쿠’!\n\n이들은 무한열차에 숨어 있는 혈귀의 존재를 직감하고\n모두를 구하기 위해 목숨을 건 혈전을 시작하는데…\n\n그 칼로 악몽을 끊어라!,2,116,3,소토자키 하루오
23,극한직업,낮에는 치킨장사! 밤에는 잠복근무!\n지금까지 이런 수사는 없었다!\n\n불철주야 달리고 구르지만 실적은 바닥 급기야 해체 위기를 맞는 마약반!\n더 이상 물러설 곳이 없는 팀의 맏형 고반장은 국제 범죄조직의 국내 마약 밀반입 정황을 포착하고 장형사 마형사 영호 재훈까지 4명의 팀원들과 함께 잠복 수사에 나선다.\n마약반은 24시간 감시를 위해 범죄조직의 아지트 앞 치킨집을 인수해 위장 창업을 하게 되고 뜻밖의 절대미각을 지닌 마형사의 숨은 재능으로 치킨집은 일약 맛집으로 입소문이 나기 시작한다.\n수사는 뒷전 치킨장사로 눈코 뜰 새 없이 바빠진 마약반에게 어느 날 절호의 기회가 찾아오는데…\n\n범인을 잡을 것인가 닭을 잡을 것인가!\n2019년 새해 출동!,5,111,3,이병헌
24,기생충,“폐 끼치고 싶진 않았어요”\n\n전원백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족.\n장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는\n모처럼 싹튼 고정수입의 희망이다.\n온 가족의 도움과 기대 속에 박사장(이선균) 집으로 향하는 기우.\n글로벌 IT기업 CEO인 박사장의 저택에 도착하자\n젊고 아름다운 사모님 연교(조여정)가 기우를 맞이한다.\n\n그러나 이렇게 시작된 두 가족의 만남 뒤로 걷잡을 수 없는 사건이 기다리고 있었으니…,3,131,3,봉준호
25,남산의 부장들,“각하 제가 어떻게 하길 원하십니까”\n\n1979년 10월 26일 중앙정보부장 김규평(이병헌)이 대한민국 대통령을 암살한다.\n\n이 사건의 40일전 미국에서는 전 중앙정보부장 박용각(곽도원)이\n청문회를 통해 전 세계에 정권의 실체를 고발하며 파란을 일으킨다.\n그를 막기 위해 중앙정보부장 김규평과 경호실장 곽상천(이희준)이 나서고\n대통령 주변에는 충성 세력과 반대 세력들이 뒤섞이기 시작하는데…\n\n흔들린 충성 그 날의 총성,3,113,3,우민호
26,너의 이름은.,아직 만난 적 없는 너를 찾고 있어\n\n천년 만에 다가오는 혜성\n기적이 시작된다\n\n도쿄에 사는 소년 ‘타키’와 시골에 사는 소녀 ‘미츠하’는\n서로의 몸이 뒤바뀌는 신기한 꿈을 꾼다\n낯선 가족 낯선 친구들 낯선 풍경들...\n반복되는 꿈과 흘러가는 시간 속 마침내 깨닫는다\n우리 서로 뒤바뀐 거야?\n\n절대 만날 리 없는 두 사람\n반드시 만나야 하는 운명이 되다\n\n서로에게 남긴 메모를 확인하며\n점점 친구가 되어가는 ‘타키’와 ‘미츠하’\n언제부턴가 더 이상 몸이 바뀌지 않자\n자신들이 특별하게 이어져있었음을 깨달은\n‘타키’는 ‘미츠하’를 만나러 가는데...\n\n잊고 싶지 않은 사람\n잊으면 안 되는 사람\n너의 이름은?,2.3.6,106,2,신카이 마코토
27,007 스카이폴,007 제임스 본드(다니엘 크레이그)의 상관 M(주디 덴치)의 과거에 얽힌 비밀이 밝혀지고 거대한 적의 공격으로부터 그가 속한 첩보기관인 MI6마저 붕괴 위기에 처하게 된다. 사상 최악의 위기에 처한 제임스 본드.\n이 모든 것을 지키기 위한 그의 최대의 임무가 시작된다.,1,143,3,샘 멘데스
28,니모를 찾아서,아기 물고기 ‘니모’가 납치됐다!\n니모를 찾기 위한 아빠의 좌충우돌 오션어드벤처!\n호기심 가득한 아기 물고기 ‘니모’가 인간에게 납치되자 아들바보 아빠 ‘말린’은 상상초월 위험이 도사리고 있는 바다로 아들을 구하기 위한 모험을 떠난다. 건망증이 심한 수다쟁이 물고기 ‘도리’와 함께 떠나는 모험에서 ‘말린’은 과연 아들을 구해낼 수 있을까?,2.5.12.13,107,1,앤드류 스탠튼
29,트랜스포머: 사라진 시대,트랜스포머의 시대는 끝났다!\n\n시카고에서 벌어진 오토봇과 디셉티콘의 전투로 인해\n수많은 사상자가 발생하고 도시가 처참하게 파괴되자\n정부는 일부 오토봇을 제외한 트랜스포머에 대해 체포령을 내린다.\n\n시카고 사태 3년 후\n대부분의 디셉티콘이 처벌되고 오토봇 역시 모습을 감춘 상황\n엔지니어 ‘케이드 예거’(마크 월버그)는 우연히 폐기 직전 고물차로 변해있던 ‘옵티머스 프라임’을 깨우게 된다.\n그리고 그의 생존이 알려지자\n‘옵티머스 프라임’을 노리고 있던 어둠의 세력 역시 모습을 드러내기 시작한다.\n\n전세계를 새로운 위협에 몰아넣을 거대한 음모\n사상 최대 가장 강력한 적에 맞서 ‘옵티머스 프라임’과 오토봇 군단은 목숨을 건 대결에 나서는데...!\n\n인류의 미래가 걸린 위기\n전 세계를 파괴로 뒤덮을 거대한 전투가 펼쳐진다!,1.9.12,164,2,마이클 베이
30,다크 나이트,마침내 최강의 적을 만나다\n\n이 도시에 정의는 죽었다! 범죄와 부정부패를 제거하여 고담시를 지키려는 배트맨(크리스찬 베일). 그는 짐 고든 형사(게리 올드만)와 패기 넘치는 고담시 지방 검사 하비 덴트(아론 에크하트)와 함께 도시를 범죄 조직으로부터 영원히 구원하고자 한다.\n\n배트맨을 죽여라! 세 명의 의기투합으로 위기에 처한 악당들이 모인 자리에 보라색 양복을 입고 얼굴에 짙게 화장을 한 괴이한 존재가 나타나 ‘배트맨을 죽이자’는 사상 초유의 제안을 한다. 그는 바로 어떠한 룰도 목적도 없는 사상 최악의 악당 미치광이 살인광대 ‘조커’(히스 레저).\n\n마침내 최강의 적을 만나다! 배트맨을 죽이고 고담시를 끝장내버리기 위한 조커의 광기 어린 행각에 도시는 혼란에 빠진다. 조커는 배트맨이 가면을 벗고 정체를 밝히지 않으면 멈추지 않겠다며 점점 배트맨을 조여온다. 한편 배트맨은 낮엔 기업의 회장으로 밤에는 가면을 쓴 배트맨으로 밤과 낮의 정체가 다른 자신과 달리 법을 통해 도시를 구원하는 하비 덴트야말로 진정한 영웅이 아닐까 생각하게 된다.\n\n밤의 기사 그 전설의 서막이 열린다! 조커를 막기 위해 직접 나서 영원히 존재를 감춘 밤의 기사가 될 것인가. 하비 덴트에게 모든 걸 맡기고 이제 가면을 벗고 이중 생활의 막을 내릴 것인가. 갈림길에 선 그는 행동에 나서야만 하는데… 사상 최강 운명을 건 대결은 이제부터 시작이다!,1.3.4.10,152,3,크리스토퍼 놀란
31,다크 나이트 라이즈,배트맨’ vs. ‘베인’ 운명을 건 최후의 전투\n\n다크 나이트 신화의 전설이 끝난다\n\n\n\n배트맨이 조커와의 대결을 끝으로 세상에서 모습을 감춘 8년 후\n\n평화가 지속되던 고담시의 파멸을 예고하며 최강의 적 베인이 등장한다.\n\n자신을 거부한 사람들의 고통을 지켜볼 것인가 정의의 수호자로 나설 것인가.\n\n배트맨은 승패를 알 수 없는 마지막 전투를 시작하려 하는데…,1.4.7,164,3,크리스토퍼 놀란
32,닥터 스트레인지: 대혼돈의 멀티버스,지금껏 본 적 없는 마블의 극한 상상력!\n5월 광기의 멀티버스가 깨어난다!\n\n끝없이 균열되는 차원과 뒤엉킨 시공간의 멀티버스가 열리며\n오랜 동료들 그리고 차원을 넘어 들어온 새로운 존재들을 맞닥뜨리게 된 ‘닥터 스트레인지’.\n대혼돈 속 그는 예상치 못한 극한의 적과 맞서 싸워야만 하는데….,1.11.12,126,2,셈 레이미
33,닥터 스트레인지러브,미 공군의 잭 리퍼 장군(General Jack D. Ripper: 스터링 하이든 분)은 공산주의자들이 미국인의 ‘신성한 혈통’을 오염시킬 음모를 꾸미고 있다는 망상에 사로잡혀 핵폭격기를 출격시킨다. 미국 대통령은 절대절명의 위기를 해결 하기 위해 자문회를 소집하는데 그 자리에서 소련 대사는 만일 소련이 핵공격을 당한다면 지구상의 모든 동식물이 파멸되는 ‘운명의 날’이 다가오게 될 것이라고 경고한다. 피터 셀러스는 이 비극을 막을 수 있는 세 인물의 역할을 맡고 있다. 셀러스는 1인 3역으로 머킨 머플리 대통령(President Merkin Muffley) 발광한 리퍼 장군의 부관인 영국 공군 대위 라이오넬 맨드레이크(Group Capt. Lionel Mandrake) 전 나치주의자였던 천재 과학자 스트레인지러브 박사(Dr. Strangelove)로 등장한다. 영화 속에서 스트레인지 러브 박사는 핵무기에 지구의 운명이 달려있다는 사실이 너무 명백하므로 핵무기로 상황을 대응할 수 없다는 결론을 내린다. 과연 폭격기는 제 시간에 제거될 수 있을 것인가? 아니면 잭 리퍼 장군이 전세계를 파멸시키는데 성공 할 것인가?,3.5,96,3,스탠리 큐브릭
34,당갈,“남자든 여자든 금메달은 금메달인데!”\n누구도 예상하지 못한 감동의 명승부!\n전직 레슬링 선수였던 ‘마하비르 싱 포갓(아미르 칸)’은 아버지의 반대로 금메달의 꿈을 이루지 못한 채 레슬링을 포기한다. 아들을 통해 꿈을 이루겠다는 생각은 내리 딸만 넷이 태어나면서 좌절된다. 그러던 어느 날 두 딸이 또래 남자아이들을 신나게 때린 모습에서 잠재력을 발견하고 레슬링 특훈에 돌입한다. 사람들의 따가운 시선과 조롱에도 불구하고 첫째 기타(파티마 사나 셰이크)와 둘째 바비타(산야 말호트라)는 아버지의 훈련 속에 재능을 발휘 승승장구 승리를 거두며 국가대표 레슬러로까지 성장해 마침내 국제대회에 출전하는데...,1.3,106,2,나테쉬 티와리
35,더 배트맨,영웅이 될 것인가 악당이 될 것인가\n운명을 결정할 선택만이 남았다\n\n지난 2년간 고담시의 어둠 속에서 범법자들을 응징하며 배트맨으로 살아온 브루스 웨인.\n알프레드와 제임스 고든 경위의 도움 아래 도시의 부패한 공직자들과 고위 관료들 사이에서 복수의 화신으로 활약한다.\n고담의 시장 선거를 앞두고 고담의 엘리트 집단을 목표로 잔악한 연쇄살인을 저지르는 수수께끼 킬러 리들러가 나타나자\n최고의 탐정 브루스 웨인이 수사에 나서고 남겨진 단서를 풀어가며 캣우먼 펭귄 카마인 팔코네 리들러를 차례대로 만난다.\n사이코 범인의 미스터리를 수사하면서 그 모든 증거가 자신을 향한 의도적인 메시지였음을 깨닫고\n리들러에게 농락 당한 배트맨은 광기에 사로잡힌다.\n범인의 무자비한 계획을 막고 오랫동안 고담시를 썩게 만든 권력 부패의 고리를 끊어야 하지만\n부모님의 죽음에 얽힌 진실이 밝혀지자 복수와 정의 사이에서 갈등한다.\n선과 악 빛과 어둠 영웅과 악당 정의와 복수... 무엇을 선택할 것인가,1.3.4,176,3,맷 리브스
