번호	회원	매물	임대 시작일	임대 종료일	상태
295	8	210	2021-07-07		
296	20	484	2021-02-08		
297	13	383	2021-03-24		
298	20	102	2019-08-26		
299	28	36	2020-01-16		
300	13	404	2021-02-06		
301	3	15	2019-09-30		
302	27	409	2020-03-12		
303	18	481	2019-08-18		
304	2	18	2019-09-27		
305	30	29	2020-12-10		
306	7	178	2021-03-11		
307	30	38	2020-04-13		
308	28	8	2019-10-23		
309	10	462	2020-01-03		
310	29	208	2020-08-12		
311	29	121	2019-12-27		
312	26	344	2020-09-20		
313	12	263	2019-11-25		
314	7	160	2019-11-04		
315	27	98	2020-08-24		
316	30	96	2020-07-31		
317	8	108	2020-12-28		
318	29	101	2020-03-01		
319	26	476	2020-11-14		
320	27	353	2020-07-13		
321	18	319	2020-05-13		
322	8	310	2019-09-27		
323	11	385	2019-07-18		
324	15	477	2020-03-29		
325	24	384	2020-08-02		
326	29	58	2020-07-03		
327	22	215	2019-11-21		
328	12	33	2020-09-01		
329	12	180	2019-10-17		
330	13	202	2020-02-04		
331	17	283	2020-08-12		
332	7	425	2021-03-14		
333	24	169	2019-11-30		
334	21	272	2019-11-05		
335	20	129	2019-11-16		
336	14	351	2020-12-04		
337	28	69	2020-12-04		
338	24	401	2019-08-12		
339	22	170	2019-12-09		
340	8	87	2019-08-05		
341	23	25	2020-02-10		
342	9	185	2019-09-14		
343	30	306	2020-04-29		
344	20	490	2020-10-08		
345	7	259	2020-04-26		
346	2	251	2020-04-08		
347	14	142	2020-10-06		
348	6	46	2020-07-08		
349	7	176	2020-09-12		
350	16	219	2020-08-18		
351	23	68	2019-10-20		
352	11	473	2020-08-21		
353	14	269	2020-04-14		
354	25	173	2019-12-08		
355	9	468	2019-08-14		
356	25	190	2020-01-07		
357	11	493	2020-03-11		
358	15	277	2020-09-21		
359	7	455	2021-02-21		
360	11	445	2020-06-08		
361	10	280	2022-04-13		
362	7	443	2019-11-06		
363	8	216	2019-10-22		
364	18	91	2019-12-23		
365	11	458	2021-03-04		
366	2	2	2020-12-19		
367	9	469	2020-10-11		
368	12	364	2019-09-03		
369	20	43	2020-06-01		
370	15	95	2019-11-21		
371	12	290	2019-09-12		
372	2	436	2020-06-09		
373	1	370	2020-06-06		
374	10	349	2020-12-22		
375	4	323	2020-11-14		
376	14	357	2020-02-14		
377	10	355	2020-08-18		
378	9	408	2020-02-07		
379	2	199	2019-10-16		
380	13	136	2019-07-07		
381	7	411	2020-09-18		
382	6	415	2018-05-10		
383	16	324	2020-07-10		
384	17	287	2019-09-16		
385	12	347	2019-11-29		
386	10	367	2019-10-24		
387	20	257	2019-12-03		
388	2	373	2020-03-23		
389	13	335	2020-03-06		
390	25	304	2020-01-10		
391	18	242	2020-01-29		
392	2	390	2019-09-18		
393	10	308	2019-12-17		
394	24	66	2019-11-19		
395	2	460	2019-09-18		
396	29	423	2020-02-17		
397	4	139	2020-11-19		
398	4	152	2019-08-01		
399	2	421	2020-03-08		
400	6	274	2019-12-15		
401	25	5	2019-12-31		
402	29	194	2019-10-06		
403	3	81	2020-03-07		
404	7	128	2019-09-17		
405	14	480	2020-02-06		
406	8	41	2019-09-23		
407	26	149	2020-06-24		
408	19	77	2019-09-17		
409	15	338	2020-01-14		
410	18	84	2021-04-06		
411	23	498	2020-01-18		
412	20	330	2019-05-28		
413	17	451	2019-11-20		
414	6	470	2020-11-02		
415	21	153	2020-01-01		
416	26	474	2020-01-31		
417	8	135	2020-01-09		
418	12	420	2020-04-09		
419	16	75	2020-11-22		
420	5	461	2019-10-01		
421	8	418	2021-04-07		
422	4	171	2019-11-16		
423	11	172	2019-09-27		
424	26	212	2019-11-06		
425	25	312	2020-03-22		
426	22	366	2020-01-21		
427	28	181	2020-02-08		
428	8	346	2019-10-17		
429	11	396	2020-02-17		
430	2	241	2020-08-14		
431	14	258	2020-02-08		
432	11	399	2019-10-13		
433	9	424	2020-08-06		
434	22	361	2018-12-29		
435	18	53	2019-12-31		
436	21	74	2020-04-20		
437	8	483	2019-08-07		
438	7	88	2019-12-21		
439	23	99	2020-03-26		
440	24	245	2021-05-18		
441	16	437	2019-11-01		
442	17	262	2020-07-24		
443	18	105	2021-01-02		
444	23	497	2019-07-02		
446	19	442	2019-12-04		
447	22	416	2019-12-14		
448	22	441	2020-04-05		
449	23	126	2020-07-24		
450	1	79	2022-04-05		
451	2	4	2022-06-03		
