sc_no	t_no	m_no	p_no	sc_theater	sc_date	sc_time
48	4	10	1	8관	 2022-08-30	20:45
49	4	9	1	7관	 2022-08-30	23:50
50	4	11	1	9관	 2022-08-30	20:00
51	4	32	1	8관	 2022-08-30	23:00
52	4	34	1	9관	 2022-08-30	22:25
53	38	1	1	1관	 2022-08-30	20:40
54	38	1	1	3관	 2022-08-30	21:50
55	38	1	1	5관	 2022-08-30	21:15
56	38	1	1	6관	 2022-08-30	19:40
57	38	1	1	6관	 2022-08-30	22:20
58	38	1	1	7관	 2022-08-30	20:00
59	38	1	1	7관	 2022-08-30	22:50
60	38	2	1	2관	 2022-08-30	22:10
61	38	9	1	8관	 2022-08-30	20:30
62	38	8	1	4관	 2022-08-30	21:20
63	39	1	1	1관	 2022-08-30	19:50
64	39	1	1	4관	 2022-08-30	21:00
65	39	1	1	5관	 2022-08-30	20:20
66	39	2	1	3관	 2022-08-30	21:35
67	39	9	1	6관	 2022-08-30	20:40
68	40	1	5	6관	 2022-08-30	21:20
69	40	1	1	3관	 2022-08-30	19:55
70	40	1	1	3관	 2022-08-30	22:30
71	40	1	1	4관	 2022-08-30	20:20
72	40	1	1	4관	 2022-08-30	22:55
73	40	1	1	5관	 2022-08-30	20:45
74	40	1	1	7관	 2022-08-30	21:40
75	40	3	1	8관	 2022-08-30	21:30
76	40	10	1	1관	 2022-08-30	22:05
77	40	9	1	2관	 2022-08-30	21:20
78	61	1	1	2관	 2022-08-30	19:45
79	61	1	1	4관	 2022-08-30	21:00
80	61	1	1	5관	 2022-08-30	20:20
81	61	2	1	1관	 2022-08-30	20:20
82	62	6	1	3관	 2022-08-30	20:10
83	62	7	1	5관	 2022-08-30	20:00
84	62	29	1	2관	 2022-08-30	20:50
85	62	17	1	4관	 2022-08-30	20:00
86	63	1	5	3관	 2022-08-30	21:15
87	63	1	1	1관	 2022-08-30	20:35
88	63	1	1	4관	 2022-08-30	20:10
89	63	1	1	4관	 2022-08-30	22:45
90	63	1	1	5관	 2022-08-30	19:45
91	63	1	1	5관	 2022-08-30	22:20
92	63	1	1	7관	 2022-08-30	21:55
93	63	3	1	6관	 2022-08-30	21:25
94	63	10	1	8관	 2022-08-30	21:20
95	63	9	1	2관	 2022-08-30	21:35
96	64	1	1	1관	 2022-08-30	19:45
97	64	1	1	2관	 2022-08-30	21:00
98	64	1	1	3관	 2022-08-30	21:20
99	64	1	1	4관	 2022-08-30	21:40
100	64	1	1	5관	 2022-08-30	20:20
101	64	1	1	6관	 2022-08-30	21:15
102	68	1	3	4DX	 2022-08-30	21:40
103	68	1	1	3관	 2022-08-30	19:40
104	68	1	1	3관	 2022-08-30	22:20
105	68	1	1	4관	 2022-08-30	22:00
106	68	1	1	5관	 2022-08-30	20:10
107	68	1	1	5관	 2022-08-30	23:00
108	68	1	1	6관	 2022-08-30	21:20
109	68	1	1	7관	 2022-08-30	20:50
110	68	3	1	2관	 2022-08-30	21:00
111	69	1	1	1관	 2022-08-30	21:50
112	69	1	1	4관	 2022-08-30	22:40
113	69	1	1	5관	 2022-08-30	20:30
114	69	1	1	5관	 2022-08-30	23:10
115	69	1	1	7관	 2022-08-30	20:55
116	69	1	1	7관	 2022-08-30	23:35
117	69	1	1	9관	 2022-08-30	21:20
118	69	1	1	9관	 2022-08-30	24:00
119	69	2	1	2관	 2022-08-30	23:45
120	69	3	1	2관	 2022-08-30	21:05
121	69	4	1	8관	 2022-08-30	20:50
122	69	10	1	6관	 2022-08-30	21:30
123	69	10	1	6관	 2022-08-30	23:50
124	69	9	1	8관	 2022-08-30	23:00
125	69	32	1	3관	 2022-08-30	22:15
126	80	1	5	5관	 2022-08-30	21:20
127	80	1	3	4DX	 2022-08-30	23:00
128	80	1	1	1관	 2022-08-30	22:50
129	80	1	1	6관	 2022-08-30	20:50
130	80	1	1	7관	 2022-08-30	22:00
131	80	3	1	3관	 2022-08-30	22:30
132	80	9	1	4관	 2022-08-30	22:00
133	81	1	1	1관	 2022-08-30	21:20
134	81	1	1	4관	 2022-08-30	20:40
135	81	1	1	4관	 2022-08-30	23:15
136	81	1	1	5관	 2022-08-30	21:55
137	81	1	1	2관	 2022-08-30	22:35
138	81	2	1	3관	 2022-08-30	22:05
139	82	1	5	1관	 2022-08-30	21:10
140	82	1	3	4DX	 2022-08-30	21:40
141	82	1	1	3관	 2022-08-30	20:40
142	82	1	1	4관	 2022-08-30	22:40
143	82	1	1	8관	 2022-08-30	22:10
144	82	2	5	1관	 2022-08-30	21:50
145	82	10	1	6관	 2022-08-30	22:00
146	82	9	1	2관	 2022-08-30	21:30
147	83	1	1	3관	 2022-08-30	22:55
148	83	1	1	4관	 2022-08-30	20:50
149	83	1	1	6관	 2022-08-30	21:20
150	83	2	1	2관	 2022-08-30	21:55
151	83	5	1	8관	 2022-08-30	22:00
152	83	10	1	5관	 2022-08-30	21:25
153	83	9	1	1관	 2022-08-30	21:20
154	84	1	5	4관	 2022-08-30	21:15
155	84	8	1	1관	 2022-08-30	21:55
156	84	1	3	4DX	 2022-08-30	22:40
157	84	1	1	1관	 2022-08-30	21:55
158	84	1	1	2관	 2022-08-30	20:40
159	84	1	1	3관	 2022-08-30	21:35
160	84	1	1	5관	 2022-08-30	23:00
161	84	2	1	7관	 2022-08-30	22:05
162	84	4	1	8관	 2022-08-30	21:45
163	84	6	1	10관	 2022-08-30	21:40
164	84	10	1	9관	 2022-08-30	21:20
165	102	1	1	5관	 2022-08-30	22:30
166	102	1	1	5관	 2022-08-30	21:50
167	102	1	1	2관	 2022-08-30	21:20
168	102	1	1	3관	 2022-08-30	22:25
169	102	1	1	4관	 2022-08-30	20:40
170	102	6	1	2관	 2022-08-30	20:40
171	102	7	1	2관	 2022-08-30	22:50
172	102	13	1	1관	 2022-08-30	20:40
173	102	29	1	1관	 2022-08-30	22:50
174	103	1	5	9관	 2022-08-30	22:20
175	103	1	4	8관	 2022-08-30	22:30
176	103	1	3	4DX	 2022-08-30	21:10
177	103	1	4	3관	 2022-08-30	20:40
178	103	1	4	3관	 2022-08-30	23:20
179	103	2	4	1관	 2022-08-30	20:45
180	103	6	4	5관	 2022-08-30	22:40
181	103	9	4	2관	 2022-08-30	21:50
182	104	1	1	9관	 2022-08-30	22:05
183	104	1	3	4DX	 2022-08-30	22:30
184	104	1	1	4관	 2022-08-30	21:55
185	104	1	1	6관	 2022-08-30	23:00
186	104	9	1	5관	 2022-08-30	22:50
187	105	1	5	6관	 2022-08-30	21:40
188	105	1	1	2관	 2022-08-30	22:20
189	105	1	3	4DX	 2022-08-30	22:40
190	105	1	1	10관	 2022-08-30	21:50
191	105	1	1	1관	 2022-08-30	21:20
192	105	1	1	1관	 2022-08-30	24:00
193	105	1	1	3관	 2022-08-30	23:20
194	105	1	1	4관	 2022-08-30	23:00
195	105	1	1	5관	 2022-08-30	22:00
196	105	2	1	8관	 2022-08-30	23:45
197	105	2	1	9관	 2022-08-30	21:45
198	105	3	1	9관	 2022-08-30	23:35
199	105	8	1	7관	 2022-08-30	22:55
200	106	1	1	3관	 2022-08-30	23:50
201	106	1	5	4관	 2022-08-30	22:00
202	106	1	5	4관	 2022-08-30	24:40
203	106	1	3	4DX	 2022-08-30	21:40
204	106	1	3	4DX	 2022-08-30	24:20
205	106	1	1	10관	 2022-08-30	22:40
206	106	1	2	IMAX	 2022-08-30	23:40
207	106	1	1	3관	 2022-08-30	22:20
208	106	1	1	3관	 2022-08-30	25:00
209	106	1	1	3관	 2022-08-30	23:10
210	106	1	1	3관	 2022-08-30	21:20
211	106	1	1	3관	 2022-08-30	24:00
212	106	3	1	2관	 2022-08-30	21:20
213	106	9	1	2관	 2022-08-30	23:55
214	106	10	1	1관	 2022-08-30	22:10
215	106	8	1	1관	 2022-08-30	24:30
216	107	1	7	SKYBO	 2022-08-30	22:00
217	107	1	7	SKYBO	 2022-08-30	24:40
218	107	1	7	SKYBO	 2022-08-30	22:00
219	107	1	7	SKYBO	 2022-08-30	24:40
220	107	1	5	14관	 2022-08-30	23:40
221	107	1	1	19관	 2022-08-30	22:50
222	107	1	1	17관	 2022-08-30	23:10
223	107	1	3	4DX	 2022-08-30	23:20
224	107	1	1	17관	 2022-08-30	21:50
225	107	1	1	20관	 2022-08-30	23:30
226	107	1	2	IMAX	 2022-08-30	23:00
227	107	1	2	IMAX	 2022-08-30	25:40
228	107	1	6	1관	 2022-08-30	21:20
229	107	1	6	1관	 2022-08-30	24:00
230	107	1	1	4관	 2022-08-30	22:00
231	107	1	1	4관	 2022-08-30	24:40
232	107	1	1	5관	 2022-08-30	21:05
233	107	1	1	11관	 2022-08-30	21:40
234	107	1	1	11관	 2022-08-30	24:20
235	107	1	1	12관	 2022-08-30	22:50
236	107	1	1	12관	 2022-08-30	25:30
237	107	1	1	13관	 2022-08-30	22:20
238	107	1	1	15관	 2022-08-30	22:35
239	107	1	1	15관	 2022-08-30	25:15
240	107	1	1	17관	 2022-08-30	23:10
241	107	2	1	2관	 2022-08-30	24:25
242	107	2	1	5관	 2022-08-30	23:45
243	107	3	1	2관	 2022-08-30	21:50
244	107	9	1	16관	 2022-08-30	23:40
245	107	7	1	10관	 2022-08-30	22:45
246	107	10	1	6관	 2022-08-30	22:30
247	107	9	1	18관	 2022-08-30	22:00
248	107	12	1	7관	 2022-08-30	22:05
249	107	41	1	16관	 2022-08-30	21:40
250	107	32	1	6관	 2022-08-30	24:50
251	107	34	1	18관	 2022-08-30	24:30
252	142	1	5	2관	 2022-08-30	22:10
253	142	1	3	4DX	 2022-08-30	21:10
254	142	1	1	4관	 2022-08-30	21:40
255	142	1	1	5관	 2022-08-30	22:40
256	142	2	1	1관	 2022-08-30	22:30
257	142	9	1	6관	 2022-08-30	22:40
258	155	1	5	2관	 2022-08-30	21:50
259	155	1	5	2관	 2022-08-30	24:30
260	155	1	1	5관	 2022-08-30	21:20
261	155	17	1	5관	 2022-08-30	24:00
262	155	1	2	IMAX	 2022-08-30	22:20
263	155	1	2	IMAX	 2022-08-30	25:00
264	155	1	1	3관	 2022-08-30	23:20
265	155	1	1	4관	 2022-08-30	22:50
266	155	10	1	1관	 2022-08-30	22:40
267	156	1	1	2관	 2022-08-30	21:20
268	156	1	1	3관	 2022-08-30	21:50
269	156	1	9	SWEET	 2022-08-30	21:50
270	174	1	1	1관	 2022-08-30	22:00
271	174	1	1	3관	 2022-08-30	22:30
272	174	1	1	6관	 2022-08-30	23:00
273	184	22	1	1관	 2022-08-30	11:05
274	184	22	1	1관	 2022-08-30	13:20
275	184	22	1	1관	 2022-08-30	15:35
276	184	22	1	1관	 2022-08-30	17:50
277	184	22	1	1관	 2022-08-30	20:05
278	184	22	1	2관	 2022-08-30	20:35
279	184	22	1	3관	 2022-08-30	10:00
280	184	22	1	3관	 2022-08-30	12:15
281	184	22	1	3관	 2022-08-30	14:30
282	184	22	1	3관	 2022-08-30	16:45
283	184	22	1	3관	 2022-08-30	19:00
284	184	22	1	3관	 2022-08-30	21:15
285	184	1	1	2관	 2022-08-30	10:00
286	184	1	1	2관	 2022-08-30	12:35
287	184	1	1	2관	 2022-08-30	15:10
288	184	1	1	2관	 2022-08-30	17:45
289	184	4	1	4관	 2022-08-30	10:30
290	184	4	1	4관	 2022-08-30	12:35
291	184	4	1	4관	 2022-08-30	14:40
292	184	4	1	4관	 2022-08-30	16:45
293	184	4	1	4관	 2022-08-30	18:50
294	184	4	1	4관	 2022-08-30	20:55
295	184	4	1	4관	 2022-08-30	10:30
296	184	4	1	4관	 2022-08-30	12:35
297	184	4	1	4관	 2022-08-30	14:40
298	184	4	1	4관	 2022-08-30	16:45
299	184	4	1	4관	 2022-08-30	18:50
300	184	4	1	4관	 2022-08-30	20:55
301	185	1	5	1관	 2022-08-30	22:40
302	185	1	1	3관	 2022-08-30	21:55
303	185	1	1	5관	 2022-08-30	23:00
304	185	2	1	4관	 2022-08-30	22:40
305	5	1	1	3관	 2022-08-30	21:50
306	5	1	1	5관	 2022-08-30	21:35
307	5	2	1	8관	 2022-08-30	22:00
308	6	1	1	5관	 2022-08-30	21:40
309	6	1	1	6관	 2022-08-30	22:40
310	6	9	1	3관	 2022-08-30	22:20
311	6	10	1	4관	 2022-08-30	22:10
312	7	1	3	4DX	 2022-08-30	23:30
313	7	1	2	IMAX	 2022-08-30	22:20
314	7	1	2	IMAX	 2022-08-30	25:00
315	7	1	1	1관	 2022-08-30	22:55
316	7	1	1	3관	 2022-08-30	24:00
317	7	9	1	4관	 2022-08-30	21:50
318	7	9	1	4관	 2022-08-30	24:40
319	7	10	1	2관	 2022-08-30	23:00
320	8	22	1	1관	 2022-08-30	18:50
321	8	22	1	2관	 2022-08-30	10:30
322	8	22	1	2관	 2022-08-30	12:45
323	8	22	1	2관	 2022-08-30	15:00
324	8	22	1	2관	 2022-08-30	17:15
325	8	22	1	2관	 2022-08-30	19:30
326	8	22	1	2관	 2022-08-30	21:45
327	8	22	1	3관	 2022-08-30	11:30
328	8	22	1	3관	 2022-08-30	13:45
329	8	22	1	3관	 2022-08-30	16:00
330	8	22	1	3관	 2022-08-30	18:15
331	8	22	1	3관	 2022-08-30	20:30
332	8	1	1	4관	 2022-08-30	11:00
333	8	1	1	4관	 2022-08-30	13:35
334	8	1	1	4관	 2022-08-30	16:15
335	8	1	1	4관	 2022-08-30	18:50
336	8	1	1	4관	 2022-08-30	21:30
337	8	3	1	1관	 2022-08-30	13:15
338	8	3	1	1관	 2022-08-30	21:05
339	8	4	1	1관	 2022-08-30	15:50
340	8	9	1	1관	 2022-08-30	10:30
341	9	1	1	5관	 2022-08-30	22:10
342	10	1	1	2관	 2022-08-30	22:20
343	10	1	1	4관	 2022-08-30	22:50
344	10	9	1	3관	 2022-08-30	22:20
345	11	22	1	1관	 2022-08-30	10:00
346	11	22	1	1관	 2022-08-30	12:10
347	11	22	1	1관	 2022-08-30	14:20
348	11	22	1	1관	 2022-08-30	16:30
349	11	22	1	1관	 2022-08-30	18:40
350	11	22	1	1관	 2022-08-30	20:50
351	11	22	1	1관	 2022-08-30	23:00
352	11	22	1	3관	 2022-08-30	10:30
353	11	22	1	3관	 2022-08-30	12:40
354	11	22	1	3관	 2022-08-30	14:50
355	11	22	1	3관	 2022-08-30	17:00
356	11	22	1	3관	 2022-08-30	19:10
357	11	22	1	3관	 2022-08-30	21:20
358	11	22	1	4관	 2022-08-30	20:20
359	11	22	1	4관	 2022-08-30	22:30
360	11	22	1	6관	 2022-08-30	09:00
361	11	22	1	6관	 2022-08-30	11:10
362	11	22	1	6관	 2022-08-30	13:20
363	11	22	1	6관	 2022-08-30	15:30
364	11	22	1	6관	 2022-08-30	17:40
365	11	22	1	6관	 2022-08-30	19:50
366	11	22	1	6관	 2022-08-30	22:00
367	11	1	1	2관	 2022-08-30	10:20
368	11	1	1	2관	 2022-08-30	12:50
369	11	1	1	2관	 2022-08-30	15:20
370	11	1	1	2관	 2022-08-30	17:50
371	11	1	1	2관	 2022-08-30	20:20
372	11	1	1	2관	 2022-08-30	22:50
373	11	1	1	5관	 2022-08-30	09:15
374	11	1	1	5관	 2022-08-30	11:45
375	11	1	1	5관	 2022-08-30	14:15
376	11	1	1	5관	 2022-08-30	16:45
377	11	1	1	5관	 2022-08-30	19:15
378	11	1	1	5관	 2022-08-30	21:45
379	11	3	1	4관	 2022-08-30	09:50
380	11	4	1	4관	 2022-08-30	15:10
381	11	9	1	4관	 2022-08-30	12:20
382	11	9	1	4관	 2022-08-30	17:30
383	12	1	1	4관	 2022-08-30	22:25
384	13	1	1	3관	 2022-08-30	22:25
385	14	22	1	1관	 2022-08-30	10:10
386	14	22	1	1관	 2022-08-30	12:10
387	14	22	1	1관	 2022-08-30	14:30
388	14	22	1	1관	 2022-08-30	16:40
389	14	22	1	1관	 2022-08-30	18:50
390	14	30	1	1관	 2022-08-30	21:00
391	14	22	1	1관	 2022-08-30	23:10
392	14	22	1	2관	 2022-08-30	08:40
393	14	22	1	2관	 2022-08-30	10:50
394	14	22	1	2관	 2022-08-30	13:00
395	14	22	1	2관	 2022-08-30	15:10
396	14	22	1	2관	 2022-08-30	17:20
397	14	22	1	2관	 2022-08-30	19:30
398	14	22	1	2관	 2022-08-30	21:40
399	14	22	1	3관	 2022-08-30	09:30
400	14	22	1	3관	 2022-08-30	11:40
401	14	22	1	3관	 2022-08-30	13:50
402	14	22	1	3관	 2022-08-30	16:00
403	14	22	1	3관	 2022-08-30	18:10
404	14	22	1	3관	 2022-08-30	20:20
405	14	22	1	3관	 2022-08-30	22:30
406	14	1	1	4관	 2022-08-30	09:40
407	14	1	1	4관	 2022-08-30	12:10
408	14	1	1	4관	 2022-08-30	14:40
409	14	1	1	4관	 2022-08-30	17:10
410	14	1	1	4관	 2022-08-30	19:40
411	14	1	1	4관	 2022-08-30	22:10
412	41	18	1	1관	 2022-08-30	23:00
413	41	1	1	3관	 2022-08-30	22:20
414	41	9	1	2관	 2022-08-30	22:40
415	41	10	1	6관	 2022-08-30	22:30
416	42	1	1	1관	 2022-08-30	23:35
417	42	1	3	4DX	 2022-08-30	23:20
418	42	1	1	2관	 2022-08-30	23:50
419	42	1	1	7관	 2022-08-30	22:10
420	42	9	1	3관	 2022-08-30	22:45
421	42	9	1	6관	 2022-08-30	23:50
422	42	8	1	8관	 2022-08-30	22:55
423	43	1	5	6관	 2022-08-30	23:00
424	43	1	1	1관	 2022-08-30	24:30
425	43	1	1	3관	 2022-08-30	23:45
426	43	1	1	5관	 2022-08-30	22:20
427	43	2	1	8관	 2022-08-30	22:45
428	43	9	1	2관	 2022-08-30	24:05
429	43	10	1	4관	 2022-08-30	23:10
430	43	8	1	8관	 2022-08-30	24:35
431	44	1	5	1관	 2022-08-30	22:05
432	44	1	1	2관	 2022-08-30	23:30
433	44	1	1	3관	 2022-08-30	22:50
434	44	3	1	5관	 2022-08-30	22:50
435	44	9	1	6관	 2022-08-30	23:30
436	45	1	1	2관	 2022-08-30	22:20
437	45	1	1	5관	 2022-08-30	23:30
438	45	1	1	6관	 2022-08-30	23:00
439	45	9	1	1관	 2022-08-30	22:35
440	70	1	1	1관	 2022-08-30	22:25
441	71	1	1	1관	 2022-08-30	22:30
442	71	1	1	2관	 2022-08-30	23:30
443	71	1	1	4관	 2022-08-30	23:00
444	71	2	1	3관	 2022-08-30	22:35
445	71	10	1	6관	 2022-08-30	22:45
446	72	1	3	4DX	 2022-08-30	23:20
447	72	1	1	4관	 2022-08-30	23:30
448	72	1	1	6관	 2022-08-30	22:50
449	72	2	1	7관	 2022-08-30	23:20
450	73	1	1	3관	 2022-08-30	23:30
451	73	1	1	6관	 2022-08-30	22:55
452	73	10	1	5관	 2022-08-30	23:00
453	74	2	1	5관	 2022-08-30	22:40
454	75	1	1	8관	 2022-08-30	23:00
455	75	3	1	4관	 2022-08-30	23:00
456	75	8	1	2관	 2022-08-30	23:00
457	85	22	1	1관	 2022-08-30	11:00
458	85	22	1	1관	 2022-08-30	19:30
459	85	22	1	2관	 2022-08-30	09:50
460	85	22	1	2관	 2022-08-30	12:10
461	85	22	1	2관	 2022-08-30	14:30
462	85	22	1	2관	 2022-08-30	16:50
463	85	22	1	2관	 2022-08-30	19:10
464	85	22	1	2관	 2022-08-30	21:30
465	85	22	1	3관	 2022-08-30	13:45
466	85	22	1	3관	 2022-08-30	16:05
467	85	22	1	3관	 2022-08-30	18:25
468	85	22	1	3관	 2022-08-30	20:45
469	85	22	1	5관	 2022-08-30	10:40
470	85	22	1	5관	 2022-08-30	13:00
471	85	22	1	5관	 2022-08-30	15:20
472	85	22	1	5관	 2022-08-30	17:40
473	85	22	1	5관	 2022-08-30	20:00
474	85	1	1	4관	 2022-08-30	11:00
475	85	1	1	4관	 2022-08-30	13:35
476	85	1	1	4관	 2022-08-30	16:10
477	85	1	1	4관	 2022-08-30	18:45
478	85	1	1	4관	 2022-08-30	21:20
479	85	1	1	6관	 2022-08-30	10:00
480	85	1	1	6관	 2022-08-30	14:55
481	85	1	1	6관	 2022-08-30	19:55
482	85	2	1	1관	 2022-08-30	17:40
483	85	2	1	1관	 2022-08-30	21:45
484	85	4	1	1관	 2022-08-30	13:15
485	85	4	1	1관	 2022-08-30	15:30
486	85	9	1	3관	 2022-08-30	10:50
487	85	10	1	6관	 2022-08-30	17:30
488	85	8	1	6관	 2022-08-30	12:35
489	86	22	1	2관	 2022-08-30	10:00
490	86	22	1	2관	 2022-08-30	12:15
491	86	22	1	2관	 2022-08-30	14:30
492	86	22	1	2관	 2022-08-30	16:45
493	86	22	1	2관	 2022-08-30	19:00
494	86	22	1	2관	 2022-08-30	21:15
495	86	22	1	3관	 2022-08-30	09:00
496	86	22	1	3관	 2022-08-30	11:15
497	86	22	1	3관	 2022-08-30	13:30
498	86	22	1	3관	 2022-08-30	15:45
499	86	22	1	3관	 2022-08-30	18:00
500	86	22	1	3관	 2022-08-30	20:15
501	86	22	1	3관	 2022-08-30	22:30
502	86	22	1	4관	 2022-08-30	12:45
503	86	22	1	4관	 2022-08-30	15:00
504	86	22	1	4관	 2022-08-30	17:20
505	86	22	1	4관	 2022-08-30	19:35
506	86	22	1	4관	 2022-08-30	21:55
507	86	1	1	1관	 2022-08-30	09:30
508	86	1	1	1관	 2022-08-30	12:05
509	86	1	1	1관	 2022-08-30	14:40
510	86	1	1	1관	 2022-08-30	17:15
511	86	1	1	1관	 2022-08-30	19:50
512	86	1	1	1관	 2022-08-30	22:25
513	86	4	1	4관	 2022-08-30	10:30
514	87	1	1	1관	 2022-08-30	22:55
515	87	2	1	3관	 2022-08-30	23:25
516	88	1	1	4관	 2022-08-30	22:55
517	88	1	1	9관	 2022-08-30	22:40
518	88	1	1	10관	 2022-08-30	23:15
519	88	2	1	6관	 2022-08-30	22:50
520	88	9	1	11관	 2022-08-30	23:15
521	89	1	5	6관	 2022-08-30	23:20
522	89	1	2	IMAX	 2022-08-30	24:30
523	89	1	1	2관	 2022-08-30	22:50
524	89	1	1	3관	 2022-08-30	24:00
525	89	2	1	8관	 2022-08-30	24:35
526	89	9	1	5관	 2022-08-30	23:15
527	90	22	1	1관	 2022-08-30	10:30
528	90	22	1	1관	 2022-08-30	12:45
529	90	22	1	1관	 2022-08-30	15:00
530	90	22	1	1관	 2022-08-30	17:15
531	90	22	1	1관	 2022-08-30	19:30
532	90	22	1	1관	 2022-08-30	21:45
533	90	22	1	2관	 2022-08-30	11:40
534	90	22	1	2관	 2022-08-30	13:55
535	90	22	1	2관	 2022-08-30	16:10
536	90	22	1	2관	 2022-08-30	18:25
537	90	22	1	2관	 2022-08-30	20:40
538	90	22	1	4관	 2022-08-30	11:00
539	90	22	1	4관	 2022-08-30	13:15
540	90	22	1	4관	 2022-08-30	15:30
541	90	22	1	4관	 2022-08-30	17:45
542	90	22	1	4관	 2022-08-30	20:00
543	90	22	1	4관	 2022-08-30	22:15
544	90	22	1	5관	 2022-08-30	10:00
545	90	22	1	5관	 2022-08-30	12:15
546	90	22	1	5관	 2022-08-30	14:30
547	90	22	1	5관	 2022-08-30	16:45
548	90	22	1	5관	 2022-08-30	19:00
549	90	22	1	5관	 2022-08-30	21:15
550	90	1	1	3관	 2022-08-30	13:50
551	90	1	1	3관	 2022-08-30	16:25
552	90	1	1	3관	 2022-08-30	19:00
553	90	19	1	3관	 2022-08-30	21:35
554	90	1	1	6관	 2022-08-30	10:00
555	90	1	1	6관	 2022-08-30	12:35
556	90	1	1	6관	 2022-08-30	15:10
557	90	17	1	6관	 2022-08-30	17:45
558	90	1	1	6관	 2022-08-30	20:20
559	90	4	1	3관	 2022-08-30	11:40
560	91	22	1	1관	 2022-08-30	10:00
561	91	22	1	1관	 2022-08-30	12:15
562	91	22	1	1관	 2022-08-30	14:30
563	91	22	1	1관	 2022-08-30	16:50
564	91	22	1	1관	 2022-08-30	19:05
565	91	22	1	1관	 2022-08-30	21:20
566	91	22	1	4관	 2022-08-30	11:00
567	91	22	1	4관	 2022-08-30	13:15
568	91	22	1	4관	 2022-08-30	15:30
569	91	22	1	4관	 2022-08-30	17:50
570	91	22	1	4관	 2022-08-30	20:05
571	91	22	1	4관	 2022-08-30	22:25
572	91	1	1	2관	 2022-08-30	11:20
573	91	1	1	2관	 2022-08-30	13:55
574	91	1	1	2관	 2022-08-30	16:30
575	91	1	1	2관	 2022-08-30	19:20
576	91	1	1	2관	 2022-08-30	21:55
577	91	1	1	3관	 2022-08-30	10:20
578	91	1	1	3관	 2022-08-30	14:55
579	91	1	1	3관	 2022-08-30	17:30
580	91	1	1	3관	 2022-08-30	20:25
581	91	4	1	3관	 2022-08-30	12:55
582	108	22	1	1관	 2022-08-30	11:45
583	108	22	1	1관	 2022-08-30	14:00
584	108	22	1	1관	 2022-08-30	16:15
585	108	22	1	1관	 2022-08-30	18:30
586	108	22	1	1관	 2022-08-30	20:45
587	108	22	1	1관	 2022-08-30	23:00
588	108	22	1	2관	 2022-08-30	17:35
589	108	22	1	2관	 2022-08-30	19:50
590	108	22	1	5관	 2022-08-30	11:00
591	108	22	1	5관	 2022-08-30	13:25
592	108	22	1	5관	 2022-08-30	15:40
593	108	22	1	5관	 2022-08-30	17:55
594	108	22	1	5관	 2022-08-30	20:10
595	108	22	1	5관	 2022-08-30	22:25
596	108	22	1	6관	 2022-08-30	10:30
597	108	22	1	6관	 2022-08-30	12:45
598	108	22	1	6관	 2022-08-30	15:00
599	108	22	1	6관	 2022-08-30	17:15
600	108	22	1	6관	 2022-08-30	19:30
601	108	22	1	6관	 2022-08-30	21:45
602	108	22	1	7관	 2022-08-30	10:00
603	108	22	1	7관	 2022-08-30	12:15
