r_no	u_no	r_division	sc_no	r_people	r_seat	r_date	r_time
85	5	3	11701	1	C-03	2022-08-27	11:26
86	20	3	7188	6	A-03, A-02, A-01, D-01, D-02, D-03	2022-08-29	09:13
87	16	1	616	2	C-01, C-02	2022-08-24	09:39
88	10	4	6608	1	D-05	2022-08-26	13:29
89	16	1	8397	3	D-09, D-08, D-07	2022-08-29	16:54
90	26	1	4492	5	A-05, A-04, A-03, A-02, A-01	2022-08-26	19:48
92	24	1	261	6	F-01, F-02, F-03, D-01, D-02, D-03	2022-08-24	11:42
93	10	1	16224	7	F-03, F-02, F-01, E-02, E-03, A-01, A-02	2022-08-27	20:57
94	24	1	13771	3	D-04, D-03, D-02, D-01	2022-08-28	07:52
95	5	1	4105	8	C-03, C-02, C-01, A-02, A-04, A-05, A-08, A-09	2022-08-29	15:17
96	26	2	16028	5	A-01, A-02, A-03, B-02, B-03	2022-08-26	11:13
97	8	1	6536	1	E-07	2022-08-26	19:10
98	22	1	15918	1	D-10	2022-08-26	22:19
99	12	2	1853	7	E-03, E-04, E-05, E-06, E-07, F-01, F-02	2022-08-24	09:15
100	7	4	7305	5	F-01, F-02, F-03, E-01, E-02	2022-08-26	11:44
101	18	1, 2	13805	3	D-01, D-02, D-03	2022-08-29	10:01
102	8	1	10781	1	A-02	2022-08-27	11:30
103	28	3, 4	16941	1	F-01	2022-08-26	09:25
104	25	1	294	1	C-01	2022-08-28	10:15
105	29	1	4194	3	F-02, F-03, F-04	2022-08-27	13:40
106	8	4	9069	5	B-02, B-03, B-08, B-09, B-10	2022-08-27	19:25
107	14	3	11498	2	E-01, E-02	2022-08-28	18:20
108	2	2	12248	1	D-02	2022-08-29	20:45
109	11	1	18934	2	A-01, A-02	2022-08-30	08:55
110	11	4	11493	1	B-02	2022-08-28	21:00
111	30	1	7710	2	D-02, D-03	2022-08-29	21:30
112	29	3	9548	2	F-09, F-10	2022-08-27	15:26
113	18	2	11166	5	A-01, A-02, B-02, B-03, B-04	2022-08-27	11:11
114	29	4	8620	2	F-06, F-07	2022-08-26	12:37
115	18	3	5939	4	D-02, D-03, D-05, D-06	2022-08-26	14:46
116	29	1	1314	2	A-02, A-03	2022-08-30	15:23
117	21	1	11340	2	F-02, F-03	2022-08-30	16:50
118	20	2	155	5	B-02, B-03, B-04, A-02, A-03	2022-08-27	19:40
119	19	4	1928	2	F-02, F-03	2022-08-27	18:40
120	25	1, 3	14825	5	A-01, B-02, E-03, E-04, F-01	2022-08-28	19:33
121	12	2	15702	5	C-02, C-03, D-03, D-04, F-10	2022-08-28	10:40
122	1	4	12153	1	E-01	2022-08-28	11:30
123	16	2, 4	7949	3	D-02, E-02, F-02	2022-08-29	09:42
124	22	4	14923	1	D-08	2022-08-27	12:30
125	18	1	18228	2	F-02, F-03	2022-08-30	09:40
126	23	3	4846	3	A-02, D-03, F-02	2022-08-30	14:20
127	22	4	13235	3	B-03, B-04, B-05	2022-08-29	18:45
128	15	4	8885	5	E-02, E-04, A-01, A-02, B-03	2022-08-26	12:10
129	1	4	8460	4	A-01, A-02, F-03, F-04	2022-08-27	11:34
130	20	3	2751	4	C-02, C-03, A-01, A-2	2022-08-26	19:54
