게임구매번호	회원번호	게임번호	구매가격	구매날짜
109	8	3	34900	2022-07-11
110	7	28	26000	2022-07-13
111	15	40	59900	2022-07-13
112	4	4	0	2022-07-14
113	6	35	0	2022-07-14
114	19	23	10500	2022-07-14
115	7	11	54000	2022-07-14
116	12	15	10500	2022-07-15
117	12	31	16000	2022-07-15
118	13	24	15500	2022-07-17
119	6	6	64800	2022-07-18
120	19	4	0	2022-07-18
121	15	27	68800	2022-07-19
122	20	27	68800	2022-07-19
123	5	2	0	2022-07-19
124	12	33	29900	2022-07-20
125	1	17	65000	2022-07-21
126	19	13	0	2022-07-21
127	5	32	45000	2022-07-22
128	5	12	66000	2022-07-22
129	13	18	21000	2022-07-23
130	16	29	36000	2022-07-23
131	4	27	68800	2022-07-24
132	16	10	0	2022-07-24
133	7	13	0	2022-07-24
134	8	37	48750	2022-07-24
135	8	15	10500	2022-07-26
136	1	33	29900	2022-07-26
137	20	21	49800	2022-07-27
138	18	28	26000	2022-07-28
139	7	19	43800	2022-07-30
140	9	19	43800	2022-07-30
141	1	31	16000	2022-07-30
142	18	1	0	2022-07-31
143	14	26	66800	2022-08-01
144	8	28	26000	2022-08-02
145	15	9	46000	2022-08-03
146	11	2	0	2022-08-04
147	7	15	10500	2022-08-06
148	10	27	68800	2022-08-06
149	15	8	22500	2022-08-06
150	3	11	54000	2022-08-06
151	2	25	0	2022-08-07
152	9	14	66000	2022-08-08
153	13	30	0	2022-08-08
154	9	21	49800	2022-08-09
155	12	19	43800	2022-08-09
156	18	20	31000	2022-08-09
157	5	10	0	2022-08-09
158	6	11	54000	2022-08-09
159	9	40	59900	2022-08-09
160	14	12	66000	2022-08-10
161	18	25	0	2022-08-10
162	5	23	10500	2022-08-11
163	10	7	33000	2022-08-12
164	12	30	0	2022-08-12
165	1	39	65000	2022-08-13
166	4	39	65000	2022-08-13
167	1	38	43000	2022-08-14
168	20	23	10500	2022-08-14
169	8	33	29900	2022-08-14
170	3	1	0	2022-08-16
171	19	10	0	2022-08-17
172	17	35	0	2022-08-18
173	17	7	33000	2022-08-18
174	13	20	31000	2022-08-18
175	3	12	66000	2022-08-18
176	20	13	0	2022-08-18
177	15	22	27000	2022-08-20
178	10	39	65000	2022-08-20
179	3	29	36000	2022-08-24
180	4	32	45000	2022-08-26
181	4	30	0	2022-08-26
182	6	39	65000	2022-08-26
183	2	37	48750	2022-08-26
184	2	11	54000	2022-08-26
185	4	37	48750	2022-08-26
186	15	5	0	2022-08-27
187	20	16	22000	2022-08-27
188	20	36	31000	2022-08-27
