번호	회원번호	장터번호	날짜
81	14	80	2022-05-26
82	16	15	2022-05-27
83	20	81	2022-05-27
84	12	16	2022-05-27
85	19	82	2022-05-27
86	7	17	2022-05-28
87	16	83	2022-05-29
88	13	18	2022-05-29
89	6	84	2022-05-29
90	1	19	2022-05-30
91	17	85	2022-05-30
92	13	20	2022-05-30
93	1	86	2022-05-31
94	9	21	2022-05-31
95	19	87	2022-05-31
96	9	22	2022-06-01
97	10	88	2022-06-01
98	14	89	2022-06-02
99	14	90	2022-06-03
100	10	91	2022-06-03
101	10	92	2022-06-03
102	12	93	2022-06-04
103	3	94	2022-06-04
104	15	95	2022-06-04
105	6	96	2022-06-04
106	14	97	2022-06-04
107	20	99	2022-06-05
108	6	100	2022-06-06
109	16	101	2022-06-07
110	14	102	2022-06-07
111	15	103	2022-06-07
112	14	104	2022-06-07
113	9	105	2022-06-07
114	11	106	2022-06-08
115	7	107	2022-06-08
116	15	108	2022-06-08
117	12	109	2022-06-08
118	3	110	2022-06-08
119	9	111	2022-06-09
120	14	112	2022-06-09
121	5	113	2022-06-09
122	4	114	2022-06-10
123	18	115	2022-06-10
124	16	116	2022-06-11
125	4	117	2022-06-11
126	2	118	2022-06-12
127	16	119	2022-06-13
128	20	120	2022-06-13
129	20	121	2022-06-14
130	13	122	2022-06-14
131	11	123	2022-06-14
132	10	124	2022-06-14
133	15	125	2022-06-15
134	1	126	2022-06-15
135	8	127	2022-06-17
136	9	128	2022-06-17
137	18	129	2022-06-17
138	6	130	2022-06-18
139	11	131	2022-06-19
140	20	132	2022-06-19
141	18	133	2022-06-20
142	4	134	2022-06-20
143	10	137	2022-06-21
144	20	138	2022-06-22
145	8	139	2022-06-22
146	17	140	2022-06-23
147	6	141	2022-06-23
148	19	142	2022-06-23
149	3	143	2022-06-24
150	12	144	2022-06-25
151	11	145	2022-06-27
152	18	146	2022-06-27
153	12	147	2022-06-27
154	6	148	2022-06-27
155	16	149	2022-06-28
156	12	150	2022-06-28
157	14	151	2022-06-28
158	16	152	2022-06-28
159	17	153	2022-06-28
160	5	154	2022-06-29
161	1	155	2022-07-02
162	20	156	2022-07-03
163	15	157	2022-07-03
164	17	158	2022-07-03
165	8	159	2022-07-03
166	14	160	2022-07-04
167	5	161	2022-07-04
168	8	162	2022-07-04
169	2	163	2022-07-04
170	5	164	2022-07-05
171	7	165	2022-07-05
172	8	166	2022-07-06
173	20	167	2022-07-06
174	12	169	2022-07-06
175	18	170	2022-07-06
176	1	172	2022-07-06
177	5	173	2022-07-07
178	11	174	2022-07-08
179	4	175	2022-07-08
180	1	176	2022-07-09
181	15	177	2022-07-09
182	1	178	2022-07-09
183	18	179	2022-07-09
184	7	180	2022-07-11
185	11	181	2022-07-11
186	16	182	2022-07-11
187	12	183	2022-07-11
188	4	184	2022-07-12
189	18	186	2022-07-12
190	3	187	2022-07-12
191	6	188	2022-07-12
192	16	189	2022-07-12
193	13	190	2022-07-12
194	1	191	2022-07-12
195	1	192	2022-07-13
196	3	193	2022-07-14
197	2	194	2022-07-14
198	3	195	2022-07-15
199	3	196	2022-07-15
200	18	197	2022-07-16
201	15	198	2022-07-16
202	8	199	2022-07-16
203	16	200	2022-07-17
204	14	201	2022-07-18
205	5	202	2022-07-19
206	19	203	2022-07-19
207	20	204	2022-07-19
208	2	205	2022-07-20
209	9	206	2022-07-20
210	6	207	2022-07-21
211	8	208	2022-07-21
212	3	209	2022-07-22
213	6	210	2022-07-22
214	8	211	2022-07-24
215	13	212	2022-07-24
216	20	213	2022-07-24
217	11	214	2022-07-25
218	16	215	2022-07-25
219	10	216	2022-07-25
220	8	217	2022-07-25
221	12	219	2022-07-27
222	8	220	2022-07-27
223	13	221	2022-07-28
224	11	222	2022-07-28
225	7	223	2022-07-29
226	8	224	2022-07-29
227	15	225	2022-07-30
228	20	226	2022-07-31
229	9	227	2022-07-31
230	5	228	2022-07-31
231	7	229	2022-07-31
232	18	230	2022-08-01
233	9	231	2022-08-01
234	7	232	2022-08-02
235	19	233	2022-08-02
236	16	234	2022-08-03
237	4	235	2022-08-03
238	17	236	2022-08-03
239	11	237	2022-08-04
240	11	238	2022-08-04
241	10	239	2022-08-05
242	15	240	2022-08-05
243	3	241	2022-08-05
244	9	242	2022-08-05
245	20	243	2022-08-07
246	14	244	2022-08-07
247	19	245	2022-08-07
248	5	246	2022-08-07
249	1	247	2022-08-08
250	6	248	2022-08-08
251	18	249	2022-08-09
252	3	250	2022-08-10
253	8	251	2022-08-10
254	5	252	2022-08-10
255	6	253	2022-08-11
256	7	254	2022-08-11
257	11	255	2022-08-12
258	9	256	2022-08-12
259	19	257	2022-08-13
260	10	258	2022-08-13
261	16	259	2022-08-13
262	20	260	2022-08-14
263	12	261	2022-08-15
264	8	262	2022-08-15
265	16	263	2022-08-15
266	13	265	2022-08-15
267	5	267	2022-08-16
268	15	268	2022-08-17
269	12	269	2022-08-17
270	18	270	2022-08-18
271	14	271	2022-08-18
272	2	272	2022-08-18
273	1	273	2022-08-18
274	9	274	2022-08-19
275	9	275	2022-08-19
276	15	276	2022-08-19
277	7	277	2022-08-19
278	20	278	2022-08-21
279	1	279	2022-08-23
280	19	280	2022-08-24
281	6	281	2022-08-24
282	9	282	2022-08-24
283	9	283	2022-08-25
284	9	284	2022-08-25
285	11	285	2022-08-25
286	18	286	2022-08-26
287	5	287	2022-08-26
288	5	288	2022-08-26
289	15	289	2022-08-26
290	17	290	2022-08-27
291	5	291	2022-08-28
