b_no	division	b_name	b_temperature	b_note	b_img
48	2	한라봉	1	미국 캘리포니아에서는 스모 오렌지라는 이름으로 재배되고 있다. 캘리포니아의 풍부한 일조량을 받고 자라 높은 당도를 자랑한다	
49	2	두리안	19	맛이 대단히 독특하고 풍미가 깊어서 과일의 황제라는 호칭을 달고 있지만, 이 과일이 유명해진 가장 큰 이유는 특유의 냄새에 있다. 그래서 통칭 '악마의 과일'이다. 이건 태국 등지에서 붙인 별칭으로, 맛있어서 계속 먹게 된다는 의미이다	
50	2	레몬	27	운향과의 상록 소교목 레몬나무의 열매 신맛의 대명사로 신 맛이 강하며, 단맛과 쓴맛이 공존하고 있다.	
51	2	리치	21	여타 과일들이 대부분 그런 것처럼 신선할 때 바로 먹는 게 좋지만, 통조림이나 음료수로도 많이 가공된다.	
52	2	핑거라임	19	호주 동부 우림에 서식한다. 따뜻한 환경을 좋아하고 추위에 약하다.	
53	2	망고스틴	1	열대기후에서 자라는 열대 과일의 하나로, 새콤달콤한 맛이 특징적이다.	
54	2	블랙베리	6	의외로 새콤달콤한 맛이다. 게다가 식감이 포들포들한게 꽤나 중독성있다. 씨가 딱딱해서 호불호가 갈린다는 의견도 있다	
55	2	아보카도	17	씨가 큼지막한 것은 열대우림 과일의 공통점인데, 오랜 기간 그늘에서 죽지 않고 살아야 하기에 씨에 영양분을 많이 비축하기 때문이다	
56	2	용과	26	연하고 물기가 많아 식감도 별로 강하지 않아서, 섬유질의 결이 살아있지만 끈적함이 없는 마 내지는 약간 더 단단한 키위 수준이다. 검은 씨는 키위 씨처럼 연해서 질감상 과육과 별 차이는 없으며 씹었을 때 약한 고소한 맛이 난다.	
57	2	오렌지	13	생으로 먹는 것도 가능하지만, 보통은 앞서 설명한 것처럼 주스로 만들어 먹는다	
58	2	올리브	15	동아시아 문화권에서는 안 쓰이는 식재료이기 때문에 한국에서는 피자, 샌드위치 등 외국산 요리들을 통해 주로 접한다	
59	2	자몽	4	맛이 굉장히 묘한 과일로, 첫 맛은 시고, 중간 맛은 달고, 끝 맛이 씁쓸하여 한 번에 여러 맛을 느껴 볼 수 있다	
60	2	코코넛	19	종려과에 속한 식물 및 그 열매. 열대기후 전역에 널리 걸쳐서 분포한다. 과육과 속의 액즙 둘 다 식용할 수 있다.	
61	2	키위	25	털이 붙은 껍질 속에 초록색, 혹은 노란색의 부드러운 과육이 들어있다	
62	2	크랜베리	25	유럽에 전래된 이후 제과, 제빵 등에 활용되었고 크랜베리를 이용한 음료도 등장했다	
63	2	람부탄	2	밤송이와 비슷하게 생겼으며 붉은색이나 노란색으로 익는데, 익기 전에는 녹색이라서 덜 익은 밤송이와 아주 비슷하다.	
64	2	스타프루트	26	스타후르츠라는 이름 그대로 자른 단면이 위 사진과 같은 다섯 꼭지점을 가진 별모양이다. 맛은 사과와 비슷하여 별사과나 오렴자라 불리기도 한다.	
65	2	청포도	18	포도 특유의 풋내 섞인 향이 강하며 껍질째 먹는 경우가 많다. 당도가 높은 청포도는 백포도주용으로 쓰인다.	
66	2	유자	11	빛깔은 밝은 노란색이고 껍질이 울퉁불퉁하다. 향기가 좋고, 딱딱한 모과와 달리 과육이 부드럽다	
67	2	천도복숭아	7	맛이 자두와 비슷하다는 사람도 있는 모양. 단단한 것과 물렁물렁한 것이 있는데, 단단한 쪽이 신맛이 더 강하다	
68	2	샤인머스켓	25	망고포도라는 별명으로도 불리는데, 씹을수록 망고와 비슷한 맛과 향이 느껴지기 때문이라고 한다.	
69	2	살구	14	시골 장터 등지에서 파는 살구의 경우 과육이 충분히 익은 상태이기 때문에 신맛은 거의 없고 단맛이 강하다	
70	2	앵두	11	열매는 달고 새큼한 편으로 5월 말에서 6월에 열리는데 보관기간이 짧으니 주의해야한다	
71	2	자두	14	순우리말로는 '오얏'이라고 한다. 7월 초에 수확하며 열매는 식용이 가능하며 달고 과즙이 많다.	
72	2	망고	1	과육을 조각내서 말린 뒤 그냥 먹거나 설탕에 절여 먹기도 하고, 날 것을 통째로 씹어 먹기도 한다	
73	2	애플망고	16	생 과육으로 먹었을땐 확실히 보통의 망고보다 탱글탱글한 젤리 같은 느낌이 강하다.	
74	2	수박	17	수분 함량이 높아서 땀을 많이 흘린 여름에 섭취하기에 좋다. 당분 함량은 수박 100g당 당분 6.2g이다. 단 맛이 강한 데 반해 당분 함량은 적은 편.	
75	2	파인애플	17	파인애플은 새콤달콤한 맛이 나며 이를 좋아하는 사람도 많지만 문제는 과즙 내에는 다량의 산과 단백질 분해 효소인 브로멜린이 있기에 많이 먹으면 입 안이 따갑고 얼얼해지며, 입천장 까지는 건 다반사고	
76	2	참외	29	굵은 노란 바탕과 하얀 줄이 특징으로, 칼로 껍질을 벗기면 하얀 과육이 나온다	
77	2	골드키위	4	골드키위에는 풍부하게 들어있는 엽산이 임산부와 태아의 건강에도 이로운 작용을 하고 산소 공급을 원활하게 개선시키는데도 도움을 준다	
78	2	하얀딸기	15	파인베리 혹은 하얀 딸기라고 불리는 이 과일의 맛은 파인애플과 비슷하지만 품종은 딸기에 속한다.	
79	2	메론	10	쌍떡잎식물 박목 박과 오이속의 덩굴성 한해살이풀 멜론종의 총칭. 수분이 많아 시원한 식감이 있으며, 부드럽고 달콤한 과육으로 인기가 높다	
80	2	파파야	7	열대 아메리카가 원산지인 열대과일의 일종. 콜럼버스가 먹고 "천사의 과일"이라 표현한 과일이다.	
