p_no	u_no	f_no	p_date	p_quantity
161	61	3082	2022-01-14	9
162	63	3724	2022-01-14	7
163	63	4287	2022-01-14	8
164	73	4069	2022-01-14	3
165	89	3146	2022-01-14	8
166	93	2287	2022-01-14	2
167	94	3098	2022-01-14	5
168	101	3820	2022-01-14	1
169	122	2417	2022-01-14	5
170	126	1121	2022-01-14	4
171	139	1865	2022-01-14	3
172	169	1630	2022-01-14	5
173	194	1286	2022-01-14	10
174	211	982	2022-01-14	5
175	15	2689	2022-01-15	1
176	65	3145	2022-01-15	10
177	71	3096	2022-01-15	6
178	123	3825	2022-01-15	8
179	144	696	2022-01-15	6
180	150	1157	2022-01-15	6
181	159	106	2022-01-15	7
182	163	2084	2022-01-15	3
183	171	362	2022-01-15	2
184	3	3451	2022-01-16	9
185	22	4076	2022-01-16	1
186	28	2937	2022-01-16	9
187	34	2360	2022-01-16	7
188	40	3916	2022-01-16	6
189	117	3787	2022-01-16	8
190	121	2544	2022-01-16	6
191	132	293	2022-01-16	10
192	160	357	2022-01-16	10
193	164	1986	2022-01-16	6
194	169	1280	2022-01-16	7
195	176	1847	2022-01-16	6
196	214	1378	2022-01-16	9
197	8	2553	2022-01-17	3
198	14	2251	2022-01-17	5
199	18	3296	2022-01-17	5
200	27	3466	2022-01-17	4
201	60	3688	2022-01-17	2
202	91	4329	2022-01-17	6
203	95	3799	2022-01-17	3
204	108	2530	2022-01-17	4
205	111	2463	2022-01-17	6
206	112	3885	2022-01-17	4
207	152	2008	2022-01-17	2
208	173	934	2022-01-17	8
209	173	811	2022-01-17	10
210	173	1461	2022-01-17	10
211	195	1677	2022-01-17	7
212	197	1361	2022-01-17	8
213	203	1409	2022-01-17	7
214	204	1996	2022-01-17	10
215	8	3561	2022-01-18	4
216	30	2937	2022-01-18	8
217	34	2525	2022-01-18	2
218	49	2897	2022-01-18	5
219	74	3199	2022-01-18	5
220	128	837	2022-01-18	7
221	155	1348	2022-01-18	3
222	158	1439	2022-01-18	5
223	171	42	2022-01-18	8
224	187	1613	2022-01-18	8
225	202	909	2022-01-18	5
226	220	751	2022-01-18	1
227	8	2285	2022-01-19	9
228	14	2480	2022-01-19	7
229	27	4031	2022-01-19	4
230	39	3384	2022-01-19	10
231	45	2607	2022-01-19	6
232	55	2833	2022-01-19	3
233	65	3770	2022-01-19	5
234	74	3536	2022-01-19	10
235	136	702	2022-01-19	2
236	206	1867	2022-01-19	2
237	207	1066	2022-01-19	8
238	211	1994	2022-01-19	9
239	16	3509	2022-01-20	4
240	20	3358	2022-01-20	4
241	27	3148	2022-01-20	1
242	59	3835	2022-01-20	5
243	62	2322	2022-01-20	1
244	75	2601	2022-01-20	10
245	86	3513	2022-01-20	7
246	94	3433	2022-01-20	7
247	157	760	2022-01-20	10
248	158	843	2022-01-20	1
249	208	2069	2022-01-20	7
250	215	25	2022-01-20	10
251	221	1335	2022-01-20	1
252	15	3252	2022-01-21	2
253	29	3046	2022-01-21	7
254	46	4086	2022-01-21	4
255	56	3168	2022-01-21	7
256	163	764	2022-01-21	4
257	179	1221	2022-01-21	8
258	184	622	2022-01-21	1
259	205	37	2022-01-21	2
260	212	1098	2022-01-21	5
261	223	1137	2022-01-21	1
262	13	2947	2022-01-22	5
263	56	3535	2022-01-22	2
264	60	3837	2022-01-22	5
265	65	3193	2022-01-22	5
266	71	4152	2022-01-22	4
267	112	2544	2022-01-22	4
268	134	1887	2022-01-22	5
269	137	727	2022-01-22	3
270	160	325	2022-01-22	3
271	167	769	2022-01-22	8
272	170	392	2022-01-22	10
273	179	1710	2022-01-22	5
274	194	823	2022-01-22	1
275	222	2049	2022-01-22	8
276	226	2033	2022-01-22	1
277	15	3561	2022-01-23	9
278	24	4205	2022-01-23	9
279	28	4235	2022-01-23	1
280	36	3045	2022-01-23	5
281	75	4237	2022-01-23	3
282	79	3833	2022-01-23	4
283	87	2688	2022-01-23	4
284	174	1502	2022-01-23	8
285	175	47	2022-01-23	7
286	195	744	2022-01-23	6
287	205	1598	2022-01-23	5
288	230	109	2022-01-23	3
289	23	4329	2022-01-24	8
290	79	4200	2022-01-24	8
291	149	1286	2022-01-24	9
292	172	6	2022-01-24	6
293	186	597	2022-01-24	5
294	188	182	2022-01-24	6
295	190	46	2022-01-24	3
296	26	3404	2022-01-25	5
297	102	3769	2022-01-25	8
298	109	3343	2022-01-25	2
299	149	157	2022-01-25	6
300	150	1337	2022-01-25	1
301	165	1144	2022-01-25	5
302	171	984	2022-01-25	9
303	178	2151	2022-01-25	3
304	198	1413	2022-01-25	9
305	212	478	2022-01-25	3
306	224	552	2022-01-25	4
307	230	1564	2022-01-25	2
308	9	3145	2022-01-26	10
309	45	2706	2022-01-26	7
310	92	2683	2022-01-26	1
311	144	274	2022-01-26	1
312	185	933	2022-01-26	10
313	194	1450	2022-01-26	9
314	209	227	2022-01-26	7
315	213	477	2022-01-26	1
316	215	2074	2022-01-26	3
317	232	293	2022-01-26	10
318	10	3357	2022-01-27	4
319	25	2969	2022-01-27	9
320	53	2222	2022-01-27	3
321	106	3087	2022-01-27	8
322	112	4007	2022-01-27	5
323	115	2212	2022-01-27	3
324	151	823	2022-01-27	5
325	159	1922	2022-01-27	6
326	166	2107	2022-01-27	8
327	173	372	2022-01-27	8
328	222	964	2022-01-27	9
329	18	2233	2022-01-28	10
330	18	3063	2022-01-28	4
331	20	3885	2022-01-28	9
332	25	4260	2022-01-28	9
333	28	2588	2022-01-28	2
334	51	3225	2022-01-28	9
335	54	4293	2022-01-28	9
336	66	3200	2022-01-28	10
337	150	828	2022-01-28	1
338	183	1789	2022-01-28	7
339	201	1811	2022-01-28	3
340	212	1930	2022-01-28	9
341	1	3147	2022-01-29	5
342	2	3105	2022-01-29	8
343	12	3993	2022-01-29	3
344	15	2211	2022-01-29	10
345	33	3763	2022-01-29	10
346	35	2667	2022-01-29	1
347	39	2199	2022-01-29	6
348	54	2469	2022-01-29	8
349	76	3503	2022-01-29	6
350	85	4340	2022-01-29	7
351	100	2391	2022-01-29	5
352	110	2252	2022-01-29	4
353	160	274	2022-01-29	6
354	174	1422	2022-01-29	9
355	195	1824	2022-01-29	1
356	198	491	2022-01-29	1
357	226	1463	2022-01-29	7
358	7	2999	2022-01-30	3
359	10	3651	2022-01-30	10
360	89	4208	2022-01-30	10
361	101	3925	2022-01-30	9
362	111	3197	2022-01-30	3
363	129	785	2022-01-30	9
364	151	1060	2022-01-30	8
365	183	1504	2022-01-30	2
366	185	777	2022-01-30	3
367	186	978	2022-01-30	5
368	197	99	2022-01-30	10
369	201	1573	2022-01-30	10
370	207	1114	2022-01-30	2
371	219	1950	2022-01-30	3
372	226	1050	2022-01-30	4
373	60	3851	2022-01-31	7
374	76	3234	2022-01-31	6
375	88	2836	2022-01-31	7
376	103	3596	2022-01-31	10
377	118	4020	2022-01-31	6
378	188	1163	2022-01-31	5
379	220	1994	2022-01-31	2
380	223	958	2022-01-31	2
381	4	4298	2022-02-01	9
382	11	3551	2022-02-01	8
383	32	3675	2022-02-01	4
384	54	2522	2022-02-01	5
385	82	2293	2022-02-01	7
386	146	1875	2022-02-01	5
387	146	486	2022-02-01	2
388	149	995	2022-02-01	1
389	151	1928	2022-02-01	8
390	173	1733	2022-02-01	1
391	178	44	2022-02-01	7
392	201	227	2022-02-01	1
393	208	639	2022-02-01	1
394	211	91	2022-02-01	8
395	222	1583	2022-02-01	6
396	23	3287	2022-02-02	2
397	109	3195	2022-02-02	8
398	130	1726	2022-02-02	3
399	146	1888	2022-02-02	1
400	174	430	2022-02-02	5
401	175	1037	2022-02-02	9
402	181	1664	2022-02-02	9
403	188	2024	2022-02-02	1
404	211	1233	2022-02-02	10
405	42	2214	2022-02-03	7
406	78	4051	2022-02-03	1
407	94	2853	2022-02-03	2
408	161	511	2022-02-03	2
409	177	925	2022-02-03	3
410	199	936	2022-02-03	9
411	200	876	2022-02-03	7
412	207	1423	2022-02-03	7
413	211	464	2022-02-03	8
414	14	3507	2022-02-04	5
415	34	4175	2022-02-04	4
416	62	2540	2022-02-04	9
417	82	3304	2022-02-04	4
418	85	4193	2022-02-04	6
419	105	4289	2022-02-04	9
420	142	701	2022-02-04	2
421	146	2077	2022-02-04	6
422	4	4173	2022-02-05	4
423	11	4191	2022-02-05	8
424	105	3261	2022-02-05	3
425	108	2715	2022-02-05	5
426	141	1847	2022-02-05	2
427	161	1979	2022-02-05	4
428	187	1686	2022-02-05	4
429	197	1967	2022-02-05	4
430	7	3575	2022-02-06	2
431	8	3980	2022-02-06	5
432	15	2537	2022-02-06	3
433	109	4276	2022-02-06	7
434	144	315	2022-02-06	1
435	153	1001	2022-02-06	3
436	155	1965	2022-02-06	6
437	169	1438	2022-02-06	7
438	183	616	2022-02-06	7
439	186	911	2022-02-06	9
440	225	625	2022-02-06	9
441	232	19	2022-02-06	8
442	41	2864	2022-02-07	6
443	60	3980	2022-02-07	4
444	94	2790	2022-02-07	7
445	129	2118	2022-02-07	6
446	170	1106	2022-02-07	6
447	194	1322	2022-02-07	1
448	218	191	2022-02-07	5
449	63	2673	2022-02-08	7
450	102	2834	2022-02-08	4
451	104	3227	2022-02-08	6
452	145	577	2022-02-08	3
453	159	2063	2022-02-08	7
454	174	363	2022-02-08	4
455	175	1948	2022-02-08	4
456	176	2069	2022-02-08	5
457	179	2062	2022-02-08	10
458	190	452	2022-02-08	5
459	209	1366	2022-02-08	4
460	226	453	2022-02-08	4
461	20	3180	2022-02-09	4
462	26	3026	2022-02-09	5
463	63	2744	2022-02-09	6
464	65	4128	2022-02-09	7
465	92	3407	2022-02-09	9
466	118	3600	2022-02-09	7
467	138	671	2022-02-09	9
468	148	1240	2022-02-09	8
469	156	2131	2022-02-09	2
470	161	767	2022-02-09	8
471	162	1140	2022-02-09	4
472	177	172	2022-02-09	1
473	177	1886	2022-02-09	5
474	48	3495	2022-02-10	10
475	79	2616	2022-02-10	4
476	84	3036	2022-02-10	10
477	116	3141	2022-02-10	10
478	132	224	2022-02-10	7
479	135	72	2022-02-10	5
480	147	748	2022-02-10	7
481	173	1594	2022-02-10	7
482	176	1892	2022-02-10	7
483	207	1275	2022-02-10	9
484	208	465	2022-02-10	4
485	218	399	2022-02-10	10
486	1	3337	2022-02-11	2
487	19	3709	2022-02-11	8
488	31	3652	2022-02-11	10
489	51	4069	2022-02-11	7
490	61	4177	2022-02-11	2
491	102	3120	2022-02-11	1
492	116	3443	2022-02-11	5
493	138	1786	2022-02-11	6
494	153	545	2022-02-11	6
495	157	555	2022-02-11	9
496	163	1678	2022-02-11	3
497	169	316	2022-02-11	8
498	171	732	2022-02-11	6
499	184	337	2022-02-11	9
500	205	1497	2022-02-11	8
501	220	530	2022-02-11	10
502	224	946	2022-02-11	8
503	230	807	2022-02-11	9
504	4	2492	2022-02-12	7
505	5	3102	2022-02-12	4
506	12	2415	2022-02-12	8
507	13	2591	2022-02-12	8
508	19	2508	2022-02-12	1
509	31	3143	2022-02-12	6
510	70	2310	2022-02-12	7
511	78	2974	2022-02-12	7
512	114	2975	2022-02-12	4
513	189	1225	2022-02-12	5
514	192	699	2022-02-12	10
515	220	1574	2022-02-12	9
516	233	18	2022-02-12	5
517	7	2788	2022-02-13	10
518	22	3259	2022-02-13	7
519	26	3107	2022-02-13	9
520	41	3537	2022-02-13	5
521	72	2219	2022-02-13	3
522	89	2245	2022-02-13	6
523	90	2540	2022-02-13	8
524	94	2929	2022-02-13	4
525	138	778	2022-02-13	1
526	145	933	2022-02-13	4
527	148	692	2022-02-13	3
528	154	636	2022-02-13	9
529	173	1781	2022-02-13	9
530	194	1871	2022-02-13	3
531	2	3338	2022-02-14	9
532	34	3630	2022-02-14	9
533	59	4134	2022-02-14	6
534	146	1587	2022-02-14	8
535	161	119	2022-02-14	10
536	173	1744	2022-02-14	2
537	224	1123	2022-02-14	7
538	5	4358	2022-02-15	7
539	13	2766	2022-02-15	5
540	26	4365	2022-02-15	4
541	28	4380	2022-02-15	9
542	55	2721	2022-02-15	4
543	59	2641	2022-02-15	7
544	91	3182	2022-02-15	2
545	137	235	2022-02-15	7
546	145	1332	2022-02-15	10
547	147	1254	2022-02-15	2
548	162	1453	2022-02-15	2
549	197	390	2022-02-15	9
550	44	3768	2022-02-16	7
551	56	2407	2022-02-16	6
552	65	3560	2022-02-16	3
553	66	2900	2022-02-16	10
554	73	2381	2022-02-16	2
555	77	3831	2022-02-16	6
556	95	4175	2022-02-16	9
557	156	945	2022-02-16	4
558	193	1447	2022-02-16	4
559	201	2082	2022-02-16	5
560	205	409	2022-02-16	8
561	216	611	2022-02-16	7
562	221	1012	2022-02-16	7
563	13	4113	2022-02-17	4
564	36	2227	2022-02-17	6
565	44	3221	2022-02-17	4
566	54	3266	2022-02-17	9
567	66	2279	2022-02-17	9
568	72	3357	2022-02-17	1
569	93	3339	2022-02-17	7
570	128	1314	2022-02-17	7
571	138	1594	2022-02-17	1
572	141	1933	2022-02-17	7
573	170	758	2022-02-17	9
574	184	2061	2022-02-17	5
575	205	885	2022-02-17	5
576	209	295	2022-02-17	5
577	230	1020	2022-02-17	2
578	41	3772	2022-02-18	1
579	53	3724	2022-02-18	10
580	78	3085	2022-02-18	3
581	85	2537	2022-02-18	10
582	93	2321	2022-02-18	4
583	167	1485	2022-02-18	5
584	174	129	2022-02-18	3
585	176	185	2022-02-18	2
586	177	1113	2022-02-18	10
587	186	2129	2022-02-18	7
588	232	2097	2022-02-18	9
589	7	2276	2022-02-19	7
590	14	2781	2022-02-19	4
591	20	3198	2022-02-19	8
592	71	2636	2022-02-19	2
593	81	2763	2022-02-19	6
594	110	3387	2022-02-19	7
595	112	2744	2022-02-19	4
596	117	4309	2022-02-19	5
597	122	3746	2022-02-19	4
598	125	1175	2022-02-19	10
599	162	1449	2022-02-19	3
600	203	1476	2022-02-19	10
601	205	288	2022-02-19	5
602	216	1632	2022-02-19	9
603	226	1080	2022-02-19	10
604	38	4068	2022-02-20	9
605	64	4270	2022-02-20	3
606	70	2900	2022-02-20	9
607	90	4037	2022-02-20	6
608	111	3586	2022-02-20	2
609	132	1822	2022-02-20	1
610	139	755	2022-02-20	1
611	143	65	2022-02-20	2
612	152	1845	2022-02-20	2
613	174	500	2022-02-20	7
614	193	436	2022-02-20	3
615	218	481	2022-02-20	3
616	16	2406	2022-02-21	3
617	24	4181	2022-02-21	9
618	78	3202	2022-02-21	8
619	78	2444	2022-02-21	6
620	83	3898	2022-02-21	1
621	88	4261	2022-02-21	1
622	117	4383	2022-02-21	10
623	118	2255	2022-02-21	3
624	127	2026	2022-02-21	1
625	141	604	2022-02-21	6
626	175	1074	2022-02-21	6
627	176	695	2022-02-21	10
628	190	1635	2022-02-21	6
629	210	322	2022-02-21	1
630	225	422	2022-02-21	5
631	18	3688	2022-02-22	4
632	28	3106	2022-02-22	10
633	35	2484	2022-02-22	6
634	43	4081	2022-02-22	9
635	43	4271	2022-02-22	6
636	56	3538	2022-02-22	1
637	63	3261	2022-02-22	9
638	95	3774	2022-02-22	1
639	101	4009	2022-02-22	7
640	120	3702	2022-02-22	2
641	133	961	2022-02-22	6
642	146	38	2022-02-22	5
643	149	1830	2022-02-22	6
644	149	152	2022-02-22	4
645	175	65	2022-02-22	10
646	179	2062	2022-02-22	9
647	192	1926	2022-02-22	10
648	214	1081	2022-02-22	10
649	227	1896	2022-02-22	2
650	34	2641	2022-02-23	2
651	40	3480	2022-02-23	3
652	46	3704	2022-02-23	9
653	55	2331	2022-02-23	4
654	74	3181	2022-02-23	2
655	118	4278	2022-02-23	8
656	122	2756	2022-02-23	9
657	148	1290	2022-02-23	4
658	172	1126	2022-02-23	2
659	172	2067	2022-02-23	2
660	176	1887	2022-02-23	4
661	193	732	2022-02-23	6
662	196	1127	2022-02-23	9
663	204	1086	2022-02-23	4
664	209	1541	2022-02-23	5
665	2	2903	2022-02-24	4
666	8	2556	2022-02-24	6
667	17	3475	2022-02-24	7
668	50	4295	2022-02-24	2
669	69	3122	2022-02-24	10
670	75	3556	2022-02-24	1
671	88	3325	2022-02-24	8
672	152	1206	2022-02-24	4
673	178	106	2022-02-24	9
674	226	1908	2022-02-24	8
675	35	3849	2022-02-25	1
676	40	3177	2022-02-25	8
677	59	2159	2022-02-25	9
678	71	2383	2022-02-25	1
679	74	3234	2022-02-25	1
680	128	426	2022-02-25	4
681	147	536	2022-02-25	8
682	173	349	2022-02-25	7
683	196	842	2022-02-25	3
684	211	1135	2022-02-25	7
685	216	894	2022-02-25	2
686	217	1070	2022-02-25	1
687	224	724	2022-02-25	7
688	12	2970	2022-02-26	1
689	102	2371	2022-02-26	4
690	109	2533	2022-02-26	2
691	116	2645	2022-02-26	1
692	194	203	2022-02-26	10
693	217	453	2022-02-26	2
694	1	2591	2022-02-27	2
695	22	4008	2022-02-27	5
696	29	4288	2022-02-27	9
697	70	4023	2022-02-27	10
698	78	2177	2022-02-27	9
699	87	4190	2022-02-27	5
700	103	4011	2022-02-27	3
701	111	2645	2022-02-27	6
702	112	2760	2022-02-27	8
703	134	1497	2022-02-27	4
704	176	1248	2022-02-27	3
705	186	184	2022-02-27	9
706	187	1239	2022-02-27	7
707	195	2117	2022-02-27	4
708	212	960	2022-02-27	2
709	222	745	2022-02-27	2
710	230	902	2022-02-27	2
711	231	1410	2022-02-27	7
712	42	4232	2022-02-28	5
713	49	2371	2022-02-28	4
714	58	3870	2022-02-28	7
715	61	3653	2022-02-28	3
716	67	2976	2022-02-28	6
717	78	3259	2022-02-28	1
718	84	3650	2022-02-28	7
719	135	1543	2022-02-28	9
720	136	2012	2022-02-28	10
721	138	1272	2022-02-28	1
722	152	821	2022-02-28	8
723	161	734	2022-02-28	4
724	170	522	2022-02-28	9
725	172	1258	2022-02-28	3
726	189	1017	2022-02-28	2
727	205	564	2022-02-28	8
728	225	1337	2022-02-28	7
729	228	644	2022-02-28	3
730	32	3362	2022-03-01	4
731	52	4175	2022-03-01	6
732	78	3995	2022-03-01	3
733	83	2783	2022-03-01	7
734	93	2610	2022-03-01	3
735	94	3814	2022-03-01	5
736	107	3274	2022-03-01	2
737	111	3827	2022-03-01	5
738	113	2287	2022-03-01	9
739	118	2961	2022-03-01	4
740	152	987	2022-03-01	1
741	154	215	2022-03-01	3
742	176	860	2022-03-01	1
743	185	1195	2022-03-01	5
744	207	1706	2022-03-01	4
745	4	2763	2022-03-02	8
746	6	4097	2022-03-02	6
747	17	3245	2022-03-02	8
748	21	4272	2022-03-02	7
749	75	2772	2022-03-02	5
750	120	3485	2022-03-02	10
751	144	1145	2022-03-02	5
752	146	803	2022-03-02	7
753	173	1864	2022-03-02	1
754	207	1674	2022-03-02	6
755	210	459	2022-03-02	2
756	217	1450	2022-03-02	4
757	219	1802	2022-03-02	3
758	22	3585	2022-03-03	6
759	28	4239	2022-03-03	8
760	38	4101	2022-03-03	5
761	68	4010	2022-03-03	6
762	153	852	2022-03-03	8
763	156	1170	2022-03-03	1
764	156	1997	2022-03-03	6
765	174	833	2022-03-03	1
766	198	1813	2022-03-03	5
767	50	4265	2022-03-04	9
768	66	3539	2022-03-04	5
769	77	3846	2022-03-04	4
770	106	3014	2022-03-04	8
771	118	3783	2022-03-04	4
772	129	1426	2022-03-04	10
773	135	1788	2022-03-04	4
774	137	1410	2022-03-04	3
775	145	748	2022-03-04	2
776	145	3	2022-03-04	8
777	212	1592	2022-03-04	6
778	60	2293	2022-03-05	4
779	62	4036	2022-03-05	3
780	74	4042	2022-03-05	9
781	78	3809	2022-03-05	7
782	93	4054	2022-03-05	7
783	111	3239	2022-03-05	2
784	119	2642	2022-03-05	6
785	120	3540	2022-03-05	6
786	128	2030	2022-03-05	7
787	145	1638	2022-03-05	7
788	160	1943	2022-03-05	8
789	167	654	2022-03-05	6
790	171	1191	2022-03-05	4
791	184	61	2022-03-05	5
792	207	1724	2022-03-05	3
793	4	2429	2022-03-06	2
794	60	4345	2022-03-06	10
795	84	4000	2022-03-06	10
796	109	2944	2022-03-06	3
797	138	950	2022-03-06	8
798	196	6	2022-03-06	3
799	201	2066	2022-03-06	5
800	221	388	2022-03-06	1
801	222	592	2022-03-06	5
802	223	1251	2022-03-06	5
803	229	701	2022-03-06	10
804	31	3040	2022-03-07	5
805	31	3498	2022-03-07	6
806	52	2498	2022-03-07	2
807	58	2204	2022-03-07	1
808	78	3787	2022-03-07	9
809	93	2994	2022-03-07	7
810	100	2369	2022-03-07	5
811	100	2348	2022-03-07	8
812	122	2291	2022-03-07	10
813	131	32	2022-03-07	1
814	139	1027	2022-03-07	7
815	172	1952	2022-03-07	7
816	200	1033	2022-03-07	6
817	216	1214	2022-03-07	8
818	9	3464	2022-03-08	1
819	21	2406	2022-03-08	1
820	29	4079	2022-03-08	1
821	30	4054	2022-03-08	1
822	36	3975	2022-03-08	5
823	37	3329	2022-03-08	1
824	90	2810	2022-03-08	3
825	92	4145	2022-03-08	10
826	163	5	2022-03-08	1
827	175	2155	2022-03-08	6
828	208	1415	2022-03-08	4
829	12	3012	2022-03-09	2
830	29	2439	2022-03-09	4
831	37	3302	2022-03-09	9
832	40	3155	2022-03-09	5
833	41	4388	2022-03-09	4
834	50	2787	2022-03-09	9
835	88	2900	2022-03-09	4
836	125	1616	2022-03-09	3
837	131	2057	2022-03-09	6
838	133	1138	2022-03-09	7
839	142	843	2022-03-09	7
840	197	33	2022-03-09	5
841	218	1640	2022-03-09	9
842	222	916	2022-03-09	9
843	52	3038	2022-03-10	1
844	100	3422	2022-03-10	4
845	113	2249	2022-03-10	8
846	137	836	2022-03-10	1
847	138	47	2022-03-10	2
848	174	793	2022-03-10	5
849	180	1830	2022-03-10	4
850	186	1394	2022-03-10	8
851	23	3252	2022-03-11	10
852	27	3387	2022-03-11	9
853	28	2831	2022-03-11	9
854	52	3724	2022-03-11	4
855	119	3399	2022-03-11	2
856	126	1388	2022-03-11	9
857	128	2022	2022-03-11	5
858	131	1121	2022-03-11	6
859	142	1865	2022-03-11	4
860	156	2136	2022-03-11	7
861	164	672	2022-03-11	1
862	219	1395	2022-03-11	6
863	222	671	2022-03-11	8
864	230	1850	2022-03-11	9
865	8	3878	2022-03-12	7
866	16	3098	2022-03-12	6
867	37	4391	2022-03-12	2
868	64	3537	2022-03-12	2
869	72	3307	2022-03-12	5
870	85	4121	2022-03-12	8
871	89	3827	2022-03-12	7
872	94	3848	2022-03-12	9
873	117	3441	2022-03-12	7
874	154	1091	2022-03-12	7
875	166	422	2022-03-12	3
876	173	717	2022-03-12	2
877	181	222	2022-03-12	4
878	208	612	2022-03-12	10
879	221	970	2022-03-12	9
880	4	3331	2022-03-13	8
881	5	3617	2022-03-13	4
882	6	4192	2022-03-13	9
883	35	3978	2022-03-13	5
884	51	4252	2022-03-13	7
885	106	3293	2022-03-13	7
