f_no	u_no	b_no	f_amount	f_quantity
200	10	29	1309	35
201	10	22	2382	39
202	11	4	4658	39
203	11	16	2838	23
204	11	14	3228	22
205	11	10	1939	26
206	11	24	2285	20
207	11	23	4369	39
208	11	11	698	37
209	11	27	4695	38
210	11	30	1557	39
211	11	12	964	32
212	11	22	2679	21
213	11	9	3000	26
214	11	3	3630	29
215	11	5	3378	27
216	11	17	4944	32
217	11	1	3198	24
218	11	7	3754	23
219	11	15	1299	27
220	12	7	1252	21
221	12	29	1783	22
222	12	15	4862	22
223	12	13	3814	37
224	12	14	959	35
225	12	17	2744	28
226	12	11	4989	32
227	12	33	1968	26
228	12	19	3945	34
229	12	3	3735	32
230	12	9	769	24
231	12	28	3565	28
232	12	31	1604	20
233	12	18	2899	38
234	12	2	4135	38
235	12	4	1129	30
236	12	26	1090	32
237	12	27	4285	28
238	12	32	1344	23
239	12	21	2293	38
240	12	12	2300	25
241	13	7	3668	40
242	13	33	1684	22
243	13	11	4411	37
244	13	4	1751	29
245	13	15	2003	34
246	13	23	4348	23
247	13	31	514	38
248	13	18	1541	40
249	13	2	3210	34
250	13	8	2372	28
251	13	20	2687	23
252	13	14	4109	21
253	13	5	1614	36
254	13	10	1539	25
255	13	30	1550	31
256	13	16	4297	23
257	14	23	1364	35
258	14	29	3723	37
259	14	32	1849	23
260	14	34	4285	30
261	14	6	1700	23
262	14	9	3518	38
263	14	13	1487	39
264	14	4	1240	26
265	14	20	3564	20
266	14	1	848	28
267	14	16	2135	24
268	14	12	2752	35
269	14	7	3686	25
270	14	21	714	36
271	14	3	730	30
272	14	18	3572	23
273	14	24	3398	34
274	14	28	3283	21
275	14	15	995	21
276	14	30	4114	38
277	15	18	3081	33
278	15	34	2744	35
279	15	28	2118	38
280	15	7	3658	39
281	15	26	3681	21
282	15	15	3816	38
283	15	4	1940	33
284	15	32	1246	23
285	15	29	4020	20
286	15	19	2169	33
287	15	3	2221	24
288	15	2	2403	28
289	15	11	2443	22
290	15	1	1792	26
291	15	9	3228	39
292	15	8	4188	39
293	15	22	1694	26
294	15	33	1107	32
295	15	16	1303	31
296	15	27	1084	22
297	15	25	4877	37
298	15	17	2743	30
299	15	30	1310	33
300	16	3	1772	40
301	16	17	2802	36
302	16	19	1577	35
303	16	20	744	37
304	16	29	3249	26
305	16	30	1096	20
306	16	26	1011	37
307	16	8	2898	37
308	16	31	1225	29
309	16	34	4726	34
310	16	21	971	34
311	16	6	2575	22
312	16	22	580	26
313	16	12	3617	26
314	16	28	4537	38
315	16	7	2317	35
316	17	16	1888	31
317	17	31	1866	39
318	17	28	2118	36
319	17	23	2595	35
320	17	3	1487	32
321	17	15	1356	34
322	17	17	4864	40
323	17	26	2524	40
324	17	11	3369	38
325	17	14	4726	27
326	17	6	3911	22
327	17	4	3313	21
328	17	34	3080	24
329	17	20	871	38
330	17	22	820	23
331	17	32	3945	24
332	17	21	4506	21
333	17	25	4028	39
334	18	17	2886	35
335	18	23	3383	25
336	18	34	2659	27
337	18	5	3644	24
338	18	31	2480	36
339	18	4	2637	26
340	18	9	3790	21
341	18	16	658	32
342	18	27	3004	23
343	18	28	3550	32
344	18	13	2773	40
345	18	26	4452	33
346	18	3	795	30
347	18	1	4784	39
348	18	32	1624	21
349	18	19	2833	31
350	18	10	1348	22
351	18	20	4017	27
352	18	18	1531	21
353	19	14	4695	36
354	19	27	4901	24
355	19	6	3215	25
356	19	1	3365	24
357	19	9	4828	26
358	19	31	4718	22
359	19	15	2448	27
360	19	4	1145	34
361	19	7	2170	31
362	19	26	3387	21
363	19	2	2803	35
364	19	18	1155	24
365	19	21	4354	34
366	19	25	4089	24
367	19	11	2628	26
368	19	34	4324	22
369	19	19	3113	36
370	20	3	2047	23
371	20	25	4893	34
372	20	13	4000	26
373	20	12	2744	40
374	20	1	827	33
375	20	8	2200	27
376	20	22	1915	29
377	20	34	867	38
378	20	32	1016	32
379	20	9	1757	27
380	20	27	530	38
381	20	6	2193	24
382	20	19	3497	22
383	20	17	1999	31
384	20	4	2299	33
385	20	15	4612	38
386	20	7	581	37
387	20	18	4412	30
388	20	20	3920	38
389	20	24	3906	22
390	20	33	4253	28
391	20	30	4714	22
392	21	17	2507	27
393	21	19	4626	30
394	21	14	1192	25
395	21	32	531	24
396	21	16	2057	26
397	21	29	2217	21
398	21	15	4360	27
399	21	26	4905	33
400	21	13	2201	35
401	21	3	514	21
402	21	28	4237	26
403	21	1	959	33
404	21	18	3062	40
405	21	9	3035	39
406	21	31	2609	22
407	21	2	4686	27
408	21	22	4342	33
409	22	20	2336	39
410	22	8	2009	38
411	22	21	613	40
412	22	17	3541	29
413	22	23	1151	26
414	22	3	2733	31
415	22	16	1097	28
416	22	1	1067	31
417	22	5	1991	22
418	22	28	1798	31
419	22	13	1951	31
420	22	19	2843	27
421	22	32	2714	37
422	22	11	3319	40
423	22	6	2520	31
424	23	9	1307	38
425	23	11	3362	29
426	23	5	4412	22
427	23	29	2384	30
428	23	30	4895	32
429	23	25	2551	20
430	23	32	3577	32
431	23	31	3943	34
432	23	10	3163	35
433	23	14	4151	39
434	23	7	4873	23
435	23	1	4337	23
436	23	3	4687	36
437	23	33	3990	27
438	23	34	2836	23
439	24	16	1766	28
440	24	25	3837	35
441	24	27	1110	36
442	24	20	3574	26
443	24	8	3101	36
444	24	18	3864	30
445	24	5	2401	40
446	24	14	2144	32
447	24	28	4107	20
448	24	10	2909	34
449	24	3	2739	25
450	24	2	3442	25
451	24	33	2200	32
452	24	11	2669	27
453	24	17	4436	24
454	24	31	3804	29
455	24	9	1753	31
456	24	4	2176	34
457	25	10	4181	26
458	25	21	4044	30
459	25	34	1804	22
460	25	1	1394	34
461	25	3	3431	32
462	25	4	4221	29
463	25	24	3987	24
464	25	5	3009	22
465	25	13	1919	34
466	25	2	726	24
467	25	33	4933	36
468	25	20	2984	40
469	25	22	3386	32
470	25	15	2811	40
471	25	19	4895	32
472	25	29	2621	31
473	25	28	2250	25
474	25	7	2390	33
475	25	14	878	30
476	25	30	4317	39
477	25	26	4227	26
478	26	14	903	23
479	26	13	2796	38
480	26	11	4931	27
481	26	1	3627	20
482	26	3	594	28
483	26	6	1127	28
484	26	19	3318	27
485	26	10	1376	26
486	26	28	2495	33
487	26	32	3461	39
488	26	5	2189	36
489	26	29	1227	34
490	26	12	3108	35
491	26	33	1533	27
492	26	15	2163	39
493	26	9	4012	26
494	27	15	1048	25
495	27	18	989	29
496	27	10	4216	38
497	27	34	2740	35
498	27	33	4100	33
499	27	3	1111	34
500	27	11	789	34
501	27	8	2711	21
502	27	7	1096	23
503	27	32	1822	28
504	27	31	4162	39
505	27	27	2253	31
506	27	12	3620	21
507	28	8	4773	31
508	28	10	1803	38
509	28	4	1484	28
510	28	7	1290	24
511	28	21	3706	36
512	28	34	892	27
513	28	25	3795	22
514	28	24	3569	37
515	28	17	1359	20
516	28	14	2738	20
517	28	27	2952	24
518	28	3	3743	20
519	28	13	2574	22
520	28	26	2788	20
521	29	1	3401	29
522	29	10	1059	34
523	29	4	4586	35
524	29	29	3612	20
525	29	14	3274	30
526	29	24	3367	36
527	29	33	982	32
528	29	12	1011	38
529	29	15	4901	39
530	29	19	3499	38
531	29	18	2250	20
532	29	16	1018	27
533	29	30	4888	31
534	29	3	3815	28
535	29	25	2131	34
536	29	6	3965	26
537	29	32	1892	22
538	30	16	1330	39
539	30	27	4552	37
540	30	28	4151	30
541	30	9	4248	29
542	30	18	4215	28
543	30	33	4415	24
544	30	3	1068	34
545	30	21	1392	20
546	30	12	3357	27
547	30	25	2026	30
548	30	7	1214	31
549	30	14	2483	40
550	30	8	1664	35
551	30	11	3567	33
552	30	15	4209	38
553	30	4	2505	20
554	30	30	3284	28
555	30	1	3350	33
556	31	26	2850	37
557	31	21	2900	36
558	31	10	3481	31
559	31	22	3511	38
560	31	7	3973	26
561	31	1	1064	31
562	31	14	2293	22
563	31	2	1560	26
564	31	4	1475	29
565	31	6	4379	39
566	31	30	3280	20
567	31	24	3354	40
568	31	28	840	32
569	31	15	1395	40
570	31	11	614	38
571	31	5	3321	31
572	31	3	3040	30
573	32	6	2457	25
574	32	33	1222	21
575	32	25	1750	30
576	32	13	3333	29
577	32	16	1413	21
578	32	29	1404	29
579	32	27	2111	36
580	32	20	3924	22
581	32	32	2090	36
582	32	31	2599	37
583	32	23	4246	40
584	32	30	4632	22
585	32	15	2752	20
586	32	1	690	25
587	32	22	3358	20
588	32	14	2264	38
589	32	19	1751	37
590	32	26	2553	28
591	32	4	3259	21
592	32	2	668	40
593	33	11	3322	26
594	33	21	3821	31
595	33	17	4281	26
596	33	4	1201	32
597	33	9	4543	36
598	33	8	1655	35
599	33	20	1598	37
600	33	26	958	33
601	33	5	3906	21
602	33	15	4725	21
603	33	10	4760	40
604	33	23	3502	40
605	33	31	2440	40
606	33	22	3993	27
607	33	12	3874	27
608	33	1	2243	31
609	33	34	2271	23
610	34	19	1016	20
611	34	12	3057	32
612	34	28	4947	35
613	34	26	2090	37
614	34	33	1484	31
615	34	23	3470	32
616	34	2	3644	21
617	34	18	4587	32
618	34	16	807	28
619	34	5	1357	24
620	34	30	4073	20
621	34	25	2913	29
622	34	8	1298	23
623	34	34	3046	30
624	34	15	1626	37
625	34	13	3921	26
626	35	9	2630	25
627	35	19	2079	24
628	35	11	4081	29
629	35	17	2702	20
630	35	15	1552	33
631	35	27	3616	34
632	35	20	1489	34
633	35	23	700	28
634	35	16	4313	35
635	35	2	1163	31
636	35	33	4866	29
637	35	5	1864	23
638	35	1	2986	35
639	35	22	2820	31
640	35	8	2404	21
641	35	10	2530	25
642	36	34	3224	30
643	36	4	1332	39
644	36	31	2422	32
645	36	7	4603	21
646	36	24	4581	34
647	36	2	4539	23
648	36	15	2506	34
649	36	18	2530	27
650	36	12	2741	24
651	36	3	3533	26
652	36	20	3129	22
653	36	30	584	29
654	36	25	3632	20
655	36	19	2041	39
656	36	29	1054	28
657	37	7	3742	29
658	37	14	3620	31
659	37	30	2776	23
660	37	3	1002	38
661	37	9	2456	36
662	37	8	3167	22
663	37	13	4541	33
664	37	28	3254	37
665	37	4	4206	23
666	37	18	2704	38
667	37	22	1958	29
668	37	20	2615	32
669	37	5	4703	31
670	38	34	3636	37
671	38	5	4049	20
672	38	6	1237	31
673	38	26	1450	36
674	38	8	3484	29
675	38	15	4107	27
676	38	25	2016	31
677	38	1	2561	23
678	38	4	4108	31
679	38	12	4897	20
680	38	27	3076	23
681	38	22	656	39
682	38	17	1497	27
683	38	18	2356	25
684	38	31	3455	32
685	38	32	1648	24
686	38	2	754	35
687	38	13	816	25
688	38	11	769	33
689	38	3	1231	22
690	39	27	3247	34
691	39	34	827	36
692	39	7	4426	37
693	39	29	2243	26
694	39	32	3700	30
695	39	14	2899	29
696	39	10	3007	23
697	39	30	707	30
698	39	16	1370	23
699	39	31	3085	31
700	39	19	842	20
701	39	33	2946	34
702	39	22	4875	40
703	39	21	1426	33
704	39	11	600	36
705	39	3	1568	22
706	39	17	2494	31
707	40	9	4190	22
708	40	12	4072	29
709	40	1	571	39
710	40	18	3484	27
711	40	31	2922	20
712	40	30	4436	24
713	40	13	2117	37
714	40	5	1131	24
715	40	19	2461	27
716	40	4	2815	21
717	40	28	1310	22
718	40	15	4475	34
719	40	6	3943	25
720	40	26	4430	28
721	40	29	4365	28
722	40	11	4984	23
723	40	10	2568	31
724	41	34	4284	37
725	41	32	2716	20
726	41	27	1604	33
727	41	28	1585	37
728	41	1	2958	34
729	41	29	732	24
730	41	22	2275	26
731	41	25	3871	30
732	41	4	812	26
733	41	3	3915	27
734	41	15	3597	39
735	41	11	1882	32
736	41	6	1766	23
737	41	21	1118	22
738	41	23	3405	29
739	42	26	2022	40
740	42	23	2353	31
741	42	20	2593	38
742	42	30	2481	31
743	42	11	3020	23
744	42	10	4188	37
745	42	27	711	26
746	42	14	1232	27
747	42	7	980	28
748	42	5	1136	20
749	42	28	3078	25
750	42	31	2500	28
751	42	21	1326	37
752	42	19	3006	20
753	42	18	3168	29
754	42	22	3920	38
755	42	1	4333	26
756	42	6	4480	32
757	42	29	4044	24
758	42	34	1451	22
759	42	25	3268	23
760	42	9	4042	31
761	43	23	3391	22
762	43	17	2691	20
763	43	31	1603	23
764	43	26	3956	40
765	43	22	1126	25
766	43	3	1614	32
767	43	32	2403	26
768	43	21	838	34
769	43	18	1994	26
770	43	8	1890	26
771	43	2	916	22
772	43	7	4056	21
773	43	15	3774	29
774	43	12	2647	38
775	43	11	3394	29
776	43	25	2952	34
777	43	30	1378	28
778	43	34	1058	40
779	43	16	3542	40
780	44	6	2705	24
781	44	20	646	30
782	44	16	600	20
783	44	1	2698	24
784	44	10	1016	27
785	44	30	3385	21
786	44	2	4039	30
787	44	13	725	36
788	44	29	3641	32
789	44	23	1612	35
790	44	9	3578	27
791	44	14	1151	33
792	44	26	2057	28
793	44	33	3655	36
794	44	18	4325	27
795	44	3	4653	32
796	45	8	518	37
797	45	22	4589	34
798	45	26	4336	21
799	45	32	1261	40
800	45	25	1590	40
801	45	15	1074	34
802	45	17	3874	28
803	45	29	3861	28
804	45	10	3188	26
805	45	7	1748	33
806	45	20	4462	31
807	45	14	3905	22
808	45	30	1619	34
809	45	16	4844	40
810	45	31	3104	21
811	45	24	2380	40
812	46	24	3276	34
813	46	18	2007	32
814	46	20	3876	20
815	46	15	3611	21
816	46	32	4675	33
817	46	28	3177	29
818	46	2	2325	35
819	46	29	2899	33
820	46	22	2963	24
821	46	7	4377	28
822	46	26	3987	37
823	46	21	4504	30
824	46	34	2808	21
825	47	11	4574	27
826	47	33	3473	40
827	47	7	2061	29
828	47	28	4796	21
829	47	23	687	34
830	47	17	1534	29
831	47	25	4813	35
832	47	34	2866	27
833	47	19	2657	30
834	47	16	4318	25
835	47	15	4910	27
836	47	21	620	21
837	47	2	1649	20
838	47	13	2361	21
839	47	30	658	37
840	47	6	2906	40
841	48	19	3761	24
842	48	16	982	28
843	48	5	1389	22
844	48	6	3264	29
845	48	10	4854	40
846	48	22	1595	40
847	48	26	2517	25
848	48	13	4019	39
849	48	8	1013	25
850	48	9	3602	25
851	48	21	4422	34
852	48	14	4911	35
853	48	30	3367	20
854	48	18	4729	20
855	48	4	3502	28
856	48	29	2134	37
857	49	13	3696	39
858	49	6	4943	36
859	49	8	3855	20
860	49	22	4179	20
861	49	9	1122	38
862	49	30	2400	36
863	49	1	3531	27
864	49	5	2707	21
865	49	29	925	23
866	49	14	4995	31
867	49	25	3128	25
868	49	11	2342	25
869	49	34	4978	25
870	49	16	1128	30
871	49	18	2784	21
872	49	21	1895	28
873	50	21	1519	38
874	50	17	2708	40
875	50	25	658	29
876	50	28	3943	37
877	50	11	3389	27
878	50	29	3372	35
879	50	16	809	25
880	50	23	1429	34
881	50	2	2037	29
882	50	12	4630	33
883	50	19	3854	38
884	50	22	1167	23
885	50	34	4884	33
886	50	27	1672	37
887	50	14	3948	33
888	50	31	4483	22
889	50	7	3430	27
890	50	3	786	39
891	51	24	2552	27
892	51	20	1086	40
893	51	23	3875	26
894	51	9	3770	30
895	51	27	2752	30
896	51	26	1406	28
897	51	34	2290	22
898	51	33	589	36
899	51	4	1219	36
900	51	17	3364	23
901	51	22	4426	27
902	51	29	4785	40
903	51	7	4019	27
904	52	19	1421	37
905	52	24	1859	24
906	52	15	2784	30
907	52	11	2217	30
908	52	28	2826	39
909	52	29	2830	22
910	52	13	4388	20
911	52	22	4946	25
912	52	33	4129	25
913	52	31	2725	26
914	52	30	916	35
915	52	23	1775	28
916	52	9	4107	31
917	52	3	2365	36
918	52	12	3233	37
919	53	3	3336	23
920	53	15	3290	23
921	53	7	1782	35
922	53	12	3522	38
923	53	22	3401	36
924	53	25	3387	33
925	53	11	4215	27
926	53	5	2599	22
927	53	29	2502	34
928	53	19	1721	37
929	53	18	2430	26
930	53	13	4166	28
931	53	23	4815	32
932	53	14	2122	36
933	53	21	2214	25
934	53	33	3571	35
935	54	23	3239	36
936	54	31	4486	29
937	54	22	3521	21
938	54	15	3747	39
939	54	4	4610	22
940	54	16	533	29
941	54	29	1713	33
942	54	28	3236	20
943	54	13	661	40
944	54	1	3303	25
945	54	30	732	21
946	54	7	3433	39
947	54	5	546	30
948	54	18	2721	23
949	54	33	4175	30
950	54	11	1076	25
951	54	34	2166	32
952	54	9	4468	30
953	55	21	3193	31
954	55	29	1752	31
955	55	26	2430	33
956	55	5	2425	40
957	55	24	588	39
958	55	30	1257	31
959	55	3	2576	39
960	55	1	872	35
961	55	17	3657	36
962	55	10	2728	31
963	55	7	2695	34
964	55	16	1992	23
965	55	15	4776	36
966	55	4	3083	25
967	55	28	2272	35
968	55	8	896	37
969	55	27	2424	29
970	55	31	1552	27
971	56	15	1373	25
972	56	21	4984	37
973	56	3	2494	20
974	56	25	2345	34
975	56	28	3748	38
976	56	31	4486	28
977	56	10	2907	29
978	56	18	4470	21
979	56	20	4861	26
980	56	14	2932	34
981	56	8	2353	24
982	56	4	3298	27
983	56	33	3517	30
984	56	23	2002	20
985	56	30	4678	21
986	56	11	4960	34
987	56	16	1613	25
988	57	8	3141	27
989	57	34	4225	23
990	57	20	3438	24
991	57	26	2475	35
992	57	9	3625	29
993	57	19	3409	23
994	57	22	1975	21
995	57	33	4641	23
996	57	29	2371	22
997	57	31	4615	26
998	57	30	3177	27
999	57	7	3951	25
1000	57	12	3522	38
1001	57	4	528	22
1002	57	15	2562	27
1003	57	1	2508	30
1004	57	6	3675	33
1005	57	28	1380	35
1006	57	11	3092	23
1007	58	9	3476	27
1008	58	7	4023	30
1009	58	33	3961	33
1010	58	15	1077	32
1011	58	34	3589	24
1012	58	26	2184	31
1013	58	8	2725	38
1014	58	18	3582	29
1015	58	24	3433	31
1016	58	27	3118	24
1017	58	25	4921	25
1018	58	11	1951	40
1019	58	10	1105	39
1020	59	24	2505	21
1021	59	28	4631	40
1022	59	17	1823	21
1023	59	10	1164	27
1024	59	16	1811	25
1025	59	7	2791	22
1026	59	2	2771	39
1027	59	9	1663	20
1028	59	11	769	35
1029	59	15	1010	35
1030	59	29	2921	40
1031	59	18	1083	21
1032	59	1	4055	28
1033	59	13	2212	30
1034	59	14	4796	23
1035	59	31	2812	21
1036	59	21	4463	36
1037	59	33	1228	32
1038	59	4	2229	28
1039	59	30	585	24
1040	59	22	1040	29
1041	60	13	4466	38
1042	60	8	611	32
1043	60	2	4158	37
1044	60	18	2048	27
1045	60	7	1634	33
1046	60	26	722	36
1047	60	9	4236	28
1048	60	17	2407	28
1049	60	16	4859	38
1050	60	1	4246	39
1051	60	21	3642	36
1052	60	6	2775	36
1053	60	15	988	26
1054	60	3	1486	29
1055	60	23	4724	27
1056	61	21	932	38
1057	61	18	2614	26
1058	61	3	3843	33
1059	61	4	4088	22
1060	61	15	4956	36
1061	61	20	4551	30
1062	61	32	3749	40
1063	61	16	3978	21
1064	61	6	4138	37
1065	61	19	2912	34
1066	61	14	3551	24
1067	61	26	1606	32
1068	61	27	4743	29
1069	61	23	4712	23
1070	61	2	4353	21
1071	61	25	1994	28
1072	62	21	821	24
1073	62	5	2988	39
1074	62	12	2061	22
1075	62	8	1462	24
1076	62	11	4246	39
1077	62	30	1039	31
1078	62	15	4628	36
1079	62	17	3431	21
1080	62	2	3308	28
1081	62	20	3391	32
1082	62	4	1149	34
1083	62	34	3985	20
1084	62	28	1863	30
1085	62	22	2064	40
1086	62	18	3395	39
1087	62	7	2192	28
1088	63	4	2797	40
1089	63	33	1273	25
1090	63	27	2764	36
1091	63	15	2643	23
1092	63	8	3092	30
1093	63	22	3350	37
1094	63	29	4545	26
1095	63	24	2418	27
1096	63	10	3219	37
1097	63	18	3513	32
1098	63	5	4111	21
1099	63	9	1110	26
1100	63	21	4414	25
1101	63	26	1060	29
1102	63	17	4281	34
1103	63	32	1443	34
1104	63	3	4615	26
1105	64	33	3957	38
1106	64	21	1579	31
1107	64	23	3018	30
1108	64	20	3222	28
1109	64	29	2387	22
1110	64	15	870	27
1111	64	19	4869	26
1112	64	24	2771	39
1113	64	11	2654	38
1114	64	28	2443	37
1115	64	31	4565	29
1116	64	3	1795	24
1117	64	4	886	35
1118	64	2	1854	28
1119	64	30	616	30
1120	64	22	2193	28
1121	65	3	1877	35
1122	65	16	2455	40
1123	65	5	2396	31
1124	65	6	4144	31
1125	65	9	2947	20
1126	65	1	2696	24
1127	65	14	1434	31
1128	65	23	3290	34
1129	65	21	734	21
1130	65	7	4345	40
1131	65	8	2130	30
1132	65	33	4513	39
1133	65	20	3553	30
1134	65	13	2774	37
1135	65	11	1893	33
1136	65	32	978	28
1137	65	27	4853	31
1138	65	29	1797	40
1139	65	18	1323	35
1140	66	16	1140	36
1141	66	27	4625	29
1142	66	30	1337	35
1143	66	13	3807	35
1144	66	26	1233	35
1145	66	5	4449	28
1146	66	14	4192	40
1147	66	4	4579	33
1148	66	20	796	32
1149	66	1	707	40
1150	66	9	3958	29
1151	66	8	1393	37
1152	66	17	4115	29
1153	66	24	4895	31
1154	66	10	3894	27
1155	66	23	2057	24
1156	66	31	4731	22
1157	66	19	1546	35
1158	66	25	2929	29
1159	67	26	1770	29
1160	67	1	3848	21
1161	67	12	1781	27
1162	67	24	3840	26
1163	67	3	1249	27
1164	67	28	1480	38
1165	67	4	4482	24
1166	67	5	1182	38
1167	67	34	2474	28
1168	67	29	4738	30
1169	67	11	602	40
1170	67	18	2155	30
1171	67	22	4271	39
1172	67	13	2355	30
1173	67	23	3430	33
1174	68	22	3958	30
1175	68	19	1791	28
1176	68	31	3319	21
1177	68	29	4965	22
1178	68	8	3154	31
1179	68	32	1199	26
1180	68	9	1484	26
1181	68	2	1066	23
1182	68	10	614	38
1183	68	5	3333	36
1184	68	28	2869	25
1185	68	27	3719	22
1186	68	14	1530	32
1187	68	3	1566	40
1188	68	7	1315	29
1189	68	34	3202	23
1190	68	1	3115	35
1191	68	26	2015	29
1192	68	18	4712	38
1193	68	33	2470	30
1194	69	12	1560	22
1195	69	25	3793	24
1196	69	28	4679	33
1197	69	14	4457	22
1198	69	6	2206	31
1199	69	19	4454	22
1200	69	4	3486	25
1201	69	26	4249	24
1202	69	23	2456	25
1203	69	13	3123	27
1204	69	24	2256	30
1205	69	30	3225	31
1206	69	7	2116	20
1207	69	5	4360	37
1208	69	3	1208	40
1209	69	1	4307	30
1210	70	19	877	25
1211	70	31	830	37
1212	70	4	3654	28
1213	70	25	2626	26
1214	70	18	4418	39
1215	70	1	2163	31
1216	70	12	2632	29
1217	70	32	4146	29
1218	70	22	3779	40
1219	70	2	2674	26
1220	70	5	2727	35
1221	70	11	2173	40
1222	70	30	1389	22
1223	70	33	3113	34
1224	70	23	4598	33
1225	70	6	4254	31
1226	70	14	4996	27
1227	71	13	1312	34
1228	71	32	4642	29
1229	71	8	4256	29
1230	71	27	2387	32
1231	71	25	3428	34
1232	71	4	1776	29
1233	71	7	4705	22
1234	71	19	2835	20
1235	71	33	1599	37
1236	71	2	3335	23
1237	71	23	2898	31
1238	71	30	1962	24
1239	71	24	4704	28
1240	71	29	3950	22
1241	71	21	2245	36
1242	71	5	2199	22
1243	71	20	1635	32
1244	71	14	3647	35
1245	71	31	3520	20
1246	72	3	1109	26
1247	72	23	2049	30
1248	72	33	3281	22
1249	72	26	4271	27
1250	72	34	1838	34
1251	72	5	1632	29
1252	72	15	4733	30
1253	72	12	3791	39
1254	72	27	2621	40
1255	72	22	4688	38
