s_no	u_no	f_no	s_date	s_quantity
252	60	4314	2022-01-25	5
253	79	3484	2022-01-25	2
254	99	3013	2022-01-25	7
255	104	3970	2022-01-25	5
256	126	1974	2022-01-25	6
257	136	141	2022-01-25	6
258	138	609	2022-01-25	1
259	144	848	2022-01-25	5
260	146	249	2022-01-25	1
261	146	192	2022-01-25	6
262	200	1154	2022-01-25	1
263	3	3085	2022-01-26	1
264	7	4181	2022-01-26	1
265	105	2442	2022-01-26	8
266	135	735	2022-01-26	1
267	149	24	2022-01-26	3
268	169	1028	2022-01-26	7
269	172	693	2022-01-26	10
270	179	372	2022-01-26	5
271	183	868	2022-01-26	3
272	201	218	2022-01-26	10
273	17	3086	2022-01-27	2
274	23	2296	2022-01-27	8
275	25	3265	2022-01-27	2
276	26	3081	2022-01-27	5
277	36	2167	2022-01-27	4
278	63	2921	2022-01-27	2
279	70	2874	2022-01-27	1
280	73	3193	2022-01-27	3
281	144	1183	2022-01-27	5
282	177	1485	2022-01-27	1
283	3	4191	2022-01-28	5
284	12	2367	2022-01-28	3
285	29	3950	2022-01-28	10
286	36	3861	2022-01-28	2
287	54	2810	2022-01-28	10
288	71	2674	2022-01-28	1
289	72	2551	2022-01-28	9
290	102	2209	2022-01-28	3
291	104	3225	2022-01-28	7
292	128	1278	2022-01-28	1
293	139	1028	2022-01-28	6
294	145	850	2022-01-28	8
295	150	1350	2022-01-28	10
296	152	1692	2022-01-28	5
297	171	1394	2022-01-28	7
298	178	1425	2022-01-28	10
299	226	607	2022-01-28	10
300	9	2917	2022-01-29	10
301	13	2395	2022-01-29	6
302	74	3400	2022-01-29	6
303	80	2684	2022-01-29	7
304	90	3656	2022-01-29	1
305	143	1844	2022-01-29	5
306	169	1879	2022-01-29	9
307	188	303	2022-01-29	8
308	189	1501	2022-01-29	6
309	201	1880	2022-01-29	10
310	207	1555	2022-01-29	2
311	3	2943	2022-01-30	5
312	23	2788	2022-01-30	9
313	106	2167	2022-01-30	8
314	114	4114	2022-01-30	1
315	115	2355	2022-01-30	4
316	120	3257	2022-01-30	10
317	182	1427	2022-01-30	6
318	190	1262	2022-01-30	3
319	211	308	2022-01-30	5
320	1	3531	2022-01-31	10
321	26	4249	2022-01-31	4
322	29	4193	2022-01-31	8
323	128	247	2022-01-31	6
324	172	930	2022-01-31	2
325	193	673	2022-01-31	5
326	224	478	2022-01-31	10
327	3	3392	2022-02-01	7
328	29	2645	2022-02-01	8
329	67	3062	2022-02-01	2
330	95	3219	2022-02-01	2
331	103	4220	2022-02-01	3
332	111	2725	2022-02-01	7
333	129	2056	2022-02-01	6
334	149	12	2022-02-01	7
335	169	1774	2022-02-01	10
336	193	142	2022-02-01	9
337	3	4135	2022-02-02	9
338	7	3304	2022-02-02	4
339	25	3582	2022-02-02	4
340	33	3707	2022-02-02	10
341	53	3762	2022-02-02	3
342	68	2677	2022-02-02	3
343	104	2442	2022-02-02	8
344	110	2293	2022-02-02	10
345	110	2922	2022-02-02	2
346	137	42	2022-02-02	2
347	157	1745	2022-02-02	3
348	165	1363	2022-02-02	7
349	180	1382	2022-02-02	2
350	218	1648	2022-02-02	1
351	5	3593	2022-02-03	10
352	20	3973	2022-02-03	7
353	112	3604	2022-02-03	7
354	147	157	2022-02-03	7
355	181	1545	2022-02-03	5
356	196	2086	2022-02-03	2
357	197	1697	2022-02-03	6
358	204	964	2022-02-03	8
359	212	1934	2022-02-03	6
360	37	4119	2022-02-04	2
361	48	2558	2022-02-04	3
362	57	2832	2022-02-04	9
363	61	3541	2022-02-04	5
364	86	2741	2022-02-04	10
365	150	981	2022-02-04	7
366	158	1607	2022-02-04	9
367	177	1115	2022-02-04	6
368	230	1355	2022-02-04	6
369	4	2686	2022-02-05	9
370	34	3525	2022-02-05	3
371	36	2898	2022-02-05	4
372	44	2466	2022-02-05	3
373	93	2456	2022-02-05	10
374	129	1993	2022-02-05	3
375	147	352	2022-02-05	9
376	149	879	2022-02-05	3
377	156	244	2022-02-05	4
378	177	1813	2022-02-05	4
379	179	554	2022-02-05	10
380	180	1934	2022-02-05	2
381	185	2101	2022-02-05	2
382	193	262	2022-02-05	2
383	196	777	2022-02-05	2
384	211	2086	2022-02-05	7
385	212	1351	2022-02-05	7
386	228	1348	2022-02-05	1
387	8	3026	2022-02-06	7
388	9	3334	2022-02-06	3
389	28	3318	2022-02-06	2
390	67	4053	2022-02-06	1
391	79	4368	2022-02-06	2
392	91	3985	2022-02-06	5
393	95	3386	2022-02-06	5
394	136	2057	2022-02-06	10
395	147	1376	2022-02-06	2
396	179	1929	2022-02-06	2
397	189	1570	2022-02-06	10
398	197	1676	2022-02-06	10
399	208	1524	2022-02-06	3
400	215	800	2022-02-06	8
401	224	1940	2022-02-06	1
402	225	1453	2022-02-06	6
403	14	3440	2022-02-07	5
404	17	2808	2022-02-07	9
405	20	2209	2022-02-07	1
406	27	4308	2022-02-07	9
407	81	2976	2022-02-07	6
408	89	2914	2022-02-07	6
409	114	4151	2022-02-07	3
410	132	567	2022-02-07	3
411	139	510	2022-02-07	10
412	140	1738	2022-02-07	9
413	147	627	2022-02-07	1
414	152	356	2022-02-07	10
415	157	755	2022-02-07	9
416	165	497	2022-02-07	3
417	205	1954	2022-02-07	4
418	231	2051	2022-02-07	6
419	9	4005	2022-02-08	3
420	9	3006	2022-02-08	2
421	37	3693	2022-02-08	10
422	75	3222	2022-02-08	8
423	87	2252	2022-02-08	9
424	126	1214	2022-02-08	6
425	126	839	2022-02-08	3
426	139	681	2022-02-08	4
427	170	892	2022-02-08	9
428	185	1628	2022-02-08	1
429	194	1817	2022-02-08	4
430	196	1916	2022-02-08	5
431	210	1363	2022-02-08	6
432	218	1498	2022-02-08	6
433	220	843	2022-02-08	7
434	232	2033	2022-02-08	10
435	31	2265	2022-02-09	7
436	75	2756	2022-02-09	8
437	92	4116	2022-02-09	6
438	93	3031	2022-02-09	2
439	116	3053	2022-02-09	3
440	140	1972	2022-02-09	7
441	185	1723	2022-02-09	2
442	1	3854	2022-02-10	1
443	57	4267	2022-02-10	9
444	58	2891	2022-02-10	8
445	76	4306	2022-02-10	3
446	140	201	2022-02-10	4
447	151	760	2022-02-10	8
448	205	817	2022-02-10	7
449	34	2280	2022-02-11	2
450	59	3416	2022-02-11	3
451	66	2756	2022-02-11	5
452	89	4197	2022-02-11	9
453	90	4280	2022-02-11	9
454	108	3480	2022-02-11	9
455	117	2895	2022-02-11	1
456	119	2496	2022-02-11	3
457	128	884	2022-02-11	2
458	148	2135	2022-02-11	6
459	175	1993	2022-02-11	1
460	200	615	2022-02-11	2
461	201	1213	2022-02-11	6
462	204	664	2022-02-11	6
463	217	528	2022-02-11	8
464	226	1210	2022-02-11	1
465	38	3001	2022-02-12	5
466	39	3387	2022-02-12	1
467	59	3477	2022-02-12	8
468	79	4192	2022-02-12	1
469	80	2570	2022-02-12	1
470	134	854	2022-02-12	7
471	156	375	2022-02-12	8
472	159	16	2022-02-12	5
473	163	464	2022-02-12	3
474	197	1205	2022-02-12	6
475	221	1768	2022-02-12	3
476	228	1926	2022-02-12	5
477	13	2313	2022-02-13	10
478	15	4260	2022-02-13	4
479	43	3251	2022-02-13	6
480	52	3111	2022-02-13	7
481	75	2431	2022-02-13	5
482	110	2788	2022-02-13	2
483	140	264	2022-02-13	1
484	179	4	2022-02-13	7
485	184	911	2022-02-13	3
486	216	433	2022-02-13	10
487	18	3284	2022-02-14	7
488	76	2404	2022-02-14	9
489	111	3720	2022-02-14	5
490	117	4343	2022-02-14	6
491	135	33	2022-02-14	6
492	175	1062	2022-02-14	8
493	175	2103	2022-02-14	3
494	187	1943	2022-02-14	8
495	191	356	2022-02-14	6
496	212	146	2022-02-14	7
497	220	1271	2022-02-14	2
498	224	1649	2022-02-14	9
499	4	3902	2022-02-15	8
500	33	4070	2022-02-15	7
501	70	4361	2022-02-15	4
502	70	2185	2022-02-15	2
503	153	879	2022-02-15	8
504	159	2115	2022-02-15	9
505	163	880	2022-02-15	5
506	189	919	2022-02-15	4
507	9	3012	2022-02-16	10
508	28	2175	2022-02-16	6
509	37	3587	2022-02-16	7
510	40	2657	2022-02-16	10
511	76	3636	2022-02-16	2
512	76	4353	2022-02-16	6
513	79	2437	2022-02-16	7
514	81	4321	2022-02-16	9
515	133	1533	2022-02-16	8
516	158	207	2022-02-16	10
517	167	680	2022-02-16	6
518	201	595	2022-02-16	5
519	207	1485	2022-02-16	6
520	7	3760	2022-02-17	1
521	22	3381	2022-02-17	2
522	27	2454	2022-02-17	10
523	28	4372	2022-02-17	3
524	42	2668	2022-02-17	5
525	65	3723	2022-02-17	10
526	65	2707	2022-02-17	1
527	73	4380	2022-02-17	4
528	90	3366	2022-02-17	1
529	102	3244	2022-02-17	5
530	124	4242	2022-02-17	4
531	154	1981	2022-02-17	1
532	173	488	2022-02-17	4
533	183	935	2022-02-17	9
534	199	232	2022-02-17	6
535	93	3021	2022-02-18	1
536	110	3034	2022-02-18	9
537	130	2074	2022-02-18	10
538	143	1895	2022-02-18	5
539	147	1969	2022-02-18	4
540	163	1049	2022-02-18	7
541	207	1260	2022-02-18	8
542	210	1952	2022-02-18	9
543	215	165	2022-02-18	4
544	223	1462	2022-02-18	6
545	22	2423	2022-02-19	5
546	24	3301	2022-02-19	2
547	43	2472	2022-02-19	2
548	66	2477	2022-02-19	7
549	80	4280	2022-02-19	3
550	109	3399	2022-02-19	7
551	117	2421	2022-02-19	1
552	121	3134	2022-02-19	7
553	122	3908	2022-02-19	2
554	146	1576	2022-02-19	4
555	157	413	2022-02-19	4
556	197	1130	2022-02-19	8
557	209	633	2022-02-19	9
558	210	1116	2022-02-19	6
559	228	1913	2022-02-19	1
560	11	2375	2022-02-20	10
561	12	4390	2022-02-20	8
562	27	3730	2022-02-20	6
563	78	2521	2022-02-20	10
564	96	2201	2022-02-20	9
565	113	3589	2022-02-20	1
566	172	1538	2022-02-20	2
567	189	1361	2022-02-20	5
568	209	2080	2022-02-20	3
569	215	1733	2022-02-20	10
570	29	2215	2022-02-21	3
571	68	2359	2022-02-21	6
572	73	3892	2022-02-21	10
573	81	3191	2022-02-21	8
574	100	2532	2022-02-21	9
575	165	320	2022-02-21	7
576	183	235	2022-02-21	3
577	223	59	2022-02-21	6
578	11	2444	2022-02-22	2
579	12	2820	2022-02-22	7
580	25	2854	2022-02-22	10
581	29	3294	2022-02-22	8
582	33	4192	2022-02-22	6
583	44	3472	2022-02-22	6
584	72	3896	2022-02-22	1
585	120	4222	2022-02-22	5
586	126	176	2022-02-22	2
587	133	1550	2022-02-22	3
588	169	1952	2022-02-22	3
589	177	1091	2022-02-22	8
590	178	40	2022-02-22	7
591	194	2042	2022-02-22	5
592	224	639	2022-02-22	4
593	231	1267	2022-02-22	1
594	47	2264	2022-02-23	2
595	54	4020	2022-02-23	7
596	70	2878	2022-02-23	10
597	88	3764	2022-02-23	10
598	100	2455	2022-02-23	6
599	112	3536	2022-02-23	2
600	130	776	2022-02-23	2
601	156	1504	2022-02-23	2
602	172	558	2022-02-23	7
603	177	1033	2022-02-23	5
604	182	1879	2022-02-23	3
605	183	1238	2022-02-23	3
606	192	679	2022-02-23	3
607	213	320	2022-02-23	2
608	58	3897	2022-02-24	1
609	63	3207	2022-02-24	2
610	66	2372	2022-02-24	1
611	104	2163	2022-02-24	9
612	111	3540	2022-02-24	7
613	121	3888	2022-02-24	4
614	179	656	2022-02-24	4
615	185	588	2022-02-24	8
616	187	1921	2022-02-24	2
617	200	1793	2022-02-24	4
618	203	1329	2022-02-24	4
619	206	1365	2022-02-24	10
620	218	1155	2022-02-24	8
621	11	3120	2022-02-25	4
622	28	2548	2022-02-25	3
623	47	2172	2022-02-25	9
624	56	3939	2022-02-25	1
625	67	3358	2022-02-25	9
626	94	3601	2022-02-25	5
627	133	992	2022-02-25	4
628	233	707	2022-02-25	4
629	46	3831	2022-02-26	10
630	86	3390	2022-02-26	3
631	87	3940	2022-02-26	6
632	114	3992	2022-02-26	5
633	166	1668	2022-02-26	2
634	203	1486	2022-02-26	5
635	226	871	2022-02-26	2
636	16	3179	2022-02-27	4
637	25	2480	2022-02-27	10
638	70	3151	2022-02-27	4
639	70	4359	2022-02-27	6
640	88	3648	2022-02-27	9
641	97	3114	2022-02-27	9
642	116	3828	2022-02-27	8
643	116	4331	2022-02-27	3
644	120	3766	2022-02-27	1
645	128	886	2022-02-27	2
646	161	1810	2022-02-27	10
647	165	1646	2022-02-27	10
648	233	1460	2022-02-27	2
649	38	3431	2022-02-28	1
650	77	2962	2022-02-28	5
651	81	2964	2022-02-28	5
652	138	2092	2022-02-28	7
653	152	1923	2022-02-28	3
654	189	1428	2022-02-28	3
655	216	1107	2022-02-28	9
656	8	2231	2022-03-01	7
657	23	3197	2022-03-01	2
658	62	2179	2022-03-01	4
659	92	3428	2022-03-01	1
660	139	821	2022-03-01	6
661	157	1009	2022-03-01	10
662	164	1302	2022-03-01	4
663	210	968	2022-03-01	6
664	225	1790	2022-03-01	8
665	1	3539	2022-03-02	9
666	32	3728	2022-03-02	8
667	36	4149	2022-03-02	6
668	44	2568	2022-03-02	10
669	54	3600	2022-03-02	2
670	92	3860	2022-03-02	10
671	96	3994	2022-03-02	4
672	108	3685	2022-03-02	4
673	109	3131	2022-03-02	2
674	110	2756	2022-03-02	7
675	127	302	2022-03-02	6
676	127	1092	2022-03-02	5
677	139	457	2022-03-02	10
678	142	2066	2022-03-02	10
679	175	532	2022-03-02	8
680	176	1482	2022-03-02	2
681	201	2052	2022-03-02	5
682	5	3173	2022-03-03	2
683	11	4286	2022-03-03	10
684	26	3662	2022-03-03	6
685	27	2277	2022-03-03	6
686	88	3032	2022-03-03	7
687	138	1579	2022-03-03	2
688	150	1969	2022-03-03	8
689	166	986	2022-03-03	10
690	190	1288	2022-03-03	2
691	195	791	2022-03-03	2
692	203	459	2022-03-03	6
693	206	1581	2022-03-03	7
694	218	654	2022-03-03	3
695	222	128	2022-03-03	10
696	228	1426	2022-03-03	3
697	232	759	2022-03-03	9
698	34	3603	2022-03-04	3
699	37	2321	2022-03-04	7
700	39	3827	2022-03-04	9
701	43	4146	2022-03-04	5
702	61	3924	2022-03-04	8
703	67	2238	2022-03-04	6
704	67	2942	2022-03-04	8
705	86	3500	2022-03-04	3
706	102	2309	2022-03-04	3
707	107	3396	2022-03-04	2
708	107	4239	2022-03-04	3
709	115	3261	2022-03-04	8
710	129	899	2022-03-04	2
711	162	800	2022-03-04	8
712	189	1723	2022-03-04	7
713	194	2146	2022-03-04	1
714	202	420	2022-03-04	8
715	208	830	2022-03-04	6
716	28	2437	2022-03-05	2
717	46	2594	2022-03-05	5
718	92	4180	2022-03-05	4
719	97	2225	2022-03-05	2
720	109	3024	2022-03-05	8
721	159	682	2022-03-05	5
722	180	228	2022-03-05	7
723	189	1560	2022-03-05	5
724	75	2322	2022-03-06	8
725	87	2943	2022-03-06	2
726	103	3061	2022-03-06	1
727	114	3412	2022-03-06	2
728	123	2885	2022-03-06	7
729	126	1728	2022-03-06	9
730	132	1451	2022-03-06	2
731	147	1000	2022-03-06	9
732	191	551	2022-03-06	1
733	197	1720	2022-03-06	8
734	21	3705	2022-03-07	7
735	27	2775	2022-03-07	6
736	32	4336	2022-03-07	9
737	39	2516	2022-03-07	2
738	72	3223	2022-03-07	7
739	93	4349	2022-03-07	7
740	119	3746	2022-03-07	7
741	125	1473	2022-03-07	2
742	155	806	2022-03-07	4
743	163	613	2022-03-07	6
744	164	92	2022-03-07	4
745	181	1980	2022-03-07	3
746	199	831	2022-03-07	3
747	230	1752	2022-03-07	7
748	231	2059	2022-03-07	7
749	9	3154	2022-03-08	4
750	13	3249	2022-03-08	9
751	96	4308	2022-03-08	5
752	100	3619	2022-03-08	9
753	101	3826	2022-03-08	7
754	112	2328	2022-03-08	6
755	113	4215	2022-03-08	4
756	134	2093	2022-03-08	6
757	179	1466	2022-03-08	9
758	193	455	2022-03-08	2
759	211	170	2022-03-08	3
760	28	2192	2022-03-09	9
761	75	3978	2022-03-09	2
762	90	4235	2022-03-09	10
763	110	3440	2022-03-09	3
764	147	589	2022-03-09	7
765	177	598	2022-03-09	9
766	182	1200	2022-03-09	4
767	210	885	2022-03-09	10
768	210	1226	2022-03-09	4
769	232	422	2022-03-09	3
770	1	3151	2022-03-10	7
771	10	3979	2022-03-10	4
772	43	2561	2022-03-10	3
773	83	2752	2022-03-10	5
774	145	326	2022-03-10	7
775	156	414	2022-03-10	4
776	167	1861	2022-03-10	9
777	170	1185	2022-03-10	2
778	214	821	2022-03-10	9
779	222	341	2022-03-10	6
780	232	1276	2022-03-10	5
781	10	3871	2022-03-11	3
782	26	4316	2022-03-11	10
783	27	3073	2022-03-11	7
784	54	3714	2022-03-11	1
785	56	3462	2022-03-11	1
786	65	3653	2022-03-11	3
787	76	2697	2022-03-11	2
788	134	1265	2022-03-11	3
789	145	1931	2022-03-11	5
790	161	607	2022-03-11	5
791	162	481	2022-03-11	7
792	178	675	2022-03-11	6
793	178	1053	2022-03-11	6
794	191	966	2022-03-11	8
795	9	2830	2022-03-12	3
796	17	2326	2022-03-12	4
797	22	4351	2022-03-12	7
798	80	2638	2022-03-12	9
799	88	3131	2022-03-12	6
800	113	4304	2022-03-12	5
801	138	66	2022-03-12	3
802	148	1497	2022-03-12	2
803	179	1907	2022-03-12	2
804	209	649	2022-03-12	4
805	223	740	2022-03-12	2
806	226	1471	2022-03-12	5
807	18	3009	2022-03-13	4
808	42	3037	2022-03-13	3
809	50	2782	2022-03-13	4
810	109	3516	2022-03-13	9
811	120	2514	2022-03-13	10
812	132	989	2022-03-13	6
813	141	1639	2022-03-13	8
814	155	1016	2022-03-13	7
815	169	376	2022-03-13	9
816	170	1756	2022-03-13	9
817	206	1699	2022-03-13	4
818	1	2875	2022-03-14	10
819	10	3253	2022-03-14	6
820	52	2509	2022-03-14	6
821	74	4075	2022-03-14	6
822	104	4135	2022-03-14	5
823	114	2327	2022-03-14	9
824	135	904	2022-03-14	4
825	140	780	2022-03-14	1
826	146	1546	2022-03-14	6
827	146	9	2022-03-14	2
828	167	1179	2022-03-14	8
829	191	77	2022-03-14	6
830	191	2088	2022-03-14	5
831	29	2492	2022-03-15	8
832	30	3391	2022-03-15	10
833	47	2830	2022-03-15	1
834	50	3660	2022-03-15	2
835	83	3167	2022-03-15	1
836	145	127	2022-03-15	9
837	145	2124	2022-03-15	4
838	154	2048	2022-03-15	9
839	179	465	2022-03-15	1
840	206	902	2022-03-15	9
841	224	1737	2022-03-15	4
842	30	4347	2022-03-16	9
843	34	3396	2022-03-16	9
844	113	3829	2022-03-16	3
845	116	3240	2022-03-16	3
846	158	826	2022-03-16	7
847	159	146	2022-03-16	6
848	173	197	2022-03-16	7
849	219	113	2022-03-16	2
850	228	904	2022-03-16	1
851	26	3824	2022-03-17	6
852	31	2178	2022-03-17	4
853	64	3147	2022-03-17	6
854	69	4221	2022-03-17	2
855	72	4264	2022-03-17	4
856	97	2457	2022-03-17	1
857	118	2274	2022-03-17	2
858	130	421	2022-03-17	3
859	167	1225	2022-03-17	8
860	169	1089	2022-03-17	6
861	211	272	2022-03-17	4
862	13	4152	2022-03-18	3
863	46	4083	2022-03-18	6
864	55	4203	2022-03-18	5
865	56	3771	2022-03-18	2
866	99	3007	2022-03-18	2
867	201	1001	2022-03-18	9
868	206	1945	2022-03-18	6
869	216	1875	2022-03-18	6
870	9	2358	2022-03-19	3
871	11	3682	2022-03-19	7
872	15	3697	2022-03-19	8
873	16	4264	2022-03-19	10
874	22	2328	2022-03-19	6
875	74	4199	2022-03-19	4
876	96	2941	2022-03-19	5
877	101	4187	2022-03-19	3
878	143	1903	2022-03-19	2
879	187	58	2022-03-19	3
880	191	543	2022-03-19	8
881	26	2598	2022-03-20	7
882	73	3803	2022-03-20	9
883	74	3969	2022-03-20	5
884	77	3316	2022-03-20	6
885	97	3632	2022-03-20	10
