w_day	w_temperature	w_humidity	w_state
2022-04-25	20	46	1
2022-04-26	18	23	1
2022-04-27	22	92	3
2022-04-28	21	33	1
2022-04-29	17	64	2
2022-04-30	17	41	1
2022-05-01	21	70	2
2022-05-02	17	66	2
2022-05-03	16	39	1
2022-05-04	15	69	2
2022-05-05	23	73	2
2022-05-06	25	94	3
2022-05-07	18	26	1
2022-05-08	18	25	1
2022-05-09	20	72	2
2022-05-10	16	94	3
2022-05-11	25	19	1
2022-05-12	20	81	3
2022-05-13	16	10	1
2022-05-14	24	37	1
2022-05-15	22	15	1
2022-05-16	22	96	3
2022-05-17	26	20	1
2022-05-18	21	77	2
2022-05-19	24	26	1
2022-05-20	18	46	1
2022-05-21	24	65	2
2022-05-22	18	44	1
2022-05-23	20	97	3
2022-05-24	18	72	2
2022-05-25	20	87	3
2022-05-26	22	33	1
2022-05-27	19	31	1
2022-05-28	18	50	2
2022-05-29	26	33	1
2022-05-30	21	36	1
2022-05-31	25	15	1
2022-06-01	26	69	2
2022-06-02	23	57	2
2022-06-03	19	68	2
2022-06-04	18	10	1
2022-06-05	19	79	2
2022-06-06	22	38	1
2022-06-07	24	20	1
2022-06-08	18	81	3
2022-06-09	25	50	2
2022-06-10	26	32	1
2022-06-11	23	87	3
2022-06-12	21	12	1
2022-06-13	21	54	2
2022-06-14	21	63	2
2022-06-15	22	15	1
2022-06-16	25	53	2
2022-06-17	20	80	3
2022-06-18	22	67	2
2022-06-19	23	27	1
2022-06-20	23	34	1
2022-06-21	25	37	1
2022-06-22	18	30	1
2022-06-23	19	69	2
2022-06-24	20	82	3
2022-06-25	23	26	1
2022-06-26	25	15	1
2022-06-27	25	34	1
2022-06-28	19	13	1
2022-06-29	25	18	1
2022-06-30	22	29	1
2022-07-01	21	68	2
2022-07-02	23	16	1
2022-07-03	19	76	2
2022-07-04	19	69	2
2022-07-05	20	63	2
2022-07-06	20	27	1
2022-07-07	22	64	2
2022-07-08	19	48	1
2022-07-09	25	66	2
2022-07-10	29	78	2
2022-07-11	29	77	2
2022-07-12	29	53	2
2022-07-13	27	87	3
2022-07-14	30	45	1
2022-07-15	28	90	3
2022-07-16	29	79	2
2022-07-17	25	97	3
2022-07-18	25	48	1
2022-07-19	30	92	3
2022-07-20	29	33	1
2022-07-21	27	35	1
2022-07-22	29	16	1
2022-07-23	30	14	1
2022-07-24	26	27	1
2022-07-25	30	25	1
2022-07-26	25	48	1
2022-07-27	29	86	3
2022-07-28	28	10	1
2022-07-29	25	32	1
2022-07-30	29	39	1
2022-07-31	30	98	3
2022-08-01	28	21	1
2022-08-02	27	95	3
2022-08-03	30	13	1
2022-08-04	28	55	2
2022-08-05	28	93	3
2022-08-06	25	35	1
2022-08-07	25	28	1
2022-08-08	28	36	1
2022-08-09	28	77	2
2022-08-10	27	95	3
2022-08-11	29	19	1
2022-08-12	26	15	1
2022-08-13	30	60	2
2022-08-14	29	47	1
2022-08-15	29	17	1
2022-08-16	26	62	2
2022-08-17	30	90	3
2022-08-18	28	26	1
2022-08-19	28	76	2
2022-08-20	26	43	1
2022-08-21	22	62	2
2022-08-22	24	42	1
2022-08-23	28	92	3
2022-08-24	25	97	3
2022-08-25	23	60	2
2022-08-26	22	30	1
2022-08-27	22	46	1
2022-08-28	25	97	3
2022-08-29	26	80	1
2022-08-30	27	22	2
2022-08-31	28	10	3
