번호	 글 제목	회원번호	상품설명	가격
T-7	몬스타엑스 앨범 판매	15	탈덕해서 팔아요	10000
T-8	아이유 앨범 판매	6	미개봉 팔아요	10000
T-9	아이브 앨범 판매	2	하자 없어요	7000
T-10	엔하이픈 앨범 판매	22	한번 보고 안본 새제품 입니다	6000
T-11	시나공컴활1급 판매	21	깨끗하고 사용감 없어요	5000
T-12	좀비고 만화책 판매	12	동생이 사고 안봐서 팔아요	2000
T-13	제태크책 판매	14	일주일 보고 안봐서 팔아요	2000
T-14	박문각공인중개사 판매	18	합격해서 팔아요	3000
T-15	기계설계산업기사책 판매	3	안써서 깨끗한 상태로 팔아요	1000
T-16	건설안전기사 판매	10	너무 안붙어서 팔아요	3000
T-17	천재교육문학자습서 판매	8	깨끗합니다	3000
T-18	수학의정석 판매	5	구김 없고 고등학교때 써서 필요없어 팝니다	4000
T-19	와이책 판매	16	유익해요	3000
T-20	양식조리기능사책 판매	25	독학하기 좋습니다	4000
W-1	원피스 판매	10	편하게 입기 좋습니다	5000
W-2	니트 판매	8	무난하게 걸치기 좋아요	8000
W-3	반바지 판매	5	밖에 나갈때 입기 좋아요	12000
W-4	바람막이 판매	16	디자인이 좋고 깨끗해요	50000
W-5	정장 판매	25	하객룩으로 좋습니다	70000
W-6	임산부원피스 판매	23	디자인이 이뻐요	30000
W-7	운동화 판매	13	쿠션감이 좋아요	19000
W-8	스니커즈 판매	17	깔끔해요	16000
W-9	뮬슬리퍼 판매	19	편해요	15000
W-10	샌들 판매	24	무난합니다 사용감 없어요	14000
W-11	슬리퍼 판매	1	대충 신기 좋아요	10000
W-12	실내화 판매	9	회사안에서 신기 좋아요	10000
W-13	부츠 판매	11	아무 옷에나 잘 어울립니다	30000
W-14	워커 판매	4	디자인이 이뻐요	32000
W-15	신발끈 판매	7	어울리는 신발이 없어 팝니다	1000
W-16	크록스지비츠 판매	20	너무 많아서 팔아요	4000
W-17	단화 판매	15	편합니다	19900
W-18	크로스백 판매	6	아무거나 잘 들어가요	16000
W-19	백팩 판매	2	실용성이 좋아요	20000
W-20	에코백 판매	22	장바구니로 좋아요	15000
Y-1	아기띠 판매	23	아이가 다 커서 팝니다	50000
Y-2	놀이방매트 판매	13	하자 부분 몇 군데 있어서 가격 많이 내렸고 관리 잘해서 깨끗해요	16000
Y-3	모서리보호대 판매	17	부착이 잘되고 안전해요 사용감 없어요	36000
Y-4	문닫힘방지 판매	19	디자인도 괜찮고 상태 좋아요	58000
Y-5	카시트 판매	24	깨끗하게 사용했습니다	20000
Y-6	유모차 판매	1	안전하고 수납이 좋아요	35200
Y-7	삼국지만화책 판매	9	어릴때 읽던거라 팝니다 유익해요 ^^	5000
Y-8	디딤대 판매	11	안전하고 안미끄러집니다	10000
Y-9	턱받이 판매	4	부드럽고 살이 안쓸려서 사용하기 좋습니다	1000
Y-10	연습용젓가락 판매	7	사용하지 않은 새 제품 입니다	500
Y-11	수유쿠션 판매	20	크기도 적당하고 깨끗하게 사용했습니다	8000
Y-12	분유케이스 판매	15	깔끔하고 실용성이 좋습니다	10000
Y-13	보틀워머 판매	6	사용이 간편합니다	20000
Y-14	분유포트 판매	2	디자인이 이쁩니다	19000
Y-15	유모차모빌 판매	22	사용감은 있으나 잘 돌아가요	85000
Y-16	기저귀가방 판매	21	디자인이 촌스럽지 않고 많이 들어갑니다	8000
Y-17	젖병소독기 판매	12	소독이 잘되고 안전합니다	12000
Y-18	안전문 판매	14	상태 괜찮습니다	10010
Y-19	무릎보호대 판매	18	엄마에게 좋습니다	7000
Y-20	머리보호대 판매	3	아기가 다 커서 팝니다	6000
